#erel:= 0.800;
#emax:= 888.277;
#q:= 0.000;
#nesce:=    69;
#etime:= 1.394;
#snodes:=  1386;
param nS:=   100;
param nSG:=    30;
param nRVSG :=
 1 24    4 24    7  2   10  2   13  2   16  2   19  2   22  2   25  2   28  2
 2 24    5  2    8  2   11  2   14  2   17  2   20  2   23  2   26  2   29  2
 3 24    6  2    9  2   12  2   15 12   18  2   21  2   24  2   27  2   30 24
;

param ScenF :=
  1 128.564       46  17.4127      91 116.595      136   0.7273
  2 128.095       47  28.0775      92 115.705      137   0.106431
  3 115.275       48  36.2723      93 142.622      138   0.6173
  4 105.184       49  95.8506      94 142.498      139   0.212162
  5  80.2437      50 112.577       95 104.535      140   0.4523
  6  59.8158      51 141.406       96  89.4399     141   0.308796
  7  48.9368      52 131.18        97   0          142   0.2376
  8  66.5959      53  82.5641      98   0          143   0.348902
  9  88.5271      54  92.0415      99   0          144   0.0189
 10  77.2405      55  67.9842     100   0          145   0.309093
 11  56.4496      56  77.0583     101   0          146   0
 12   6.91575     57 124.917      102   0          147   0.276099
 13   0           58 109.923      103   0          148   0
 14   0           59 154.084      104   0          149   0.258965
 15   0           60  38.8543     105   0          150   0
 16   0           61   0          106   0          151   0.258814
 17   0           62   0          107   0          152   0
 18   0           63   0          108   0          153   0.272075
 19  60.2867      64   0          109   0          154   0
 20  49.9504      65   0          110   0.0376     155   0.260619
 21  85.4027      66  44.1207     111   0          156   0
 22  61.3844      67 163.443      112   0.2602     157   0
 23  40.221       68 124.089      113   0          158   5.6754
 24  19.1167      69 171.526      114   0.4909     159   3.39267
 25   1.01108     70 161.152      115   0          160   5.32826
 26  13.4527      71 128.85       116   0.6498     161  29.5824
 27  35.9436      72 109.381      117   0          162  29.1614
 28  33.2404      73 116.272      118   2.96304    163   1.4749
 29  47.8814      74 137.74       119   0          164   1.51531
 30  28.6525      75 143.445      120   0          165   0
 31  23.0791      76 138.279      121   0          166   0
 32  28.9019      77 141.574      122  35.062      167 645.309
 33 238.076       78 146.674      123  66.9789     168   0
 34 100.965       79 134.254      124  74.3766     169   0
 35  38.6301      80 157.886      125  89.3201     170   0
 36  23.8219      81 187.615      126 125.312      171 130.154
 37  28.8151      82 156.489      127 111.503      172   0
 38   0.163826    83  98.5269     128  94.2185     173 114.209
 39   0           84  82.8642     129   0          174  99.2783
 40   0           85  59.4744     130   0.7488     175 331.151
 41   0           86  67.1437     131   0          176   2.44482
 42   0           87  80.0877     132   0.7925     177   0.428135
 43  33.853       88  76.088      133   0          178   1.73003
 44   0           89  72.6929     134   0.7842     179   0.524125
 45  65.9507      90  77.6745     135   0          180   2.70444
;

param ScenO :=
  1   93.1         46   42.4         91   50.43       136    0.685
  2   85.98        47   58.4         92   80.86       137    0.1
  3   85.5         48   65.24        93   94          138    0.586
  4   85.5         49   92.1         94   78.39       139    0.093
  5   82.47        50   84.98        95   76.8        140    0.419
  6   79.82        51   82.5         96   65.67       141    0.094
  7   86.2         52   82.5         97    0.156      142    0.184
  8  100.4         53   79.47        98    0          143    0.123
  9  109.38        54   80.04        99    0.177      144    0.012
 10   89.02        55   86.19       100    0          145    0.186
 11   57           56   95.4        101    0.188      146    0
 12   39.99        57  106.56       102    0          147    0.236
 13    2           58   87.02       103    0.215      148    0
 14    0.01        59   55.01       104    0          149    0.249
 15    0           60   41.09       105    0.185      150    0
 16    0           61    0          106    0          151    0.206
 17    0           62    0          107    0.148      152    0
 18    0.44        63   -0.2        108    0          153    0.142
 19   45           64   -1          109    0.188      154    0
 20   85.23        65   -1          110    0.025      155    0.085
 21   95.18        66    0          111    0.178      156    0
 22   82.47        67   45          112    0.162      157    0.259398
 23   77.8         68   83.23       113    0.131      158    0.391719
 24   67           69   94.18       114    0.249      159    0.543392
 25   13           70   82          115    0.08       160    0.550409
 26   13.52        71   80.8        116    0.569      161    0.503213
 27   19.4         72   67.99       117    7          162    0.608118
 28   20.08        73   95          118    3.32       163    0.42239
 29   23.52        74   92.73       119    0          164    0.389542
 30   23.4         75   92.6        120    0          165    0.478058
 31   18.2         76   84.5        121    0.44       166   -0.039205
 32   13.76        77   79.61       122    3.32       167    0.240526
 33   13.76        78   79.82       123   53.13       168    0.165041
 34   52.96        79   84          124   85.73       169   22.355
 35   45.2         80   97.5        125   92.18       170 5337
 36   28.8         81  107.38       126   75.47       171    1
 37    7.2         82   86.92       127   74          172    1
 38    5.6         83   65          128   63.77       173    1
 39    5.56        84   63.57       129    0.058      174   -2.18182
 40    5.2         85   22.55       130    0.679      175    0.125778
 41    5.6         86    3.32       131    0.074      176    0.13575
 42   17           87    3.32       132    0.691      177    0.490334
 43   49.16        88    0          133    0.091      178    0.222384
 44   52.76        89    0          134    0.682      179    0.075835
 45   34.8         90    3.32       135    0.097      180    0.044776
;

param Scen0 (tr)
 :    1	    2	    3	    4	    5	    6	    7	    8	    9	   10	   11	   12	   13	   14	   15	   16	   17	   18	   19	   20	   21	   22	   23	   24	   25	   26	   27	   28	   29	   30	   31	   32	   33	   34	   35	   36	   37	   38	   39	   40	   41	   42	   43	   44	   45	   46	   47	   48	   49	   50	   51	   52	   53	   54	   55	   56	   57	   58	   59	   60	   61	   62	   63	   64	   65	   66	   67	   68	   69	   70	   71	   72	   73	   74	   75	   76	   77	   78	   79	   80	   81	   82	   83	   84	   85	   86	   87	   88	   89	   90	   91	   92	   93	   94	   95	   96	   97	   98	   99	  100	  101	  102	  103	  104	  105	  106	  107	  108	  109	  110	  111	  112	  113	  114	  115	  116	  117	  118	  119	  120	  121	  122	  123	  124	  125	  126	  127	  128	  129	  130	  131	  132	  133	  134	  135	  136	  137	  138	  139	  140	  141	  142	  143	  144	  145	  146	  147	  148	  149	  150	  151	  152	  153	  154	  155	  156	  157	  158	  159	  160	  161	  162	  163	  164	  165	  166	  167	  168	  169	  170	  171	  172	  173	  174	  175	  176	  177	  178	  179	  180	:=
