#erel:= 0.800;
#emax:= 1612.892;
#q:= 0.000;
#nesce:=    46;
#etime:= 1.351;
#snodes:=  1163;
param nS:=   100;
param nSG:=    30;
param nRVSG :=
 1 24    4 24    7  2   10  2   13  2   16  2   19  2   22  2   25  2   28  2
 2 24    5  2    8  2   11  2   14  2   17  2   20  2   23  2   26  2   29  2
 3 24    6  2    9  2   12  2   15 12   18  2   21  2   24  2   27  2   30 24
;

param ScenF :=
  1  92.7329       46  59.31         91  89.3331      136   0.5266
  2 104.37         47  91.6488       92  83.3906      137   0.385492
  3  95.1138       48  98.8753       93  74.6172      138   0.417
  4  88.9557       49 104.008        94  74.2482      139   0.389987
  5  86.3541       50 111.568        95  77.5621      140   0.2342
  6  78.987        51 103.978        96  64.3661      141   0.393051
  7  89.2031       52  93.7364       97   0.184256    142   0.0318
  8 121.519        53  96.4564       98   0           143   0.405242
  9 119.23         54  91.6319       99   0.187444    144   0
 10  76.3867       55 100.947       100   0           145   0.451281
 11  28.4853       56 110.238       101   0.195754    146   0
 12  25.1809       57 111.048       102   0           147   0.518945
 13  13.4868       58  97.0352      103   0.178174    148   0
 14   8.98062      59  77.4195      104   0           149   0.584328
 15  12.3293       60  55.463       105   0.173773    150   0
 16  18.7909       61  44.8521      106   0           151   0.622263
 17  37.5173       62  47.7776      107   0.195499    152   0
 18  63.6864       63  52.1736      108   0           153   0.61549
 19  82.171        64  58.3591      109   0.24249     154   0
 20 106.483        65  79.5204      110   0           155   0.58061
 21 137.618        66 101.569       111   0.303064    156   0
 22 136.115        67 113.571       112   0.0525      157   0
 23 129.246        68 101.776       113   0.352245    158   0.365166
 24 118.572        69 110.025       114   0.2686      159   0.114257
 25  25.9666       70 118.395       115   0.371628    160   0.229398
 26  17.5901       71 111.865       116   0.4757      161   0.777391
 27  31.8677       72  91.0492      117  67.916       162   0.249977
 28  41.6739       73  89.1603      118  75.2714      163   0.256122
 29  43.9347       74 120.388       119  68.7716      164   0.491721
 30  43.9982       75 105.807       120  81.7561      165   0.0347975
 31  50.0671       76  90.2743      121  70.7009      166   0
 32 115.688        77  93.0588      122 110.585       167   0
 33  90.0652       78  98.2763      123 118.528       168   0
 34 127.539        79 114.508       124 135.918       169   1.31694
 35  49.085        80 100.449       125 138.298       170   0
 36   3.31444      81 114.676       126 140.492       171   0
 37   0            82  77.5333      127 136.912       172  14.7933
 38   0            83  70.5424      128 123.859       173   0
 39   5.88476      84  43.2373      129   0.376901    174   1.7694
 40 100.714        85  20.5229      130   0.5272      175  68.689
 41 122.245        86  15.0961      131   0.380431    176   0.112033
 42 221.517        87  12.6754      132   0.5392      177   0.483386
 43 100.98         88  22.4169      133   0.379775    178   0.549192
 44 112.365        89  39.2105      134   0.5443      179   0.986721
 45  18.4015       90  64.5825      135   0.378556    180   1.36527
;

param ScenO :=
  1 131.63        46  47.64        91 111.1        136   0.611
  2 114.28        47  62.4         92 112.49       137   0.352
  3 104           48 146.8         93 125          138   0.487
  4  97           49 125.44        94 121.18       139   0.379
  5  84.99        50 114.18        95  89.78       140   0.292
  6  84.78        51 104           96  60          141   0.448
  7  85.95        52  97           97   0.231      142   0.031
  8  93           53  84.99        98   0          143   0.526
  9  99.25        54  84.78        99   0.278      144   0
 10  85.62        55  85.95       100   0          145   0.55
 11  67.04        56  93          101   0.3        146   0
 12  40           57  99.25       102   0          147   0.532
 13  42.5         58  87.62       103   0.313      148   0
 14  36.95        59  68.81       104   0          149   0.494
 15  30.52        60  41.77       105   0.32       150   0
 16  36.94        61  45.5        106   0          151   0.459
 17  58.9         62  41.95       107   0.328      152   0
 18  84.53        63  37.47       108   0          153   0.42
 19 101           64  42.94       109   0.318      154   0
 20 101.8         65  61.25       110   0          155   0.386
 21  92           66  99.38       111   0.289      156   0
 22  84.99        67 106.16       112   0.03       157   0.623566
 23  78.78        68 108.33       113   0.243      158   0.520651
 24  40           69 105.56       114   0.219      159   0.663942
 25  18.56        70  90          115   0.234      160   0.47268
 26  20           71  82.38       116   0.452      161   0.656195
 27  31.68        72  52.01       117  65.45       162   0.121255
 28  37.76        73 123.41       118  58.59       163   0.416405
 29  60.04        74 118.28       119  52.1        164   1.22215
 30  60.28        75 111          120  60.22       165   0.120705
 31  59.56        76 104          121  74.49       166  -0.019738
 32  40           77  89.92       122  84.53       167   0.1517
 33 335.08        78  84.8        123 116.14       168  -0.11175
 34 655.08        79  89.95       124 116.14       169   0.017647
 35  93.28        80  94.34       125 113          170   0.112043
 36  11.44        81 105          126 110          171   2.13008
 37   9.88        82  93.62       127  94.54       172   0.056308
 38  10           83  75.04       128  69.99       173   0.187436
 39  12.08        84  48          129   0.278      174   0.205371
 40  31.64        85  50.5        130   0.602      175   0.640198
 41 329.84        86  45.76       131   0.294      176   0.713752
 42 334.88        87  40.52       132   0.665      177   0.718696
 43  43.2         88  50.22       133   0.308      178   0.791152
 44  25.48        89  66.9        134   0.669      179   0.315689
 45  28.44        90  92.53       135   0.328      180   0.074
;

param Scen0 (tr)
 :    1	    2	    3	    4	    5	    6	    7	    8	    9	   10	   11	   12	   13	   14	   15	   16	   17	   18	   19	   20	   21	   22	   23	   24	   25	   26	   27	   28	   29	   30	   31	   32	   33	   34	   35	   36	   37	   38	   39	   40	   41	   42	   43	   44	   45	   46	   47	   48	   49	   50	   51	   52	   53	   54	   55	   56	   57	   58	   59	   60	   61	   62	   63	   64	   65	   66	   67	   68	   69	   70	   71	   72	   73	   74	   75	   76	   77	   78	   79	   80	   81	   82	   83	   84	   85	   86	   87	   88	   89	   90	   91	   92	   93	   94	   95	   96	   97	   98	   99	  100	  101	  102	  103	  104	  105	  106	  107	  108	  109	  110	  111	  112	  113	  114	  115	  116	  117	  118	  119	  120	  121	  122	  123	  124	  125	  126	  127	  128	  129	  130	  131	  132	  133	  134	  135	  136	  137	  138	  139	  140	  141	  142	  143	  144	  145	  146	  147	  148	  149	  150	  151	  152	  153	  154	  155	  156	  157	  158	  159	  160	  161	  162	  163	  164	  165	  166	  167	  168	  169	  170	  171	  172	  173	  174	  175	  176	  177	  178	  179	  180	:=
    1	131.630000	100.040000	93.461100	85.986800	80.870100	79.078200	94.353200	123.500000	109.511000	57.839200	37.718500	20.665800	12.366400	12.714000	4.448750	20.427900	33.664900	62.468000	82.518200	105.170000	137.869000	133.141000	129.451000	115.481000	18.560000	26.740000	28.857300	34.437100	51.175000	53.652700	67.231700	128.156000	108.293000	116.374000	47.477500	0.840054	0.000000	0.000000	0.266705	98.699800	120.241000	212.907000	108.253000	171.244000	18.027800	65.687500	102.088000	123.275000	125.440000	105.981000	96.823900	88.500400	79.815300	83.367100	88.305200	109.742000	113.557000	92.829900	80.106900	57.165300	49.267100	53.213700	49.185300	60.819200	74.105700	85.495700	111.496000	120.997000	116.224000	121.222000	108.941000	100.025000	123.410000	120.913000	104.456000	93.919300	89.632100	101.928000	111.457000	110.899000	101.451000	78.927400	63.324400	33.567900	16.592700	6.983140	5.488420	13.438400	36.762800	64.276500	90.336800	77.638200	80.871200	72.101700	82.272300	83.848200	0.231000	0.000000	0.194119	0.000000	0.209358	0.000000	0.207545	0.000000	0.212518	0.000000	0.227239	0.000000	0.258259	0.000000	0.324605	0.051700	0.397025	0.197000	0.417915	0.490600	65.450000	80.830900	78.575000	82.637100	87.636200	117.879000	123.566000	137.882000	139.657000	143.392000	138.274000	131.595000	0.455355	0.519900	0.473459	0.645500	0.444956	0.665200	0.430695	0.828800	0.428472	0.535100	0.452177	0.264600	0.424296	0.023100	0.421899	0.000000	0.479036	0.000000	0.547632	0.000000	0.587434	0.000000	0.639625	0.000000	0.656441	0.000000	0.632670	0.000000	0.623566	0.250501	0.300230	0.231810	0.651360	0.456540	0.160629	0.672809	0.548149	0.000000	3.775050	0.000000	0.000000	254.255000	43.046200	14.483500	0.354915	1.473610	61.280200	0.653847	0.483712	0.770353	0.977907	0.760543	
