#erel:= 0.800;
#emax:= 1766.086;
#q:= 0.000;
#nesce:=    54;
#etime:= 1.654;
#snodes:=  1485;
param nS:=   100;
param nSG:=    30;
param nRVSG :=
 1 24    4 24    7  2   10  2   13  2   16  2   19  2   22  2   25  2   28  2
 2 24    5  2    8  2   11  2   14  2   17  2   20  2   23  2   26  2   29  2
 3 24    6  2    9  2   12  2   15 12   18  2   21  2   24  2   27  2   30 24
;

param ScenF :=
  1  108.1         46   42.3199      91  152.15       136    0.3397
  2  112.365       47  168.268       92  153.1        137    0.585382
  3   96.4252      48  221.903       93  146.418      138    0.2883
  4   82.8807      49  110.154       94  107.125      139    0.642332
  5   82.9001      50  112.607       95   89.6475     140    0.1284
  6   76.9203      51  104.425       96   80.5843     141    0.695167
  7   97.7503      52   93.9074      97    0.657241   142    0.006
  8  142.702       53   90.9718      98    0          143    0.73164
  9  171.061       54   89.1152      99    0.715902   144    0
 10  152.857       55  106.414      100    0          145    0.764306
 11  126.88        56  143.321      101    0.75833    146    0
 12  106.113       57  170.383      102    0          147    0.786063
 13   93.212       58  160.993      103    0.704222   148    0
 14   81.2303      59  150.215      104    0          149    0.790178
 15   86.4556      60  116.779      105    0.637316   150    0
 16  105.298       61  104.975      106    0          151    0.786988
 17  107.094       62   96.1632     107    0.568836   152    0
 18  112.955       63   96.402      108    0          153    0.752174
 19  116.947       64  105.893      109    0.531398   154    0
 20  118.885       65  120.07       110    0          155    0.689779
 21  113.27        66  162.904      111    0.526693   156    0
 22   86.8983      67  171.517      112    0.0109     157    0
 23   83.1458      68  151.535      113    0.528065   158    1.38901
 24   68.7798      69  154.36       114    0.0852     159    0.618335
 25  102.53        70  135.412      115    0.506732   160    1.72884
 26  205.224       71  121.357      116    0.1822     161   18.2283
 27  253.464       72  100.047      117  151.083      162    0
 28  266.124       73  116.282      118  154.624      163    0
 29  285.2         74  130.392      119  149.27       164    2.35537
 30  294.934       75  135.563      120  163.587      165    0
 31  185.103       76  120.608      121  160.465      166    0
 32  196.172       77   95.7524     122  193.836      167  422.584
 33  213.339       78   93.5387     123  177.238      168    0
 34  347.816       79  134.566      124  180.791      169    0
 35  112.459       80  148.253      125  187.753      170 1517.71
 36   58.2902      81  179.207      126  181.54       171   35.9683
 37    6.10992     82  150.867      127  158.037      172  111.047
 38   12.296       83  143.859      128  150.494      173    5.12647
 39    7.75658     84  134.146      129    0.492146   174   18.085
 40    1.42619     85  120.64       130    0.2724     175    0
 41   64.4399      86  111.161      131    0.508505   176    4.04853
 42    0           87  105.16       132    0.2947     177    3.31525
 43    0           88  113.208      133    0.522893   178    1.29634
 44   93.5066      89  116.167      134    0.3146     179    2.05029
 45    0           90  144.685      135    0.543785   180    3.15832
;

param ScenO :=
  1 139.1         46   5           91 162.07       136   0.473
  2 135.2         47   5           92 154.84       137   0.076
  3 132           48   5           93 152.25       138   0.335
  4 130.38        49 129.1         94 144.84       139   0.089
  5 133.48        50 128.73        95 136.13       140   0.111
  6 137.5         51 117.1         96 135.26       141   0.09
  7 142.6         52 114.93        97   0.642      142   0.004
  8 147.8         53 116.73        98   0          143   0.072
  9 156.11        54 129.8         99   0.591      144   0
 10 147.8         55 136          100   0          145   0.052
 11 144.06        56 142.14       101   0.558      146   0
 12 141           57 152.88       102   0          147   0.038
 13 139.1         58 143.72       103   0.555      148   0
 14 138.7         59 138.29       104   0          149   0.035
 15 138.7         60 138.29       105   0.527      150   0
 16 140.5         61 134.2        106   0          151   0.042
 17 140.5         62 131.91       107   0.464      152   0
 18 148.85        63 134.33       108   0          153   0.059
 19 162.07        64 137.5        109   0.386      154   0
 20 154.84        65 142.5        110   0          155   0.083
 21 153.25        66 151.98       111   0.291      156   0
 22 149.73        67 164.1        112   0.058      157   0.702516
 23 144.36        68 156.84       113   0.152      158   1.05281
 24 140.26        69 154.78       114   0.289      159   0.763182
 25  13.56        70 149.74       115   0.08       160   0.73884
 26  13.56        71 144.86       116   0.474      161   0.769404
 27  16           72 143.82       117 129.1        162   0.697164
 28  16           73 115          118 127.7        163   0.608696
 29  16           74 111.92       119 125.34       164   0.689716
 30  13.56        75  95.5        120 129.5        165   0.76587
 31  11.8         76  95.5        121 135.04       166   0.701894
 32  15           77 100.3        122 153          167   0.566639
 33  11.8         78 103          123 165.19       168   0.660426
 34  13.56        79 128.34       124 154.85       169   0.705607
 35   5.52        80 161.65       125 153.26       170   0.770079
 36   5.4         81 160          126 147.84       171   0.745854
 37   5.8         82 159.07       127 134.68       172   0.985694
 38   5.8         83 138.06       128 135.73       173   0.679929
 39   7.52        84 126.9        129   0.035      174   0.678468
 40  14           85 125.19       130   0.583      175   0.929969
 41  15           86 124.83       131   0.02       176   0.923017
 42   9.2         87 122          132   0.58       177   0.645612
 43   5           88 126.45       133   0.034      178   0.687838
 44   5           89 138.16       134   0.525      179   0.693336
 45   5           90 154.84       135   0.053      180   0.71068
;

param Scen0 (tr)
