#erel:= 0.800;
#emax:= 1568.762;
#q:= 0.000;
#nesce:=    65;
#etime:= 1.612;
#snodes:=  1496;
param nS:=   100;
param nSG:=    30;
param nRVSG :=
 1 24    4 24    7  2   10  2   13  2   16  2   19  2   22  2   25  2   28  2
 2 24    5  2    8  2   11  2   14  2   17  2   20  2   23  2   26  2   29  2
 3 24    6  2    9  2   12  2   15 12   18  2   21  2   24  2   27  2   30 24
;

param ScenF :=
  1   9.04476     46   9.93342     91 111.043      136   0.4586
  2   1.48375     47  13.1836      92 118.337      137   1.04363
  3   0           48  62.0208      93 134.985      138   0.4015
  4   0           49  22.8511      94 127.981      139   1.00436
  5   0           50  17.5431      95 103.2        140   0.2342
  6   0           51  12.0844      96  94.9986     141   0.909277
  7   0           52   6.36008     97   0.763111   142   0.0118
  8  19.3845      53   0           98   0          143   0.80217
  9  28.1191      54   0           99   0.770527   144   0
 10   2.8313      55   4.92022    100   0          145   0.709514
 11   0           56  21.4067     101   0.771032   146   0
 12   0           57  31.9451     102   0          147   0.680902
 13   0           58  35.0655     103   0.754165   148   0
 14   0           59  20.8392     104   0          149   0.68976
 15   0           60   1.00206    105   0.761382   150   0
 16   0           61   0          106   0          151   0.703347
 17   0           62   1.25132    107   0.797196   152   0
 18  11.6974      63   9.9161     108   0          153   0.697618
 19  44.9926      64  11.6633     109   0.841522   154   0
 20  61.1846      65  13.2056     110   0          155   0.637496
 21  87.082       66  54.6321     111   0.877518   156   0
 22  79.1171      67  80.5007     112   0.0155     157   0
 23  58.849       68  79.8125     113   0.895321   158   0.561568
 24  48.6497      69  93.7676     114   0.1164     159   0
 25  52.058       70  85.5839     115   0.880386   160  13.2427
 26  73.6236      71  73.3221     116   0.2463     161  10.0701
 27  86.1205      72  62.7299     117   0          162   0
 28  92.6754      73  28.5334     118   0          163   1.51298
 29 108.754       74  30.8324     119   0          164   8.36624
 30 113.542       75  37.9069     120   2.19674    165   8.9187
 31  70.4297      76  30.985      121   4.24712    166   1.52542
 32  85.9076      77  17.4245     122  35.3873     167   0
 33 256.82        78  31.2907     123  62.4649     168   0
 34 439.205       79  41.1896     124  84.2262     169  56.4308
 35  59.8658      80  49.5048     125  73.4195     170   0
 36   0           81  69.3951     126  73.1348     171 203.535
 37   0           82  43.5333     127  70.2462     172 190.31
 38   0           83  40.1031     128  66.2678     173   0
 39   0           84  20.9305     129   0.892679   174  23.6671
 40  13.5602      85   8.8707     130   0.4554     175   0
 41 138.477       86  11.2726     131   0.947871   176   6.45986
 42 128.164       87  20.3289     132   0.4891     177   2.71696
 43  30.4568      88  37.7759     133   0.997491   178   5.01931
 44  40.9591      89  57.0475     134   0.4712     179   7.88954
 45   5.25968     90  87.2618     135   1.0296     180   6.83093
;

param ScenO :=
  1   18.64        46   31.72        91   79.97       136    0.518
  2   13.9         47   35.6         92   77.5        137    0.991
  3    8.19        48   23.16        93   76.4        138    0.389
  4    3.6         49   16.41        94   78.7        139    0.986
  5    3.32        50   10.9         95   71.5        140    0.199
  6    3.32        51    0           96   56.05       141    0.979
  7    3.32        52   -5.4         97    0.987      142    0.008
  8    5           53   -0.71        98    0          143    0.973
  9    5           54   -0.71        99    0.99       144    0
 10    3.32        55   -0.71       100    0          145    0.967
 11    3.04        56   -0.5        101    0.991      146    0
 12    0.44        57   -0.71       102    0          147    0.956
 13    0.44        58   -1.01       103    0.991      148    0
 14    0.44        59   -0.71       104    0          149    0.946
 15    0.44        60   -0.71       105    0.99       150    0
 16    0.44        61   -0.56       106    0          151    0.941
 17    3.32        62    0          107    0.988      152    0
 18   41.24        63   -0.06       108    0          153    0.938
 19   74.97        64   -0.71       109    0.98       154    0
 20   72.5         65    0          110    0          155    0.937
 21   71.68        66   41.24       111    0.973      156    0
 22   72.4         67   76.77       112    0.014      157   10.4732
 23   68.5         68   74.3        113    0.97       158    0.422302
 24   55.06        69   75.68       114    0.17       159    0.506716
 25   60           70   75.7        115    0.98       160    0.019444
 26   60           71   73.5        116    0.37       161   -1.05422
 27   60           72   55.06       117   -4.56       162    0.003012
 28   60           73   63.08       118   -7.06       163   -0.180723
 29   60           74   14          119   -9.56       164   -0.068
 30   60           75    3.32       120   -5          165   19.684
 31   60           76    0          121  -10.12       166    0.069277
 32   60           77    0          122   38.24       167  -12.4967
 33  170           78    0          123   79.5        168 -141.659
 34  124.04        79    0          124   82          169 -116.864
 35    5.56        80    7.44       125   76          170 -112.068
 36    5           81    0          126   80          171  -88
 37    4.68        82   -0.18       127   72          172 -109.295
 38    5           83    0          128   61.7        173   -7.88554
 39    5           84    0          129    0.989      174    6.47187
 40    7.08        85    0.43       130    0.536      175    5.28758
 41   95.8         86    0.44       131    0.991      176    5.98745
 42  104.88        87    0.44       132    0.612      177    6.0685
 43   44           88    3.32       133    0.991      178    5.26492
 44   44           89    3.32       134    0.598      179    6.60891
 45   36.08        90   46.24       135    0.991      180    3.07065
;

param Scen0 (tr)
 :    1	    2	    3	    4	    5	    6	    7	    8	    9	   10	   11	   12	   13	   14	   15	   16	   17	   18	   19	   20	   21	   22	   23	   24	   25	   26	   27	   28	   29	   30	   31	   32	   33	   34	   35	   36	   37	   38	   39	   40	   41	   42	   43	   44	   45	   46	   47	   48	   49	   50	   51	   52	   53	   54	   55	   56	   57	   58	   59	   60	   61	   62	   63	   64	   65	   66	   67	   68	   69	   70	   71	   72	   73	   74	   75	   76	   77	   78	   79	   80	   81	   82	   83	   84	   85	   86	   87	   88	   89	   90	   91	   92	   93	   94	   95	   96	   97	   98	   99	  100	  101	  102	  103	  104	  105	  106	  107	  108	  109	  110	  111	  112	  113	  114	  115	  116	  117	  118	  119	  120	  121	  122	  123	  124	  125	  126	  127	  128	  129	  130	  131	  132	  133	  134	  135	  136	  137	  138	  139	  140	  141	  142	  143	  144	  145	  146	  147	  148	  149	  150	  151	  152	  153	  154	  155	  156	  157	  158	  159	  160	  161	  162	  163	  164	  165	  166	  167	  168	  169	  170	  171	  172	  173	  174	  175	  176	  177	  178	  179	  180	:=
    1	18.640000	0.000000	2.106980	0.000000	0.000000	0.000000	3.107560	18.674800	28.226600	6.791160	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	45.244100	53.329900	87.327600	86.700400	58.636800	47.380400	60.000000	64.533500	75.004800	91.893300	107.341000	118.069000	71.083800	70.811600	328.578000	486.126000	61.790100	0.000000	0.000000	0.000000	0.000000	0.000000	125.957000	102.911000	49.105300	117.107000	0.000000	0.000000	9.203640	59.415400	16.410000	21.449100	6.517280	0.000000	0.000000	0.000000	0.000000	21.217200	31.800400	30.226200	18.485100	0.000000	0.000000	0.000000	0.745256	6.698470	1.819560	30.457000	70.485600	78.754900	89.954400	83.559100	66.713500	50.672300	63.080000	19.494700	15.349500	18.651900	17.864000	22.722100	32.489500	56.354900	48.546300	52.467200	42.722400	14.996300	12.810400	14.211900	23.356300	43.354300	76.930800	86.518200	105.111000	126.916000	137.695000	122.328000	105.927000	103.967000	0.987000	0.000000	0.809482	0.000000	0.819884	0.000000	0.869574	0.000000	0.895897	0.000000	0.924316	0.000000	0.913409	0.000000	0.991803	0.018400	0.907828	0.067600	0.914761	0.196400	-4.560000	0.000000	0.000000	0.000000	0.000000	35.147900	60.712000	84.269800	74.062100	69.451600	70.554400	62.029100	0.929190	0.513900	1.047580	0.599600	1.015490	0.474600	1.054990	0.450300	1.104360	0.432200	1.081620	0.368300	1.006920	0.028500	0.741685	0.000000	0.724748	0.000000	0.737285	0.000000	0.754550	0.000000	0.720020	0.000000	0.739011	0.000000	0.684537	0.000000	10.473200	0.980753	0.017363	12.896400	10.002300	0.326175	1.725150	8.541670	8.921310	0.885792	6.243770	0.000000	47.029300	143.642000	191.837000	186.018000	0.795399	23.184300	0.000000	6.979280	3.227780	5.076810	7.809270	6.527550	
    2	18.640000	0.721224	2.790250	0.216281	0.000000	0.000000	5.006670	22.434100	23.866600	0.000000	0.000000	2.687190	5.482960	10.956400	16.423800	22.814100	15.747800	18.222100	45.837600	64.825300	92.402700	76.210600	62.355400	55.871400	60.000000	79.304000	82.107300	88.831600	105.566000	109.426000	66.812400	72.734000	237.052000	426.746000	55.172400	0.000000	0.000000	0.000000	0.000000	25.297400	129.561000	123.176000	58.900300	74.565700	10.820800	1.786260	0.000000	46.332200	16.410000	22.644800	18.001900	12.283300	0.000000	0.000000	9.806630	29.194500	34.075200	37.314800	28.361700	23.604900	26.130800	26.614700	41.051600	41.501000	30.062600	53.591400	82.708400	91.260300	97.615800	85.586200	79.640700	73.547900	63.080000	33.870400	45.798400	37.638300	28.155600	33.638900	40.772200	58.464200	65.225300	40.436200	45.180600	17.689300	10.474200	6.571100	38.626000	58.447900	72.453200	96.047400	117.525000	139.849000	157.604000	155.293000	127.651000	118.196000	0.987000	0.000000	0.667605	0.000000	0.653139	0.000000	0.655284	0.000000	0.682844	0.000000	0.722192	0.000000	0.776323	0.000000	0.808499	0.019900	0.770305	0.157600	0.740459	0.218200	-4.560000	32.552600	44.502800	19.809000	43.803400	68.333700	83.484800	89.050000	62.596500	70.106700	71.394000	50.038500	0.753892	0.497300	0.770353	0.535400	0.791536	0.672400	0.816794	0.610300	0.728308	0.487200	0.714291	0.203900	0.646770	0.007000	0.565560	0.000000	0.484323	0.000000	0.447200	0.000000	0.446755	0.000000	0.468741	0.000000	0.493257	0.000000	0.463931	0.000000	10.473200	0.000000	0.000000	12.260900	8.734920	1.768390	0.000000	8.191390	8.630500	2.200640	40.340100	8.022960	70.533900	146.473000	169.145000	177.726000	23.858800	23.270300	15.624500	6.170180	3.017730	5.279300	8.065110	7.037890	
    3	18.640000	0.000000	6.567240	4.035880	2.090850	4.109630	2.621190	19.899300	22.854800	9.650990	12.457400	1.845270	3.043820	3.261740	0.000000	0.254942	0.000000	10.262200	44.236300	66.184400	87.189400	85.303800	53.562500	45.329000	60.000000	71.264100	85.023300	94.928800	115.400000	118.438000	70.674400	74.922200	253.497000	461.334000	75.325300	6.308870	3.943560	5.551840	6.093910	12.197700	154.007000	156.725000	75.420200	101.422000	5.564860	13.464700	14.538700	61.571500	16.410000	0.000000	14.567200	12.883500	4.783850	3.683760	10.449600	28.171100	32.847000	42.682100	27.721100	0.000000	0.749377	2.829810	7.341120	12.255800	13.590000	37.640600	80.915200	99.589600	99.410400	91.181700	70.898500	65.087900	63.080000	41.739700	48.676200	37.482900	28.797100	45.569700	45.725100	70.840500	72.772000	66.447100	39.515200	17.654000	10.406600	8.023610	17.431600	39.418500	74.864200	88.548100	123.552000	137.144000	150.137000	137.811000	110.950000	113.210000	0.987000	0.000000	0.790687	0.000000	0.802490	0.000000	0.791228	0.000000	0.814010	0.000000	0.820609	0.000000	0.847683	0.000000	0.868423	0.019200	0.887680	0.121400	0.775744	0.243200	-4.560000	0.000000	0.000000	0.000000	12.474000	35.123900	52.772800	65.464600	44.547700	55.667600	65.732700	54.717400	0.913439	0.459200	0.982627	0.458600	0.941289	0.514600	0.997432	0.593800	1.021860	0.540100	0.971031	0.261900	0.930975	0.012300	0.832271	0.000000	0.736877	0.000000	0.691473	0.000000	0.722183	0.000000	0.767424	0.000000	0.691067	0.000000	0.634843	0.000000	10.473200	0.396937	0.000000	12.936200	10.146500	0.000000	1.401640	8.556760	8.903340	1.752820	21.418400	0.303084	50.909300	171.597000	186.666000	187.233000	1.917930	22.081000	0.000000	6.676360	3.139550	5.073690	7.737090	6.811480	
    4	18.640000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	9.599540	14.088100	0.000000	7.841160	0.000000	0.000000	0.285614	0.000000	0.356616	0.000000	12.239000	45.244100	53.329900	87.327600	86.700400	58.636800	47.380400	60.000000	58.897300	84.574100	95.370400	108.560000	113.057000	72.669500	113.165000	223.699000	453.370000	52.443300	0.000000	1.617720	0.015058	0.000000	13.528800	137.216000	128.253000	45.288400	120.478000	17.842300	0.000000	13.130000	63.074800	16.410000	31.232500	5.700870	7.277680	0.690065	0.000000	1.464800	22.690000	26.888600	26.591100	31.127300	0.000000	0.000000	3.302880	8.006650	12.060000	13.635400	26.965500	79.825500	91.624100	93.292200	97.481900	73.657000	52.953000	63.080000	27.482300	37.893000	31.342700	18.239000	25.773300	43.514800	57.808900	64.550200	43.043400	50.165000	16.716100	10.284900	10.619900	23.378700	38.078500	50.992700	73.388900	115.043000	116.614000	134.636000	144.346000	103.574000	84.843200	0.987000	0.000000	0.756706	0.000000	0.725089	0.000000	0.703643	0.000000	0.728171	0.000000	0.722192	0.000000	0.776323	0.000000	0.868791	0.017800	0.859503	0.110000	0.885707	0.302500	-4.560000	0.076934	0.000000	0.000000	11.625900	40.862700	81.815400	101.936000	85.568500	80.862800	88.215100	77.509300	0.852533	0.444500	0.885748	0.578400	1.002200	0.503600	0.986751	0.394600	0.981483	0.331700	0.971031	0.353900	0.910726	0.014700	0.842515	0.000000	0.736877	0.000000	0.663080	0.000000	0.641946	0.000000	0.685942	0.000000	0.766525	0.000000	0.818043	0.000000	10.473200	0.000000	0.000000	12.393500	8.839900	0.000000	1.269770	8.398060	8.743820	2.054060	19.328700	42.247200	84.078500	0.000000	227.510000	187.393000	11.008000	33.459800	1.478270	8.557060	5.555450	5.072560	7.714660	6.535830	
