#erel:= 0.800;
#emax:= 1862.478;
#q:= 0.000;
#nesce:=    66;
#etime:= 1.489;
#snodes:=  1470;
param nS:=   100;
param nSG:=    30;
param nRVSG :=
 1 24    4 24    7  2   10  2   13  2   16  2   19  2   22  2   25  2   28  2
 2 24    5  2    8  2   11  2   14  2   17  2   20  2   23  2   26  2   29  2
 3 24    6  2    9  2   12  2   15 12   18  2   21  2   24  2   27  2   30 24
;

param ScenF :=
  1  87.4025      46   6.76066     91  86.6886     136   0.6125
  2  88.229       47   0.284776    92  93.8417     137   0.729925
  3  73.7697      48   0.886789    93 111.36       138   0.476
  4  62.4616      49  69.7978      94 109.688      139   0.720024
  5  58.5977      50  66.4742      95  98.3226     140   0.2538
  6  60.3529      51  53.9062      96  90.4143     141   0.683728
  7  71.9372      52  43.9752      97   0.63951    142   0.0086
  8  88.3705      53  41.6767      98   0          143   0.646888
  9  94.7975      54  44.1741      99   0.691668   144   0
 10  75.1532      55  54.1282     100   0          145   0.624271
 11  55.589       56  66.3724     101   0.751051   146   0
 12  39.5405      57  70.4753     102   0          147   0.634865
 13  35.9904      58  51.0103     103   0.783774   148   0
 14  40.818       59  18.7982     104   0          149   0.653625
 15  46.0473      60   0          105   0.796491   150   0
 16  54.9621      61   0          106   0          151   0.658964
 17  85.28        62  10.1549     107   0.802762   152   0
 18 106.392       63  15.2432     108   0          153   0.632418
 19 107.118       64  21.3627     109   0.804586   154   0
 20 108.882       65  51.8144     110   0          155   0.562926
 21 110.752       66  76.5622     111   0.7844     156   0
 22 111.261       67  83.2781     112   0.0175     157  22.1999
 23  98.0423      68  87.6458     113   0.742027   158   0
 24  85.5498      69 108.142      114   0.2499     159  39.7696
 25  19.0724      70 104.595      115   0.688838   160  21.5846
 26  41.5403      71  87.5575     116   0.4607     161   0
 27  64.4255      72  76.8756     117  50.8166     162   0
 28  71.2333      73  70.6342     118  57.4974     163   0
 29  79.7807      74  85.3369     119  56.7373     164   0
 30  82.7494      75  83.729      120  65.516      165   9.66642
 31  39.3113      76  80.7926     121  65.9494     166   0
 32  26.7202      77  85.8354     122  87.8862     167   0
 33  98.4986      78  87.2057     123 103.71       168 673.804
 34 194.42        79  76.7876     124 115.043      169 779.902
 35   0           80  79.6222     125 124.61       170   0
 36   0           81  88.2438     126 134.042      171   0
 37   1.73195     82  72.5395     127 117.27       172   0
 38   7.24252     83  62.9193     128 106.869      173   0
 39   8.7918      84  54.5769     129   0.669583   174   0.400921
