#erel:= 0.800;
#emax:= 1666.649;
#q:= 0.000;
#nesce:=    59;
#etime:= 1.264;
#snodes:=  1446;
param nS:=   100;
param nSG:=    30;
param nRVSG :=
 1 24    4 24    7  2   10  2   13  2   16  2   19  2   22  2   25  2   28  2
 2 24    5  2    8  2   11  2   14  2   17  2   20  2   23  2   26  2   29  2
 3 24    6  2    9  2   12  2   15 12   18  2   21  2   24  2   27  2   30 24
;

param ScenF :=
  1   46.9517       46   25.0071       91  150.764       136    0.6235
  2   41.4741       47   33.7301       92  179.319       137    0.576853
  3   37.88         48   12.0499       93  219.266       138    0.4585
  4   37.851        49   96.8592       94  201.768       139    0.7515
  5   38.5828       50   97.601        95  174.692       140    0.3088
  6   40.3455       51   76.1748       96  147.523       141    0.869411
  7   69.6846       52   77.3157       97    0.0649705   142    0.1425
  8  121.273        53   97.8795       98    0           143    0.829316
  9  143.761        54   81.7492       99    0.0553332   144    0
 10   96.6905       55  106.394       100    0           145    0.646771
 11   48.5642       56  148.523       101    0.0124807   146    0
 12   50.9254       57  164.828       102    0           147    0.494886
 13   47.5192       58  148.785       103    0           148    0
 14   72.9482       59  138.242       104    0           149    0.388015
 15   84.6759       60  132.017       105    0           150    0
 16   92.5602       61  121.04        106    0           151    0.333013
 17  107.253        62  116.887       107    0           152    0
 18  120.708        63  129.634       108    0           153    0.303036
 19  131.793        64  152.593       109    0           154    0
 20  131.006        65  159.704       110    0.0044      155    0.27365
 21  160.725        66  139.4         111    0           156    0
 22  133.605        67  133.856       112    0.1686      157    6.25033
 23   94.4441       68  140.278       113    0           158    1.34629
 24   85.7724       69  153.345       114    0.3875      159    1.86582
 25    0            70  121.702       115    0           160   13.6159
 26    0            71   90.7063      116    0.5291      161    0
 27    0            72   68.8461      117   78.3147      162    0
 28   12.8393       73  108.949       118   76.71        163    6.44178
 29   27.1958       74  142.278       119   69.2343      164    4.93132
 30   40.348        75  142.343       120   70.3563      165    2.785
 31    0            76  130.919       121   68.6265      166   16.6887
 32    0            77  119.497       122   79.5851      167    0
 33    0            78  119.391       123   81.4837      168    0
 34    0            79  128.828       124  105.097       169    0
 35    0.118034     80  149.446       125   91.513       170 1701.35
 36    0            81  188.323       126   71.7847      171  175.223
 37    0            82  143.546       127   59.5614      172   33.3576
 38    0            83  108.344       128   56.5105      173  127.099
 39    0            84  143.796       129    0           174    0
 40    0            85  110.99        130    0.6396      175 1555.75
 41    1.07244      86  108.403       131    0           176    0
 42   91.1502       87  112.784       132    0.6497      177    0
 43   76.201        88  120.729       133    0.146382    178    0.26023
 44    0            89  132.941       134    0.665       179    2.85956
 45    0            90  119.535       135    0.362908    180    1.43303
;

param ScenO :=
  1  80.85        46  13.4         91  89.81       136   0.348
  2  70           47  12           92 122.71       137   0.301
  3  63.79        48  23.92        93 109.53       138   0.249
  4  69.4         49  84.76        94  96.87       139   0.279
  5  60           50  70.7         95  93.78       140   0.162
  6  70           51  63.79        96  87.5        141   0.236
  7  75.97        52  67.4         97   0.096      142   0.062
  8 102.17        53  59.86        98   0          143   0.192
  9 123.02        54  70           99   0.135      144   0
 10 105.5         55  80.97       100   0          145   0.161
 11  93.02        56 101.68       101   0.184      146   0
 12  55.4         57 123.02       102   0          147   0.126
 13  53.54        58 104.6        103   0.223      148   0
 14  50.24        59  93.02       104   0          149   0.095
 15  53.54        60  60.5        105   0.244      150   0
 16  53.54        61  56.54       106   0          151   0.076
 17  52.5         62  55.55       107   0.255      152   0
 18  74.99        63  53.65       108   0          153   0.062
 19  95.91        64  53.54       109   0.265      154   0
 20 124.71        65  57.5        110   0          155   0.053
 21 112.02        66  77.94       111   0.246      156   0
 22 100           67  96.31       112   0.079      157   0.457143
 23  95.78        68 124.71       113   0.254      158   0.616429
 24  88.35        69 112.02       114   0.263      159   0.494121
 25  29.52        70 100          115   0.365      160   0.440922
 26  46.2         71  96.8        116   0.438      161   0.578
 27  55.88        72  90.35       117  42.8        162   0.614857
 28  62.12        73  71.91       118  35          163   0.258391
 29  70           74  61          119  39.56       164   0.539493
 30  61.68        75  52          120  42.8        165   0.624776
 31  37.84        76  49.39       121  46.38       166   0.393934
 32  28.04        77  53          122  52.2        167  -0.00688
 33  78.64        78  52.5        123  76.73       168   0.228159
 34 105.2         79  73          124 122.61       169   0
 35  58.4         80  99.9        125 109.02       170   0.067874
 36  47.32        81 123.02       126  92.73       171  -0.028764
 37  30.76        82  95          127  92.32       172   0
 38  33           83  52.27       128  83.45       173   0.045714
 39  28.72        84  60.94       129   0.394      174  -0.007734
 40  30.4         85  45.55       130   0.531      175   0.06162
 41  34.28        86  43.3        131   0.367      176   0.691284
 42  38.76        87  44.57       132   0.536      177   0.779593
