#erel:= 0.800;
#emax:= 1507.186;
#q:= 0.000;
#nesce:=    69;
#etime:= 1.434;
#snodes:=  1434;
param nS:=   100;
param nSG:=    30;
param nRVSG :=
 1 24    4 24    7  2   10  2   13  2   16  2   19  2   22  2   25  2   28  2
 2 24    5  2    8  2   11  2   14  2   17  2   20  2   23  2   26  2   29  2
 3 24    6  2    9  2   12  2   15 12   18  2   21  2   24  2   27  2   30 24
;

param ScenF :=
  1  58.2372       46  20.13         91 148.093       136   0.389
  2  74.5863       47  23.9203       92 143.792       137   0.0406738
  3  71.0336       48  33.963        93 150.192       138   0.2785
  4  76.5211       49  97.9756       94 153.365       139   0.0310687
  5  89.2322       50 103.2          95 146.814       140   0.1538
  6  92.3856       51  94.8435       96 125.931       141   0.0316807
  7  92.5344       52  85.605        97   0.136056    142   0.0309
  8 105.594        53  87.0522       98   0           143   0.0537077
  9 116.934        54  84.0055       99   0.151947    144   0
 10 103.857        55  91.1819      100   0           145   0.0907251
 11  83.8735       56 103.725       101   0.178929    146   0
 12  52.4147       57 111.353       102   0           147   0.105242
 13  37.2817       58  82.2889      103   0.196719    148   0
 14  30.4305       59  55.3342      104   0           149   0.0931603
 15  37.1458       60  27.0365      105   0.194101    150   0
 16  41.9256       61  14.2566      106   0           151   0.071442
 17  36.8064       62  21.7437      107   0.185745    152   0
 18  60.1838       63  29.761       108   0           153   0.0476802
 19  93.3419       64  39.9859      109   0.177817    154   0
 20 102.676        65  59.5108      110   0           155   0.0292915
 21  94.9239       66  89.1606      111   0.168273    156   0
 22  82.2294       67 110.356       112   0.0489      157   0.276474
 23  64.9666       68  99.3164      113   0.169761    158   0.583174
 24  65.5104       69 102.481       114   0.2125      159   0.358112
 25  19.2937       70  97.0951      115   0.172497    160   2.30208
 26   8.18602      71  85.5338      116   0.3947      161   3.44371
 27   7.66881      72  67.4213      117  95.7698      162   0
 28   2.61178      73 100.846       118  96.861       163   0.57894
 29   0            74 128.994       119  93.3926      164   0.586649
 30   2.04406      75 122.89        120 111.879       165   0.235358
 31  31.3139       76 110.92        121 100.658       166   4.54098
 32  87.2696       77 104.68        122 146.348       167   0
 33  66.1249       78 110.38        123 176.986       168  38.0451
 34  15.9056       79 134.264       124 180.881       169  60.6686
 35  27.1506       80 158.59        125 163.657       170   0
 36  22.7907       81 199.634       126 180.608       171   0
 37  18.3054       82 137.129       127 149.472       172   0
 38  23.0852       83 101.245       128 131.309       173  34.9237
 39  34.2095       84 101.552       129   0.169611    174   0
 40  46.6878       85  71.3495      130   0.5105      175  69.3153
 41  42.2681       86  73.57        131   0.144992    176   0.0390136
 42  42.2049       87  77.3552      132   0.5305      177   0.307212
 43  16.6488       88  84.3596      133   0.102326    178   0.358326
 44  49.7573       89 104.408       134   0.4805      179   0.872467
 45   7.78383      90 124.216       135   0.0649172   180   0.870056
;

param ScenO :=
  1 103.48        46  21.48        91 133.61       136   0.409
  2 104           47  18.72        92 134.23       137   0.021
  3  98.78        48  25.52        93 134.18       138   0.366
  4  98.78        49 103.4         94 127.28       139   0.024
  5  98.8         50  99.95        95 119.74       140   0.27
  6 103.23        51  96.78        96 115          141   0.053
  7 112.09        52  95.33        97   0.133      142   0.036
  8 126.56        53  95.85        98   0          143   0.1
  9 130.37        54  98.23        99   0.097      144   0
 10 124.1         55 108.79       100   0          145   0.121
 11 117.34        56 126.55       101   0.103      146   0
 12 110.94        57 130.38       102   0          147   0.122
 13 105.59        58 120.8        103   0.146      148   0
 14 106.81        59 114.44       104   0          149   0.101
 15 112.53        60 110.94       105   0.177      150   0
 16 122.8         61 108.94       106   0          151   0.096
 17 127.74        62 108.94       107   0.17       152   0
 18 129.88        63 116.63       108   0          153   0.096
