#erel:= 0.800;
#emax:= 521.604;
#q:= 0.000;
#nesce:=    53;
#etime:= 1.251;
#snodes:=  1207;
param nS:=   100;
param nSG:=    30;
param nRVSG :=
 1 24    4 24    7  2   10  2   13  2   16  2   19  2   22  2   25  2   28  2
 2 24    5  2    8  2   11  2   14  2   17  2   20  2   23  2   26  2   29  2
 3 24    6  2    9  2   12  2   15 12   18  2   21  2   24  2   27  2   30 24
;

param ScenF :=
  1    83.5077       46    27.3982       91   116.862       136     0.6999
  2    89.0561       47    36.7697       92   219.649       137     0
  3    84.3102       48     8.887        93   367.824       138     0.5939
  4    82.1414       49    83.254        94   325.852       139     0.0641077
  5    74.9788       50    57.657        95   298.553       140     0.4316
  6    71.0211       51    26.2004       96   249.442       141     0.182567
  7    61.1006       52     2.28813      97     0           142     0.2251
  8    63.8374       53     0            98     0           143     0.283253
  9    94.8986       54     0            99     0           144     0.0232
 10   127.704        55    30.4052      100     0           145     0.298107
 11   129.831        56    59.8523      101     0           146     0
 12   125.45         57    24.0812      102     0           147     0.259391
 13   118.027        58    23.9298      103     0           148     0
 14   107.687        59     0           104     0           149     0.20998
 15    90.8366       60     0           105     0           150     0
 16    60.7133       61    20.285       106     0           151     0.183875
 17    65.3745       62   106.093       107     0           152     0
 18    79.3119       63   150.371       108     0           153     0.147234
 19    84.8035       64   174.714       109     0           154     0
 20    81.6          65   195.972       110     0.0517      155     0.127331
 21    74.0386       66   123.361       111     0           156     0
 22    53.3501       67    75.401       112     0.2648      157    17.4874
 23    25.9591       68   118.219       113     0           158    42.8717
 24    17.9719       69   154.631       114     0.4686      159    35.4108
 25    14.5422       70   153.564       115     0           160    31.9986
 26     0            71   152.329       116     0.6167      161    93.3545
 27     3.92504      72   125.409       117    45.4243      162    89.8722
 28     0            73    56.1662      118    61.5579      163    52.6739
 29     0            74    63.4409      119    62.8318      164    70.5947
 30     0            75    58.6132      120    81.2966      165     7.56741
 31     0            76    63.939       121    79.5205      166   254.286
 32     0            77    54.9656      122    67.4035      167   824.725
 33   296.879        78    97.6282      123    65.7275      168   923.083
 34   106.053        79    92.814       124    72.9036      169  6639.38
 35    15.498        80   123.781       125   107.836       170     0
 36     0            81   151.188       126   123.573       171     0
 37     0            82    62.0598      127    87.2581      172     0
 38     0            83     0           128    76.614       173     0
 39     0            84    56.8755      129     0           174     0
 40    15.1721       85    21.3318      130     0.7187      175 17988.1
 41    23.3995       86    56.2095      131     0           176     0
 42    70.2391       87    57.1611      132     0.7609      177     0
 43    68.7054       88    55.7071      133     0           178     0
 44    20.6372       89    55.1457      134     0.7552      179    14.8066
 45     8.5138       90     0           135     0           180    30.7508
;

param ScenO :=
  1 104           46  58.48        91  98.59       136   0.509
  2  97.68        47  26.32        92 143.11       137   0.147
  3  97.68        48  45.28        93 168.81       138   0.493
  4  94.86        49 103.75        94 164.55       139   0.14
  5  84.01        50  98.18        95 124.45       140   0.318
  6  80.35        51  97.99        96 109.6        141   0.149
  7  88.13        52  95.36        97   0.2        142   0.181
  8 117.04        53  84.51        98   0          143   0.196
  9 123.81        54  81.15        99   0.204      144   0.018
 10 100           55  89.72       100   0          145   0.249
 11  99.54        56 113.04       101   0.209      146   0
 12  79.49        57 119.81       102   0          147   0.269
 13  58.48        58 100.01       103   0.202      148   0
 14  55.41        59  93.37       104   0          149   0.286
 15  56.28        60  72.21       105   0.193      150   0
 16  57.98        61  61.58       106   0          151   0.285
 17  55.9         62  57.59       107   0.194      152   0
 18  76.14        63  53.28       108   0          153   0.285
 19 103.57        64  53.69       109   0.195      154   0
 20 143.44        65  53.1        110   0.036      155   0.309
 21 173.81        66  70.11       111   0.201      156   0
 22 165.98        67 102.57       112   0.184      157   0.670962
 23 125.45        68 140.44       113   0.261      158   0.594902
 24 110.6         69 172.68       114   0.252      159   0.556102
 25  27.52        70 162.99       115   0.296      160   0.631773
 26  14.36        71 120.45       116   0.273      161   0.75003
 27  15.68        72 105.01       117  60          162   0.749596
 28  15.84        73 105          118  61.93       163   0.795302
 29  22.8         74 105.45       119  53.17       164   0.628247
 30  27.36        75  99.68       120  53.17       165   0.405379
 31  22.76        76  95.41       121  46.61       166   0.2911
 32  40.08        77  81.07       122  53.17       167   0.245931
 33 158.48        78  66.36       123  95          168   0.509121
 34  69.2         79  88.63       124 148.48       169   2.1633
 35  63.6         80 112.04       125 175.31       170   2.30067
 36  53.6         81 123.81       126 155.98       171   1.77292
 37  33.28        82 102.5        127 114.35       172   0.083994
 38  34.92        83  84.23       128 100          173   0
 39  32.96        84  69          129   0.311      174   0.027449
 40  38.44        85  60.34       130   0.283      175   0.284059
 41  38           86  55.9        131   0.294      176   0.424289
 42  63.72        87  53.23       132   0.291      177   0.506703
 43 112.68        88  53.1        133   0.243      178   0.491385
 44 183.36        89  50.92       134   0.373      179   0.560223
 45  60.4         90  61.14       135   0.184      180   0.651627
;

param Scen0 (tr)
 :    1	    2	    3	    4	    5	    6	    7	    8	    9	   10	   11	   12	   13	   14	   15	   16	   17	   18	   19	   20	   21	   22	   23	   24	   25	   26	   27	   28	   29	   30	   31	   32	   33	   34	   35	   36	   37	   38	   39	   40	   41	   42	   43	   44	   45	   46	   47	   48	   49	   50	   51	   52	   53	   54	   55	   56	   57	   58	   59	   60	   61	   62	   63	   64	   65	   66	   67	   68	   69	   70	   71	   72	   73	   74	   75	   76	   77	   78	   79	   80	   81	   82	   83	   84	   85	   86	   87	   88	   89	   90	   91	   92	   93	   94	   95	   96	   97	   98	   99	  100	  101	  102	  103	  104	  105	  106	  107	  108	  109	  110	  111	  112	  113	  114	  115	  116	  117	  118	  119	  120	  121	  122	  123	  124	  125	  126	  127	  128	  129	  130	  131	  132	  133	  134	  135	  136	  137	  138	  139	  140	  141	  142	  143	  144	  145	  146	  147	  148	  149	  150	  151	  152	  153	  154	  155	  156	  157	  158	  159	  160	  161	  162	  163	  164	  165	  166	  167	  168	  169	  170	  171	  172	  173	  174	  175	  176	  177	  178	  179	  180	:=
    1	104.000000	97.680000	97.680000	94.860000	84.010000	80.350000	88.130000	117.040000	123.810000	100.000000	99.540000	79.490000	58.480000	55.410000	56.280000	57.980000	55.900000	76.140000	103.570000	143.440000	173.810000	165.980000	125.450000	110.600000	27.520000	14.360000	15.680000	15.840000	22.800000	27.360000	22.760000	40.080000	158.480000	69.200000	63.600000	53.600000	33.280000	34.920000	32.960000	38.440000	38.000000	63.720000	112.680000	183.360000	60.400000	58.480000	26.320000	45.280000	103.750000	47.365100	21.907800	6.494180	0.000000	1.497720	28.428500	57.928600	26.697100	20.923400	6.839260	0.000000	22.397900	103.938000	150.266000	178.485000	178.419000	107.177000	66.808000	117.049000	154.657000	164.142000	154.348000	142.086000	105.000000	58.514000	58.008000	73.378800	58.990200	90.102700	93.253400	137.959000	150.070000	62.241600	0.000000	43.789300	35.082400	54.902100	52.563700	54.320900	50.166500	0.000000	105.961000	223.012000	363.529000	334.319000	297.849000	261.530000	0.200000	0.000000	0.020684	0.000000	0.014855	0.000000	0.021703	0.000000	0.028007	0.000000	0.025019	0.000000	0.027847	0.051900	0.000000	0.290100	0.000000	0.484200	0.000000	0.641500	60.000000	57.458400	77.286200	85.885200	86.397100	64.488700	63.842500	83.411200	115.825000	110.197000	92.423000	87.661400	0.000000	0.753700	0.000000	0.805300	0.001661	0.826400	0.002352	0.768200	0.000000	0.590800	0.042275	0.449800	0.174636	0.233800	0.283428	0.020600	0.312604	0.000000	0.278235	0.000000	0.213659	0.000000	0.177978	0.000000	0.144626	0.000000	0.147655	0.000000	0.670962	43.005200	35.409900	32.160400	93.042000	90.494100	52.274700	70.858300	8.132810	254.922000	773.288000	923.755000	6635.210000	0.000000	4.656190	0.019568	0.453683	0.009293	17987.400000	0.000000	0.000000	0.151875	14.789100	30.915700	
