#erel:= 0.800;
#emax:= 1242.083;
#q:= 0.000;
#nesce:=    64;
#etime:= 1.285;
#snodes:=  1183;
param nS:=   100;
param nSG:=    30;
param nRVSG :=
 1 24    4 24    7  2   10  2   13  2   16  2   19  2   22  2   25  2   28  2
 2 24    5  2    8  2   11  2   14  2   17  2   20  2   23  2   26  2   29  2
 3 24    6  2    9  2   12  2   15 12   18  2   21  2   24  2   27  2   30 24
;

param ScenF :=
  1   41.8673       46    6.92609      91   16.4551      136    0.6849
  2   73.2851       47   43.5568       92   36.3466      137    0
  3   83.1512       48   33.0836       93   37.6116      138    0.5524
  4   97.357        49   81.6019       94   51.8968      139    0
  5  110.633        50   92.1845       95   78.7116      140    0.3327
  6  125.264        51  103.461        96   58.0325      141    0
  7  110.536        52   79.1529       97    0.416299    142    0.1744
  8  101.673        53   75.4624       98    0           143    0.0781963
  9  118.478        54   86.412        99    0.447989    144    0.0061
 10   93.5436       55  108.699       100    0           145    0.182958
 11   92.1859       56  127.448       101    0.415601    146    0
 12   60.9579       57  114.278       102    0           147    0.197221
 13   59.9153       58   55.7649      103    0.287446    148    0
 14   65.2749       59    0           104    0           149    0.142015
 15   67.3966       60    0           105    0.21591     150    0
 16   64.6752       61    0           106    0           151    0.0935155
 17   77.4729       62    0           107    0.135992    152    0
 18   83.5153       63    0           108    0           153    0.0469595
 19  100.349        64    0           109    0.0371123   154    0
 20  124.779        65    0           110    0.0179      155    0.0129254
 21  156.117        66   14.0598      111    0           156    0
 22  137.746        67   21.7039      112    0.192       157    0
 23   56.9786       68   91.676       113    0           158    1.15167
 24   59.2828       69  188.115       114    0.4055      159    0
 25   36.2881       70  186.276       115    0           160    0
 26   91.2517       71  183.392       116    0.5235      161    0
 27   92.2553       72  154.565       117   47.2745      162    6.51064
 28  102.639        73   18.0737      118   47.1732      163    0
 29  123.118        74   45.8897      119   35.9812      164    0
 30  129.58         75   15.6178      120   36.295       165    0
 31   72.9758       76   13.5154      121   30.4998      166    4.20662
 32    8.35883      77   30.9178      122   28.0181      167  156.38
 33    0            78   35.0481      123   40.3036      168    0
 34    0            79   23.1195      124   64.5485      169    0
 35   87.8616       80    0           125   96.2628      170 1649.06
 36   97.9513       81    0           126  108.231       171   16.2715
 37   82.8343       82    0           127   79.2094      172   21.8378
 38   75.1134       83   30.9595      128   69.8826      173   37.0684
 39   66.254        84   54.0784      129    0           174    0
 40   43.656        85   44.0806      130    0.5669      175    0
 41   57.0923       86   41.3746      131    0           176    5.08353
 42   97.5199       87   28.2355      132    0.6793      177    2.04335
 43   70.9735       88    5.04189     133    0           178    2.03809
 44    0            89    2.67886     134    0.7368      179    2.27484
 45    0            90    6.27351     135    0           180    5.28345
;

param ScenO :=
  1  67.29        46  11           91  73.61       136   0.211
  2  57.57        47  14           92  87.08       137   0.325
  3  47.96        48  27.28        93 108.24       138   0.198
  4  38.91        49  65.73        94 105.39       139   0.252
  5  38.91        50  57.6         95  95.06       140   0.124
  6  42.63        51  47.96        96  83.99       141   0.187
  7  60.21        52  38.91        97   0.286      142   0.065
  8  61           53  36.91        98   0          143   0.149
  9  62.97        54  41.6         99   0.287      144   0.001
 10  67.08        55  58.01       100   0          145   0.126
 11  69.31        56  60.99       101   0.295      146   0
 12  72.5         57  62.73       102   0          147   0.088
 13  70           58  67.08       103   0.27       148   0
 14  69.31        59  69.31       104   0          149   0.049
 15  66.83        60  72.5        105   0.238      150   0
 16  53           61  70          106   0          151   0.046
 17  53           62  72.04       107   0.237      152   0
 18  67.08        63  71.82       108   0          153   0.059
 19  84.65        64  57.99       109   0.265      154   0
 20  92.08        65  57.99       110   0.001      155   0.079
 21 119.93        66  72.08       111   0.278      156   0
 22 117.1         67  84.65       112   0.025      157   0.614653
 23 105.62        68  92.08       113   0.278      158   0.046726
 24  91.61        69 117.43       114   0.05       159   0.003753
 25  28.76        70 112.1        115   0.334      160   0
 26  30.72        71 101.39       116   0.094      161   0.10974
 27  33.6         72  91.61       117  53.97       162   0
 28  36.28        73  60.7        118  55.45       163   0
 29  36.72        74  44          119  66.33       164   0
 30  34.44        75  37          120  52.75       165   0.066857
 31  28.88        76  32.9        121  57.77       166   0.271318
 32  26.32        77  34.11       122  63.03       167   1.3115
 33  24.96        78  37          123  71          168   0.416828
 34  43.8         79  41.84       124  92.08       169   0.761429
 35  46.4         80  54.9        125 109.14       170   1.16087
 36  62           81  56.52       126 104.28       171   0.810714
 37  48           82  53.97       127  92.18       172   1.86
 38  43.84        83  49.31       128  84.09       173   1.91547
 39  33.84        84  52.5        129   0.391      174   0.595558
 40  36.16        85  57.51       130   0.128      175   0.322977
 41  36.16        86  62.38       131   0.388      176   0.535404
 42  61.8         87  61.83       132   0.158      177   0.689652
 43  33.4         88  50          133   0.373      178   0.554825
 44  33.16        89  53          134   0.202      179   0.460708
 45  29.6         90  62.08       135   0.367      180   0.410108
;

param Scen0 (tr)
