#erel:= 0.800;
#emax:= 861.849;
#q:= 0.000;
#nesce:=    85;
#etime:= 1.149;
#snodes:=  1046;
param nS:=   100;
param nSG:=    30;
param nRVSG :=
 1 24    4 24    7  2   10  2   13  2   16  2   19  2   22  2   25  2   28  2
 2 24    5  2    8  2   11  2   14  2   17  2   20  2   23  2   26  2   29  2
 3 24    6  2    9  2   12  2   15 12   18  2   21  2   24  2   27  2   30 24
;

param ScenF :=
  1 108.812         46  38.2879        91 141.784        136   0.366
  2 110.048         47  54.1542        92 135.577        137   0.0026745
  3 106.161         48  58.0061        93 148.087        138   0.2952
  4 104.914         49 142.099         94 138.565        139   0
  5 111.76          50 143.848         95  89.4972       140   0.1822
  6 110.725         51 136.062         96  70.1492       141   0.0739485
  7 134.505         52 141.901         97   0.193212     142   0.0886
  8 180.904         53 130.465         98   0            143   0.289064
  9 207.62          54 112.923         99   0.269239     144   0.0015
 10 135.034         55  96.4497       100   0            145   0.640581
 11  78.616         56 124.123        101   0.257435     146   0
 12  99.9025        57 119.334        102   0            147   0.97565
 13  71.8166        58 133.188        103   0.0911414    148   0
 14  51.9522        59 145.178        104   0            149   1.24732
 15  28.8565        60 134.58         105   0.00988162   150   0
 16   4.19829       61 149.565        106   0            151   1.40425
 17  21.4187        62 183.496        107   0            152   0
 18  60.1262        63 147.753        108   0            153   1.34879
 19 100.51          64  72.3182       109   0            154   0
 20  83.349         65 143.565        110   0.0039       155   1.2073
 21 130.9           66 204.322        111   0            156   0
 22 102.063         67 230.762        112   0.0764       157   0
 23  72.6243        68 229.868        113   0            158   0
 24  65.7543        69 306.357        114   0.16         159   0
 25  35.7263        70 300.957        115   0            160   4.3471
 26  34.2409        71 165.167        116   0.2543       161   5.85058
 27  48.2289        72 135.387        117  70.7548       162   0.92782
 28  47.9134        73  72.7758       118  82.1399       163   1.48597
 29  58.3982        74 102.134        119  82.3743       164   1.74078
 30  52.153         75  92.1623       120  80.5892       165   0
 31  70.8606        76  87.0163       121  79.1073       166   0
 32 126.034         77  78.616        122  83.2632       167   0
 33 206.13          78  66.3488       123  84.5739       168   0
 34  62.7627        79  60.0215       124  90.5385       169   0
 35  19.0623        80 145.335        125 108.209        170   0
 36   9.66961       81 204.689        126 120.327        171   0
 37  21.5605        82 180.492        127  82.2916       172  38.6256
 38  25.8203        83 144.093        128  72.4833       173  30.0008
 39  30.6591        84 161.746        129   0            174  10.9567
 40  29.0521        85 152.421        130   0.3187       175 515.413
 41  32.8317        86 147.188        131   0.0247655    176   0
 42  49.1431        87 149.114        132   0.3631       177   0
 43  70.5319        88 158.722        133   0.0622758    178   0.828688
 44   0             89 163.994        134   0.3971       179   0.210203
 45  40.2823        90 126.069        135   0.0278515    180   0.0262223
;
