#erel:= 0.800;
#emax:= 1163.972;
#q:= 0.000;
#nesce:=    69;
#etime:= 1.362;
#snodes:=  1431;
param nS:=   100;
param nSG:=    30;
param nRVSG :=
 1 24    4 24    7  2   10  2   13  2   16  2   19  2   22  2   25  2   28  2
 2 24    5  2    8  2   11  2   14  2   17  2   20  2   23  2   26  2   29  2
 3 24    6  2    9  2   12  2   15 12   18  2   21  2   24  2   27  2   30 24
;

param ScenF :=
  1  68.6257       46  48.5354       91 115.786       136   0.2997
  2  75.2641       47  86.7855       92 122.373       137   0
  3  71.1818       48 102.411        93 138.587       138   0.2015
  4  66.9913       49 102.759        94 149.008       139   0.0554881
  5  77.8741       50 102.896        95 124.626       140   0.1098
  6  84.6217       51 100.74         96 106.882       141   0.200665
  7  91.3479       52  83.7673       97   0.308517    142   0.0412
  8 113.02         53  77.3002       98   0           143   0.308522
  9 138.716        54  80.9702       99   0.350523    144   0
 10 120.115        55  96.1086      100   0           145   0.362914
 11 105.756        56 113.178       101   0.340097    146   0
 12  95.8342       57 109.332       102   0           147   0.384282
 13  57.1532       58  77.6168      103   0.253133    148   0
 14  21.0441       59  47.8503      104   0           149   0.392885
 15   0            60  51.8492      105   0.228226    150   0
 16   0            61  32.7894      106   0           151   0.402517
 17   0            62  30.8822      107   0.206162    152   0
 18  37.7447       63  12.2233      108   0           153   0.385171
 19  90.2547       64   0           109   0.1572      154   0
 20 100.848        65  10.3761      110   0.004       155   0.338387
 21 116.509        66  44.8309      111   0.0860593   156   0
 22 103.752        67  57.7383      112   0.0941      157   4.23122
 23  89.5917       68 101.948       113   0           158   1.94046
 24  86.3016       69 177.749       114   0.2053      159   1.24514
 25  49.9628       70 147.585       115   0           160   4.96254
 26  66.1113       71 114.886       116   0.266       161   7.59327
 27  77.9553       72  87.0007      117  78.421       162   0.585921
 28  72.8423       73  47.4076      118  77.674       163   0
 29  68.5318       74  70.8909      119  65.3109      164   0
 30  57.2124       75  70.078       120  61.2427      165   0
 31  78.1072       76  64.7171      121  57.8323      166   5.06408
 32 170.34         77  63.7042      122  76.4504      167  48.6513
 33 125.144        78  61.19        123 102.777       168   0
 34  64.6647       79  56.5097      124 127.664       169   0
 35  87.7357       80  73.9351      125 164.692       170   0
 36  60.0109       81  95.9193      126 162.988       171 279.635
 37  64.0291       82  74.6053      127 110.874       172   0
 38  57.8709       83  52.6447      128  99.4157      173  44.0874
 39  58.9579       84  63.8824      129   0           174  33.8081
 40  57.911        85  61.0761      130   0.24        175   0
 41  44.1071       86  78.2969      131   0           176   6.44577
 42  51.0088       87  88.6621      132   0.2743      177   0.751638
 43  64.3176       88  96.5928      133   0           178   0.439782
 44 227.794        89 112.616       134   0.3031      179   1.52488
 45  62.3728       90 110.833       135   0           180   0.437504
;

param ScenO :=
  1  54.5         46  11           91  78.8        136   0.612
  2  47.51        47  14           92  98.1        137   0.497
  3  45           48  22.6         93 132.59       138   0.497
  4  40.32        49  54.5         94 122.94       139   0.468
  5  40           50  57.51        95  96.17       140   0.328
  6  40           51  53           96  78.8        141   0.443
  7  52.84        52  46.23        97   0.361      142   0.133
  8  49.9         53  45.74        98   0          143   0.41
  9  59.55        54  42.51        99   0.376      144   0.001
 10  54.29        55  51.04       100   0          145   0.362
 11  30           56  49.9        101   0.362      146   0
 12  14.16        57  59.55       102   0          147   0.311
 13   4.09        58  57.29       103   0.332      148   0
 14   3.32        59  32.95       104   0          149   0.278
 15   4           60  16.16       105   0.358      150   0
 16  14.18        61   4.92       106   0          151   0.259
 17  30.84        62   3.32       107   0.391      152   0
 18  51.81        63   4          108   0          153   0.23
 19  75.74        64  14.18       109   0.336      154   0
 20  83.91        65  29.74       110   0.005      155   0.191
 21 112.08        66  48.81       111   0.257      156   0
 22 105.01        67  76.5        112   0.114      157   0.61945
 23  83.3         68  88.91       113   0.3        158   0.683435
 24  75.74        69 111.28       114   0.189      159   0.398222
 25  30.8         70 103.11       115   0.426      160   0.996776
 26  31.36        71  84.3        116   0.307      161   1.0005
 27  32.6         72  78.08       117  19.59       162   0.42175
 28  31.4         73  76          118  14          163   0.212528
 29  32.28        74  75.23       119  14          164   0.358317
 30  32.76        75  76          120  21.3        165   0.486482
 31  37.08        76  76          121  33.92       166   0.372813
 32  30.8         77  75.23       122  44.5        167   0.866
 33  25.96        78  75.23       123  83.31       168   5.94845
 34  39.44        79  63.84       124 103.79       169  20.9511
 35  34           80  61.65       125 162.08       170   0
 36  19.2         81  70.55       126 145.01       171   0.575
 37   8.72        82  57.32       127  99.18       172   0.174189
 38   8.52        83  35          128  85.74       173   0.030156
 39   8.52        84  17.89       129   0.539      174   0.079907
 40  12.88        85   8.62       130   0.566      175   0.299445
 41  24.68        86   3.32       131   0.574      176   0.620665
 42  37.28        87   9          132   0.661      177   0.620665
 43  44.68        88  14.33       133   0.56       178   0.538234
 44  40.16        89  27.12       134   0.678      179   0.657263
 45   9           90  46          135   0.532      180   0.434777
;

param Scen0 (tr)
 :    1	    2	    3	    4	    5	    6	    7	    8	    9	   10	   11	   12	   13	   14	   15	   16	   17	   18	   19	   20	   21	   22	   23	   24	   25	   26	   27	   28	   29	   30	   31	   32	   33	   34	   35	   36	   37	   38	   39	   40	   41	   42	   43	   44	   45	   46	   47	   48	   49	   50	   51	   52	   53	   54	   55	   56	   57	   58	   59	   60	   61	   62	   63	   64	   65	   66	   67	   68	   69	   70	   71	   72	   73	   74	   75	   76	   77	   78	   79	   80	   81	   82	   83	   84	   85	   86	   87	   88	   89	   90	   91	   92	   93	   94	   95	   96	   97	   98	   99	  100	  101	  102	  103	  104	  105	  106	  107	  108	  109	  110	  111	  112	  113	  114	  115	  116	  117	  118	  119	  120	  121	  122	  123	  124	  125	  126	  127	  128	  129	  130	  131	  132	  133	  134	  135	  136	  137	  138	  139	  140	  141	  142	  143	  144	  145	  146	  147	  148	  149	  150	  151	  152	  153	  154	  155	  156	  157	  158	  159	  160	  161	  162	  163	  164	  165	  166	  167	  168	  169	  170	  171	  172	  173	  174	  175	  176	  177	  178	  179	  180	:=
    1	54.500000	47.510000	45.000000	40.320000	40.000000	40.000000	52.840000	49.900000	59.550000	54.290000	30.000000	14.160000	4.090000	3.320000	4.000000	14.180000	30.840000	51.810000	75.740000	83.910000	112.080000	105.010000	83.300000	75.740000	30.800000	31.360000	32.600000	31.400000	32.280000	32.760000	37.080000	30.800000	25.960000	39.440000	34.000000	19.200000	8.720000	8.520000	8.520000	12.880000	24.680000	37.280000	44.680000	40.160000	9.000000	11.000000	14.000000	22.600000	54.500000	94.583600	97.378800	92.506400	70.177400	80.930200	100.632000	108.642000	116.684000	88.395400	55.082400	48.034400	37.506200	24.404400	0.000000	0.000000	0.000000	23.718000	53.950200	115.359000	174.651000	147.878000	108.126000	106.900000	76.000000	62.929000	63.861600	66.110800	59.617500	52.136900	46.599700	81.549300	96.848900	83.724500	82.916900	65.646600	81.668900	84.880100	97.269800	103.479000	108.805000	83.328900	97.587700	113.092000	131.856000	157.499000	121.987000	106.546000	0.361000	0.000000	0.478475	0.000000	0.549149	0.000000	0.496539	0.000000	0.488552	0.000000	0.461969	0.000000	0.402673	0.012000	0.334190	0.260600	0.184790	0.341300	0.124877	0.298200	19.590000	71.391000	66.089800	59.961400	58.215700	75.592500	106.925000	128.124000	164.815000	152.983000	111.270000	96.480300	0.095022	0.295900	0.069006	0.333200	0.043881	1.359600	0.030134	2.097700	0.045496	0.124500	0.115454	0.077000	0.234176	0.032700	0.153076	0.000000	0.226657	0.000000	0.276213	0.000000	0.286698	0.000000	0.278906	0.000000	0.254917	0.000000	0.197477	0.000000	0.619450	1.592460	0.821799	4.397280	6.562350	0.090428	0.000000	0.339307	0.306044	1.284320	16.836000	9.455050	0.000000	679.517000	339.160000	0.000000	32.042600	32.023700	0.000000	4.879470	0.985299	0.600183	1.214370	0.780738	
    2	54.500000	47.510000	45.000000	40.320000	40.000000	40.000000	52.840000	49.900000	59.550000	54.290000	30.000000	14.160000	4.090000	3.320000	4.000000	14.180000	30.840000	51.810000	75.740000	83.910000	112.080000	105.010000	83.300000	75.740000	30.800000	31.360000	32.600000	31.400000	32.280000	32.760000	37.080000	30.800000	25.960000	39.440000	34.000000	19.200000	8.720000	8.520000	8.520000	12.880000	24.680000	37.280000	44.680000	40.160000	9.000000	11.000000	14.000000	22.600000	54.500000	101.174000	104.424000	88.949600	72.952100	81.048100	98.297600	110.929000	110.626000	83.643000	52.411900	42.631500	35.789500	31.051800	9.559200	4.130560	7.828670	29.837200	55.992400	113.377000	173.474000	150.230000	112.906000	102.333000	76.000000	76.605300	79.680900	72.957000	74.667200	65.719400	60.836700	91.695500	95.482000	78.940300	62.622700	59.158100	67.430700	76.077800	88.179600	97.763000	104.737000	104.199000	103.954000	122.313000	138.786000	149.364000	124.769000	110.369000	0.361000	0.000000	0.354734	0.000000	0.369773	0.000000	0.318887	0.000000	0.290571	0.000000	0.261728	0.000000	0.198070	0.008200	0.127870	0.100100	0.026660	0.213600	0.000000	0.562500	19.590000	71.391000	66.089800	59.961400	58.215700	75.592500	106.925000	128.124000	160.443000	140.931000	110.879000	105.567000	0.025930	0.324100	0.014177	0.351100	0.047237	0.290500	0.000000	0.525400	0.021122	0.281400	0.063850	0.122600	0.198042	0.020900	0.300681	0.000000	0.364319	0.000000	0.393344	0.000000	0.403455	0.000000	0.424397	0.000000	0.379104	0.000000	0.351006	0.000000	0.619450	1.963940	1.197190	4.961980	7.505010	0.562014	0.000000	0.076875	0.205235	3.284310	29.845700	0.000000	0.000000	685.990000	315.371000	0.561905	37.959800	39.488200	0.000000	5.176400	1.023220	0.666973	1.335280	0.679255	
    3	54.500000	47.510000	45.000000	40.320000	40.000000	40.000000	52.840000	49.900000	59.550000	54.290000	30.000000	14.160000	4.090000	3.320000	4.000000	14.180000	30.840000	51.810000	75.740000	83.910000	112.080000	105.010000	83.300000	75.740000	30.800000	31.360000	32.600000	31.400000	32.280000	32.760000	37.080000	30.800000	25.960000	39.440000	34.000000	19.200000	8.720000	8.520000	8.520000	12.880000	24.680000	37.280000	44.680000	40.160000	9.000000	11.000000	14.000000	22.600000	54.500000	89.890900	97.915700	94.238500	73.129800	82.682900	93.479900	114.098000	109.588000	65.161300	55.348400	47.540300	33.036500	32.977100	7.559710	2.922870	0.000000	26.249900	56.789800	109.469000	177.513000	150.128000	114.717000	99.388700	76.000000	69.730700	68.914800	65.840600	63.395500	64.212200	63.390200	92.620000	90.201300	86.266100	70.514000	57.093600	68.260000	76.114600	87.874300	97.219900	97.051600	99.007500	103.069000	112.489000	131.317000	146.115000	116.685000	109.795000	0.361000	0.000000	0.358703	0.000000	0.342776	0.000000	0.285466	0.000000	0.259380	0.000000	0.275670	0.000000	0.223529	0.001900	0.127870	0.124600	0.000000	0.286800	0.000000	0.473200	19.590000	76.876000	71.830200	58.626800	59.736600	72.336500	94.653100	124.258000	157.685000	137.763000	107.861000	97.879100	0.003794	0.269900	0.000000	0.594800	0.036267	0.709500	0.000000	0.346500	0.000000	0.200700	0.065970	0.152200	0.197151	0.032900	0.301298	0.000000	0.365249	0.000000	0.394562	0.000000	0.403455	0.000000	0.402065	0.000000	0.393574	0.000000	0.350654	0.000000	0.619450	2.431120	1.591740	5.069270	7.800120	0.894496	0.000003	0.074748	0.128075	1.769470	37.824300	0.000000	0.000000	680.143000	339.068000	0.000000	39.126400	36.314600	0.000000	5.176400	1.023220	0.666973	1.335280	0.679255	
