#erel:= 0.800;
#emax:= 1097.302;
#q:= 0.000;
#nesce:=    64;
#etime:= 1.264;
#snodes:=  1359;
param nS:=   100;
param nSG:=    30;
param nRVSG :=
 1 24    4 24    7  2   10  2   13  2   16  2   19  2   22  2   25  2   28  2
 2 24    5  2    8  2   11  2   14  2   17  2   20  2   23  2   26  2   29  2
 3 24    6  2    9  2   12  2   15 12   18  2   21  2   24  2   27  2   30 24
;

param ScenF :=
  1  91.2399       46  55.095        91  40.157       136   0.4278
  2  88.2651       47  35.8593       92  66.5652      137   0.221238
  3  75.6936       48  27.8114       93  88.304       138   0.3615
  4  72.8411       49  66.6412       94  87.1526      139   0.230716
  5  71.504        50  60.537        95  89.0513      140   0.3007
  6  74.3363       51  33.9577       96  71.2685      141   0.216407
  7  85.3725       52  14.8178       97   0.307616    142   0.1445
  8 123.549        53  26.7931       98   0           143   0.163695
  9 139.048        54  39.5772       99   0.34508     144   0
 10 111.691        55  66.8295      100   0           145   0.0838514
 11  67.5162       56  81.2733      101   0.38273     146   0
 12  62.1933       57  74.9536      102   0           147   0.0419591
 13  44.2033       58  64.6553      103   0.419855    148   0
 14  49.1171       59  38.9404      104   0           149   0.0531777
 15  51.3708       60  19.5443      105   0.43995     150   0
 16  27.7393       61   0           106   0           151   0.100286
 17  24.8655       62   0           107   0.430155    152   0
 18  77.3556       63   2.32965     108   0           153   0.173186
 19 136.3          64   5.56115     109   0.405657    154   0
 20 171.157        65  19.4844      110   0.0027      155   0.20157
 21 210.013        66  54.0788      111   0.353162    156   0
 22 206.184        67 102.229       112   0.0865      157   0
 23 176.679        68 132.842       113   0.284523    158   0
 24 156.146        69 184.735       114   0.2744      159   0
 25  49.4859       70 190.27        115   0.231442    160   1.9652
 26  50.7707       71 158.132       116   0.3531      161   3.08556
 27  77.7152       72 121.171       117   0           162   0
 28  97.8784       73  68.9573      118   0           163   0
 29 100.779        74  90.5695      119   0           164   0.618149
 30 103.345        75  58.9722      120  13.7729      165   0
 31  48.6608       76  44.139       121  15.9212      166   0
 32  71.309        77  61.1878      122  31.9226      167   0
 33 304.985        78  80.9266      123  70.1382      168  54.8756
 34  86.2769       79  88.5088      124 107.229       169 138.107
 35  50.1283       80  83.1559      125 141.783       170   0
 36  28.1117       81  83.34        126 137.497       171   0
 37  32.4281       82  54.4808      127 103.694       172  25.906
 38  51.7487       83   8.48545     128  96.4746      173   0
 39  49.5488       84  12.5578      129   0.193917    174   5.38995
 40  58.5132       85  13.2964      130   0.4145      175 154.002
 41  74.828        86  22.5803      131   0.190194    176   0
 42 117.057        87  25.6226      132   0.453       177   0
 43  53.2894       88  12.2863      133   0.204499    178   0
 44   0            89  12.5351      134   0.4652      179   0
 45  40.3654       90  17.6975      135   0.212444    180   0
;

param ScenO :=
  1   56           46   17.52        91   64.82       136    0.652
  2   40           47   21.08        92   95.87       137    0.074
  3   30.1         48   49.16        93  122.01       138    0.535
  4   31.25        49   57.1         94  122.34       139    0.108
  5   35.01        50   48           95   98.2        140    0.343
  6   43.1         51   30.85        96   94.06       141    0.181
  7   54.85        52   26.25        97    0.294      142    0.156
  8   54.85        53   30.01        98    0          143    0.272
  9   55.27        54   43.1         99    0.347      144    0
 10   45           55   54.85       100    0          145    0.284
 11    6.37        56   51.85       101    0.394      146    0
 12    0.08        57   55.27       102    0          147    0.238
 13    0           58   45.25       103    0.401      148    0
 14   -0.01        59    6.37       104    0          149    0.185
 15   -0.01        60    0.58       105    0.386      150    0
 16    0           61   -2.91       106    0          151    0.151
 17    0.03        62   -0.49       107    0.403      152    0
 18    8.64        63   -1          108    0          153    0.124
 19   64.82        64   -5          109    0.395      154    0
 20   99.87        65    0.44       110    0.005      155    0.093
