#erel:= 0.800;
#emax:= 1120.101;
#q:= 0.000;
#nesce:=    64;
#etime:= 1.167;
#snodes:=  1145;
param nS:=   100;
param nSG:=    30;
param nRVSG :=
 1 24    4 24    7  2   10  2   13  2   16  2   19  2   22  2   25  2   28  2
 2 24    5  2    8  2   11  2   14  2   17  2   20  2   23  2   26  2   29  2
 3 24    6  2    9  2   12  2   15 12   18  2   21  2   24  2   27  2   30 24
;

param ScenF :=
  1  32.168       46  60.8503      91  94.3445     136   0.6304
  2  31.1127      47 135.19        92  83.2478     137   0.525434
  3  17.4485      48 120.889       93  67.8153     138   0.5084
  4   9.39726     49  71.295       94  83.1054     139   0.4845
  5   7.21088     50  68.1679      95  85.8305     140   0.3159
  6   1.92616     51  58.2184      96  76.2019     141   0.427362
  7  14.0129      52  45.6622      97   0.428148   142   0.0378
  8  29.5593      53  36.171       98   0          143   0.409103
  9  13.0095      54  28.6704      99   0.446205   144   0
 10   4.24946     55  41.2454     100   0          145   0.4493
 11   0           56  46.4757     101   0.469906   146   0
 12   0           57  43.2801     102   0          147   0.520618
 13   7.66643     58  43.0861     103   0.474098   148   0
 14  23.3834      59  28.2235     104   0          149   0.573094
 15  37.6162      60  22.0424     105   0.481174   150   0
 16  43.67        61  19.8907     106   0          151   0.586362
 17  45.1199      62  26.5815     107   0.504094   152   0
 18  43.176       63  35.6034     108   0          153   0.550977
 19  31.7488      64  35.3063     109   0.526123   154   0
 20  30.6523      65  38.878      110   0          155   0.491285
 21  28.6703      66  52.9403     111   0.532629   156   0
 22  49.829       67  56.8422     112   0.0409     157   0
 23  68.6206      68  52.4704     113   0.527576   158   0.614566
 24  62.9432      69  56.4528     114   0.2527     159   0.364983
 25  86.6394      70  58.2174     115   0.50112    160   0.567682
 26 106.68        71  63.0074     116   0.478      161   1.56289
 27  82.3188      72  47.99       117  31.5486     162   1.53365
 28 122.15        73  45.1978     118  35.3211     163   0.116402
 29 140.774       74  63.9478     119  34.3512     164   0
 30 129.768       75  64.1649     120  51.0743     165   0
 31 141.437       76  59.6971     121  44.0555     166   0
 32  50.6797      77  60.4699     122  78.6345     167  34.6897
 33   0           78  61.8463     123  92.4054     168   0
 34   0           79  55.7583     124 115.114      169   0
 35   0           80  45.5491     125 108.953      170  30.8224
 36   0           81  43.5849     126  91.836      171   0
 37   0           82  32.6683     127  89.5068     172  58.488
 38   0           83  30.7421     128  85.1758     173   0
 39   0           84  32.5739     129   0.497322   174   0
 40   0           85  29.2406     130   0.6223     175   0
 41   0           86  49.5951     131   0.522029   176   0.637612
 42  10.6511      87  60.2823     132   0.6841     177   0.263847
 43  70.8368      88  63.7703     133   0.537816   178   0.445377
 44 185.607       89  65.2709     134   0.6874     179   0.505285
 45   0           90  89.0756     135   0.537031   180   0.691403
;

param ScenO :=
  1  13.81        46  32.24        91  33.49       136   0.593
  2   8.48        47  38           92  47.7        137   0.447
  3   5.53        48  40           93  42.6        138   0.472
  4   3.71        49   6.8         94  36.68       139   0.449
  5   3.32        50   4.14        95  25.25       140   0.276
  6   4.68        51   2.53        96  16.36       141   0.444
  7   3.92        52   1           97   0.337      142   0.025
  8   3.71        53   0.32        98   0          143   0.461
  9   3.32        54   1           99   0.355      144   0
 10   5.24        55   2          100   0          145   0.457
 11   3.32        56   2          101   0.398      146   0
 12   3.32        57   2          102   0          147   0.448
 13   3.32        58   6.03       103   0.436      148   0
 14   3.32        59   3.82       104   0          149   0.451
 15   3.32        60   3.82       105   0.467      150   0
 16   3.32        61   3.82       106   0          151   0.491
