#erel:= 0.800;
#emax:= 1046.584;
#q:= 0.000;
#nesce:=    69;
#etime:= 1.257;
#snodes:=  1240;
param nS:=   100;
param nSG:=    30;
param nRVSG :=
 1 24    4 24    7  2   10  2   13  2   16  2   19  2   22  2   25  2   28  2
 2 24    5  2    8  2   11  2   14  2   17  2   20  2   23  2   26  2   29  2
 3 24    6  2    9  2   12  2   15 12   18  2   21  2   24  2   27  2   30 24
;

param ScenF :=
  1  124.494        46   27.1639       91  104.394       136    0.5696
  2  141.67         47    0            92  110.871       137    0.061595
  3  137.526        48    0            93  122.678       138    0.4391
  4  144.032        49   98.0491       94  113.414       139    0.0423527
  5  151.192        50  104.68         95  114.154       140    0.2173
  6  153.074        51   99.004        96  106.145       141    0.0305689
  7  158.398        52   90.9092       97    0           142    0.0143
  8  205.402        53   89.8689       98    0           143    0.0452982
  9  224.248        54   87.8453       99    0           144    0
 10  205.754        55   95.9041      100    0           145    0.10903
 11  178.199        56  126.055       101    0.0130742   146    0
 12  156.745        57  139.055       102    0           147    0.190249
 13  147.534        58  143.508       103    0.0511305   148    0
 14  139.884        59  146.099       104    0           149    0.26253
 15  134.15         60  122.089       105    0.07753     150    0
 16  132.291        61  113.035       106    0           151    0.295917
 17  166.539        62  101.422       107    0.124836    152    0
 18  209.902        63   88.1566      108    0           153    0.291783
 19  229.914        64   86.7418      109    0.182911    154    0
 20  226.157        65  129.884       110    0           155    0.273162
 21  246.893        66  166.553       111    0.228459    156    0
 22  252.998        67  165.74        112    0.0424      157    0
 23  225.831        68  148.64        113    0.259606    158    1.61956
 24  213.048        69  173.221       114    0.2791      159    2.07911
 25   34.3379       70  182.259       115    0.261127    160    4.92771
 26   45.0547       71  163.404       116    0.4999      161    7.09664
 27   90.8982       72  147.566       117   55.8716      162   25.5097
 28   91.4068       73   93.1605      118   63.7847      163    5.0127
 29   75.2991       74  113.8         119   63.3512      164    1.06068
 30   80.6585       75  123.299       120   80.0738      165    0
 31    8.46067      76  117.03        121   79.5678      166    0
 32   85.7853       77  102.111       122  111.21        167   79.0921
 33  169.274        78   99.2032      123  122.139       168    0
 34    0            79  116.302       124  142.756       169    0
 35  178.142        80  114.157       125  161.994       170 5689.97
 36  198.002        81  128.966       126  155.054       171  375.625
 37  169.429        82  113.711       127  133.672       172  343.428
 38  169.492        83  121.236       128  126.073       173  162.301
 39  170.275        84  131.563       129    0.23177     174   11.0325
 40  348.519        85  110.711       130    0.6185      175   61.2588
 41  176.227        86  100.682       131    0.181499    176    0.228203
 42  480.465        87   91.7064      132    0.6518      177    0
 43  135.746        88  102.032       133    0.130601    178    1.57867
 44    0            89  110.6         134    0.6275      179    1.11595
 45  123.97         90  118.345       135    0.088603    180    2.00837
;

param ScenO :=
  1 141.75        46   8.16        91 151          136   0.623
  2 135.01        47   7.28        92 144.13       137   0.039
  3 122           48   8.96        93 133.28       138   0.501
  4 121.4         49 135.61        94 136.43       139   0.041
  5 111.5         50 127.28        95 131.7        140   0.299
  6 115.79        51 113.63        96 120          141   0.047
  7 135           52 113.2         97   0.051      142   0.025
  8 150           53 106.6         98   0          143   0.06
  9 152.28        54 110.79        99   0.063      144   0
 10 140.8         55 132.05       100   0          145   0.078
 11 121           56 150          101   0.073      146   0
 12 108.95        57 152.3        102   0          147   0.095
 13 103.5         58 138.17       103   0.087      148   0
 14 103.19        59 115.9        104   0          149   0.102
 15 108.5         60 106.75       105   0.106      150   0
 16 119.81        61 100.5        106   0          151   0.099
 17 137.1         62 102.12       107   0.133      152   0
 18 150.4         63 108.37       108   0          153   0.096
 19 158.24        64 114.81       109   0.163      154   0
 20 154.12        65 134.1        110   0          155   0.109
 21 153           66 150.41       111   0.182      156   0
 22 148.58        67 157.71       112   0.06       157   0.706878
 23 140.6         68 149.65       113   0.159      158   0.75624
 24 140.01        69 150.01       114   0.306      159   0.846148
 25   7.16        70 148.58       115   0.107      160   0.794893
 26   8.8         71 140.01       116   0.507      161   1.12861
 27   8.68        72 128.34       117 106.04       162   1.10286
 28   8.8         73 139.75       118 102          163   0.738222
 29  10.52        74 132.01       119 107.27       164   0.8218
 30  10.52        75 120          120 114.96       165   0.937549
 31  10.52        76 114.27       121 128.54       166   0.518537
 32  10           77 108.72       122 144          167   0.331653
 33  10           78 109.75       123 146.68       168   0.723084
 34   8.8         79 133          124 144          169   1.11623
 35   9.32        80 150          125 128.92       170   0.705785
 36  15.88        81 150.28       126 129.17       171   0.856037
 37  15           82 139.18       127 129.17       172   0.616226
 38  14           83 115.11       128 114          173   0.260613
 39  12.4         84 106.95       129   0.077      174   0.760572
 40  15           85 101.56       130   0.63       175   0.669869
 41  10           86 101.12       131   0.063      176   0.716584
 42   8.84        87 106.5        132   0.686      177   0.659542
 43   8           88 115          133   0.054      178   0.792704
 44   5.8         89 131          134   0.683      179   0.747724
 45   7           90 144.02       135   0.045      180   0.594386
;

param Scen0 (tr)
 :    1	    2	    3	    4	    5	    6	    7	    8	    9	   10	   11	   12	   13	   14	   15	   16	   17	   18	   19	   20	   21	   22	   23	   24	   25	   26	   27	   28	   29	   30	   31	   32	   33	   34	   35	   36	   37	   38	   39	   40	   41	   42	   43	   44	   45	   46	   47	   48	   49	   50	   51	   52	   53	   54	   55	   56	   57	   58	   59	   60	   61	   62	   63	   64	   65	   66	   67	   68	   69	   70	   71	   72	   73	   74	   75	   76	   77	   78	   79	   80	   81	   82	   83	   84	   85	   86	   87	   88	   89	   90	   91	   92	   93	   94	   95	   96	   97	   98	   99	  100	  101	  102	  103	  104	  105	  106	  107	  108	  109	  110	  111	  112	  113	  114	  115	  116	  117	  118	  119	  120	  121	  122	  123	  124	  125	  126	  127	  128	  129	  130	  131	  132	  133	  134	  135	  136	  137	  138	  139	  140	  141	  142	  143	  144	  145	  146	  147	  148	  149	  150	  151	  152	  153	  154	  155	  156	  157	  158	  159	  160	  161	  162	  163	  164	  165	  166	  167	  168	  169	  170	  171	  172	  173	  174	  175	  176	  177	  178	  179	  180	:=
    1	141.750000	135.010000	122.000000	121.400000	111.500000	115.790000	135.000000	150.000000	152.280000	140.800000	121.000000	108.950000	103.500000	103.190000	108.500000	119.810000	137.100000	150.400000	158.240000	154.120000	153.000000	148.580000	140.600000	140.010000	7.160000	8.800000	8.680000	8.800000	10.520000	10.520000	10.520000	10.000000	10.000000	8.800000	9.320000	15.880000	15.000000	14.000000	12.400000	15.000000	10.000000	8.840000	8.000000	5.800000	7.000000	8.160000	7.280000	8.960000	135.610000	105.402000	99.935100	93.875900	85.231400	85.501500	89.801000	120.198000	134.491000	142.179000	142.617000	117.359000	112.746000	100.547000	81.181500	76.874700	123.856000	129.586000	160.642000	151.860000	170.198000	186.748000	159.456000	157.232000	139.750000	111.826000	124.218000	122.003000	98.185400	92.836100	103.881000	110.413000	121.088000	121.558000	121.657000	129.021000	124.482000	111.783000	101.296000	81.918700	102.954000	95.445300	95.859900	106.016000	114.354000	115.275000	105.520000	106.569000	0.051000	0.000000	0.037668	0.000000	0.044690	0.000000	0.103955	0.000000	0.150286	0.000000	0.205500	0.000000	0.249538	0.000000	0.283313	0.075300	0.313659	0.348500	0.314602	0.384100	106.040000	51.805100	52.197300	66.217600	73.509400	90.963800	96.040500	133.930000	157.171000	149.132000	126.473000	123.032000	0.174176	0.752700	0.283133	0.442200	0.295267	0.473800	0.199440	0.712100	0.195295	0.557200	0.151912	0.221800	0.162846	0.008500	0.020926	0.000000	0.118904	0.000000	0.199521	0.000000	0.237720	0.000000	0.249935	0.000000	0.231502	0.000000	0.211419	0.000000	0.706878	1.294280	1.804340	3.978550	4.951450	25.085700	4.027130	1.319920	0.272022	0.000000	114.233000	0.000000	0.000000	6140.860000	422.499000	349.293000	159.473000	10.724800	59.518300	0.000000	0.165175	1.780680	1.059340	2.101460	
    2	141.750000	135.010000	122.000000	121.400000	111.500000	115.790000	135.000000	150.000000	152.280000	140.800000	121.000000	108.950000	103.500000	103.190000	108.500000	119.810000	137.100000	150.400000	158.240000	154.120000	153.000000	148.580000	140.600000	140.010000	7.160000	8.800000	8.680000	8.800000	10.520000	10.520000	10.520000	10.000000	10.000000	8.800000	9.320000	15.880000	15.000000	14.000000	12.400000	15.000000	10.000000	8.840000	8.000000	5.800000	7.000000	8.160000	7.280000	8.960000	135.610000	98.756700	93.668600	94.180200	90.228500	89.839000	95.407900	122.031000	134.900000	136.257000	160.695000	129.344000	121.988000	109.316000	90.005000	94.350000	139.365000	150.836000	169.645000	166.490000	184.847000	189.238000	164.721000	148.820000	139.750000	116.861000	128.978000	123.855000	116.425000	100.697000	115.514000	119.710000	118.376000	103.505000	111.667000	121.916000	110.893000	98.393500	106.083000	107.247000	122.622000	123.916000	111.066000	129.157000	139.709000	139.586000	125.592000	109.604000	0.051000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.012268	0.000000	0.062932	0.000000	0.125686	0.000000	0.159093	0.037500	0.123485	0.247800	0.104292	0.833700	106.040000	87.613700	99.306800	87.313400	107.827000	132.060000	142.131000	153.191000	150.086000	155.549000	138.858000	132.823000	0.074999	0.925100	0.000000	0.904900	0.000000	0.782300	0.000000	1.117800	0.260050	1.223800	0.241030	0.682800	0.219437	0.018100	0.217881	0.000000	0.257913	0.000000	0.315174	0.000000	0.364928	0.000000	0.387806	0.000000	0.382697	0.000000	0.360426	0.000000	0.706878	0.762574	1.316770	4.479000	5.954730	25.293600	3.003110	0.866437	0.362114	2.080510	142.986000	11.639700	11.126400	6077.160000	413.659000	330.867000	170.359000	11.592600	80.113200	0.000000	0.514947	1.956130	1.184870	2.043990	
    3	141.750000	135.010000	122.000000	121.400000	111.500000	115.790000	135.000000	150.000000	152.280000	140.800000	121.000000	108.950000	103.500000	103.190000	108.500000	119.810000	137.100000	150.400000	158.240000	154.120000	153.000000	148.580000	140.600000	140.010000	7.160000	8.800000	8.680000	8.800000	10.520000	10.520000	10.520000	10.000000	10.000000	8.800000	9.320000	15.880000	15.000000	14.000000	12.400000	15.000000	10.000000	8.840000	8.000000	5.800000	7.000000	8.160000	7.280000	8.960000	135.610000	107.552000	104.208000	97.669500	94.079100	91.231800	103.052000	131.921000	139.983000	147.145000	147.903000	117.334000	109.010000	98.238000	80.549700	82.517700	125.561000	143.533000	162.326000	165.908000	174.782000	182.362000	156.014000	145.415000	139.750000	116.861000	128.978000	123.855000	116.425000	100.697000	115.514000	119.710000	118.376000	103.505000	111.667000	121.916000	110.893000	98.393500	79.500200	87.393400	111.456000	117.390000	95.924500	132.563000	131.588000	141.502000	128.591000	112.315000	0.051000	0.000000	0.007776	0.000000	0.028351	0.000000	0.045172	0.000000	0.082222	0.000000	0.145376	0.000000	0.190748	0.000000	0.225588	0.043300	0.278483	0.221900	0.299797	0.395700	106.040000	60.453300	61.466000	77.805200	84.707700	107.859000	118.279000	126.640000	147.767000	157.600000	140.147000	141.512000	0.336643	0.697900	0.244268	0.968600	0.153767	0.733800	0.192402	0.778700	0.138821	0.607900	0.083685	0.417600	0.082535	0.011600	0.096335	0.000000	0.132784	0.000000	0.179548	0.000000	0.257970	0.000000	0.307281	0.000000	0.320804	0.000000	0.310448	0.000000	0.706878	0.762574	1.316770	4.479000	5.954730	25.293600	3.003110	1.010230	0.331137	0.000000	95.323700	3.188940	0.000000	6024.490000	420.442000	345.664000	159.707000	13.196300	57.413800	0.273661	0.515821	1.999340	1.026050	1.862780	
    4	141.750000	135.010000	122.000000	121.400000	111.500000	115.790000	135.000000	150.000000	152.280000	140.800000	121.000000	108.950000	103.500000	103.190000	108.500000	119.810000	137.100000	150.400000	158.240000	154.120000	153.000000	148.580000	140.600000	140.010000	7.160000	8.800000	8.680000	8.800000	10.520000	10.520000	10.520000	10.000000	10.000000	8.800000	9.320000	15.880000	15.000000	14.000000	12.400000	15.000000	10.000000	8.840000	8.000000	5.800000	7.000000	8.160000	7.280000	8.960000	135.610000	97.993000	93.986800	89.797200	87.896700	86.050100	93.089800	123.326000	130.891000	139.243000	158.490000	127.124000	119.328000	109.246000	92.805500	97.488000	136.177000	155.375000	165.736000	161.289000	171.276000	190.752000	161.014000	152.073000	139.750000	107.959000	111.234000	115.385000	97.298400	100.630000	116.002000	117.829000	124.003000	120.479000	129.877000	133.614000	128.743000	117.862000	100.261000	103.297000	122.385000	119.820000	105.557000	116.487000	123.286000	125.631000	108.439000	108.500000	0.051000	0.000000	0.028657	0.000000	0.023767	0.000000	0.044050	0.000000	0.083815	0.000000	0.138802	0.000000	0.194426	0.000000	0.222220	0.041300	0.263674	0.306900	0.243448	0.535700	106.040000	25.649100	25.443200	38.844000	87.270500	120.559000	123.610000	150.484000	154.072000	159.395000	126.768000	126.617000	0.186990	0.817600	0.163816	0.829200	0.168645	0.788400	0.134884	0.570900	0.084297	0.389000	0.000000	0.271500	0.047457	0.021000	0.132924	0.000000	0.249421	0.000000	0.309265	0.000000	0.358697	0.000000	0.378030	0.000000	0.354013	0.000000	0.315991	0.000000	0.706878	1.418560	2.212010	4.981020	6.368800	25.671200	4.284290	1.046120	0.418767	0.686480	120.965000	0.000000	0.000000	6172.630000	428.985000	343.805000	161.809000	11.649800	54.509400	0.000000	0.532246	1.915450	1.030910	1.891670	
    5	141.750000	135.010000	122.000000	121.400000	111.500000	115.790000	135.000000	150.000000	152.280000	140.800000	121.000000	108.950000	103.500000	103.190000	108.500000	119.810000	137.100000	150.400000	158.240000	154.120000	153.000000	148.580000	140.600000	140.010000	7.160000	8.800000	8.680000	8.800000	10.520000	10.520000	10.520000	10.000000	10.000000	8.800000	9.320000	15.880000	15.000000	14.000000	12.400000	15.000000	10.000000	8.840000	8.000000	5.800000	7.000000	8.160000	7.280000	8.960000	135.610000	98.969900	95.086000	93.502700	97.295300	98.495800	107.266000	137.672000	143.262000	143.785000	141.129000	119.746000	110.888000	94.024700	74.247400	83.619100	125.561000	143.533000	162.326000	165.908000	174.782000	182.362000	156.014000	145.415000	139.750000	102.969000	110.092000	115.158000	113.325000	102.316000	123.408000	130.821000	111.059000	118.430000	121.380000	123.252000	123.689000	103.885000	84.634800	88.374500	88.173700	92.422200	96.995400	123.716000	127.251000	122.382000	106.786000	99.881600	0.051000	0.000000	0.005435	0.000000	0.004770	0.000000	0.059405	0.000000	0.096438	0.000000	0.126744	0.000000	0.175270	0.000000	0.228493	0.044900	0.279422	0.210400	0.257718	0.516500	106.040000	62.797300	60.397000	76.509400	86.775100	110.799000	117.522000	139.860000	153.428000	153.648000	134.163000	130.356000	0.227708	0.503400	0.226644	0.811700	0.010690	0.609500	0.047865	0.447300	0.000000	0.430700	0.019735	0.257600	0.254263	0.013500	0.302086	0.000000	0.344282	0.000000	0.384143	0.000000	0.406885	0.000000	0.419161	0.000000	0.364291	0.000000	0.356511	0.000000	0.706878	1.886360	2.076760	4.756190	5.814640	25.301100	3.864430	1.069730	0.495956	0.121784	41.442000	11.528800	14.960600	5972.940000	417.900000	354.147000	147.027000	7.983800	66.894200	0.000000	0.490921	1.686440	0.744081	2.954600	
