#erel:= 0.800;
#emax:= 968.021;
#q:= 0.000;
#nesce:=    71;
#etime:= 1.234;
#snodes:=  1313;
param nS:=   100;
param nSG:=    30;
param nRVSG :=
 1 24    4 24    7  2   10  2   13  2   16  2   19  2   22  2   25  2   28  2
 2 24    5  2    8  2   11  2   14  2   17  2   20  2   23  2   26  2   29  2
 3 24    6  2    9  2   12  2   15 12   18  2   21  2   24  2   27  2   30 24
;

param ScenF :=
  1   9.04476     46   9.93342     91 111.043      136   0.4586
  2   1.48375     47  13.1836      92 118.337      137   1.04363
  3   0           48  62.0208      93 134.985      138   0.4015
  4   0           49  22.8511      94 127.981      139   1.00436
  5   0           50  17.5431      95 103.2        140   0.2342
  6   0           51  12.0844      96  94.9986     141   0.909277
  7   0           52   6.36008     97   0.763111   142   0.0118
  8  19.3845      53   0           98   0          143   0.80217
  9  28.1191      54   0           99   0.770527   144   0
 10   2.8313      55   4.92022    100   0          145   0.709514
 11   0           56  21.4067     101   0.771032   146   0
 12   0           57  31.9451     102   0          147   0.680902
 13   0           58  35.0655     103   0.754165   148   0
 14   0           59  20.8392     104   0          149   0.68976
 15   0           60   1.00206    105   0.761382   150   0
 16   0           61   0          106   0          151   0.703347
 17   0           62   1.25132    107   0.797196   152   0
 18  11.6974      63   9.9161     108   0          153   0.697618
 19  44.9926      64  11.6633     109   0.841522   154   0
 20  61.1846      65  13.2056     110   0          155   0.637496
 21  87.082       66  54.6321     111   0.877518   156   0
 22  79.1171      67  80.5007     112   0.0155     157   0
 23  58.849       68  79.8125     113   0.895321   158   0.561568
 24  48.6497      69  93.7676     114   0.1164     159   0
 25  52.058       70  85.5839     115   0.880386   160  13.2427
 26  73.6236      71  73.3221     116   0.2463     161  10.0701
 27  86.1205      72  62.7299     117   0          162   0
 28  92.6754      73  28.5334     118   0          163   1.51298
 29 108.754       74  30.8324     119   0          164   8.36624
 30 113.542       75  37.9069     120   2.19674    165   8.9187
 31  70.4297      76  30.985      121   4.24712    166   1.52542
 32  85.9076      77  17.4245     122  35.3873     167   0
 33 256.82        78  31.2907     123  62.4649     168   0
 34 439.205       79  41.1896     124  84.2262     169  56.4308
 35  59.8658      80  49.5048     125  73.4195     170   0
 36   0           81  69.3951     126  73.1348     171 203.535
 37   0           82  43.5333     127  70.2462     172 190.31
 38   0           83  40.1031     128  66.2678     173   0
 39   0           84  20.9305     129   0.892679   174  23.6671
 40  13.5602      85   8.8707     130   0.4554     175   0
 41 138.477       86  11.2726     131   0.947871   176   6.45986
 42 128.164       87  20.3289     132   0.4891     177   2.71696
 43  30.4568      88  37.7759     133   0.997491   178   5.01931
 44  40.9591      89  57.0475     134   0.4712     179   7.88954
 45   5.25968     90  87.2618     135   1.0296     180   6.83093
;

param ScenO :=
  1   18.64        46   31.72        91   79.97       136    0.518
  2   13.9         47   35.6         92   77.5        137    0.991
  3    8.19        48   23.16        93   76.4        138    0.389
  4    3.6         49   16.41        94   78.7        139    0.986
  5    3.32        50   10.9         95   71.5        140    0.199
  6    3.32        51    0           96   56.05       141    0.979
  7    3.32        52   -5.4         97    0.987      142    0.008
  8    5           53   -0.71        98    0          143    0.973
  9    5           54   -0.71        99    0.99       144    0
 10    3.32        55   -0.71       100    0          145    0.967
 11    3.04        56   -0.5        101    0.991      146    0
 12    0.44        57   -0.71       102    0          147    0.956
 13    0.44        58   -1.01       103    0.991      148    0
 14    0.44        59   -0.71       104    0          149    0.946
 15    0.44        60   -0.71       105    0.99       150    0
 16    0.44        61   -0.56       106    0          151    0.941
 17    3.32        62    0          107    0.988      152    0
 18   41.24        63   -0.06       108    0          153    0.938
 19   74.97        64   -0.71       109    0.98       154    0
 20   72.5         65    0          110    0          155    0.937
 21   71.68        66   41.24       111    0.973      156    0
 22   72.4         67   76.77       112    0.014      157   10.4732
 23   68.5         68   74.3        113    0.97       158    0.422302
 24   55.06        69   75.68       114    0.17       159    0.506716
 25   60           70   75.7        115    0.98       160    0.019444
 26   60           71   73.5        116    0.37       161   -1.05422
 27   60           72   55.06       117   -4.56       162    0.003012
 28   60           73   63.08       118   -7.06       163   -0.180723
 29   60           74   14          119   -9.56       164   -0.068
 30   60           75    3.32       120   -5          165   19.684
 31   60           76    0          121  -10.12       166    0.069277
 32   60           77    0          122   38.24       167  -12.4967
 33  170           78    0          123   79.5        168 -141.659
 34  124.04        79    0          124   82          169 -116.864
 35    5.56        80    7.44       125   76          170 -112.068
 36    5           81    0          126   80          171  -88
 37    4.68        82   -0.18       127   72          172 -109.295
 38    5           83    0          128   61.7        173   -7.88554
 39    5           84    0          129    0.989      174    6.47187
 40    7.08        85    0.43       130    0.536      175    5.28758
 41   95.8         86    0.44       131    0.991      176    5.98745
 42  104.88        87    0.44       132    0.612      177    6.0685
 43   44           88    3.32       133    0.991      178    5.26492
 44   44           89    3.32       134    0.598      179    6.60891
 45   36.08        90   46.24       135    0.991      180    3.07065
;

param Scen0 (tr)
 :    1	    2	    3	    4	    5	    6	    7	    8	    9	   10	   11	   12	   13	   14	   15	   16	   17	   18	   19	   20	   21	   22	   23	   24	   25	   26	   27	   28	   29	   30	   31	   32	   33	   34	   35	   36	   37	   38	   39	   40	   41	   42	   43	   44	   45	   46	   47	   48	   49	   50	   51	   52	   53	   54	   55	   56	   57	   58	   59	   60	   61	   62	   63	   64	   65	   66	   67	   68	   69	   70	   71	   72	   73	   74	   75	   76	   77	   78	   79	   80	   81	   82	   83	   84	   85	   86	   87	   88	   89	   90	   91	   92	   93	   94	   95	   96	   97	   98	   99	  100	  101	  102	  103	  104	  105	  106	  107	  108	  109	  110	  111	  112	  113	  114	  115	  116	  117	  118	  119	  120	  121	  122	  123	  124	  125	  126	  127	  128	  129	  130	  131	  132	  133	  134	  135	  136	  137	  138	  139	  140	  141	  142	  143	  144	  145	  146	  147	  148	  149	  150	  151	  152	  153	  154	  155	  156	  157	  158	  159	  160	  161	  162	  163	  164	  165	  166	  167	  168	  169	  170	  171	  172	  173	  174	  175	  176	  177	  178	  179	  180	:=
    1	18.640000	13.900000	8.190000	3.600000	3.320000	3.320000	3.320000	5.000000	5.000000	3.320000	3.040000	0.440000	0.440000	0.440000	0.440000	0.440000	3.320000	41.240000	74.970000	72.500000	71.680000	72.400000	68.500000	55.060000	60.000000	60.000000	60.000000	60.000000	60.000000	60.000000	60.000000	60.000000	170.000000	124.040000	5.560000	5.000000	4.680000	5.000000	5.000000	7.080000	95.800000	104.880000	44.000000	44.000000	36.080000	31.720000	35.600000	23.160000	16.410000	13.530500	0.000000	0.000000	0.000000	0.000000	0.000000	17.442800	30.839200	24.118200	21.010000	0.000000	0.000000	0.000000	0.000000	24.264200	25.253300	43.318500	87.772500	99.033700	105.708000	89.297500	70.938900	58.787200	63.080000	0.438755	13.351900	17.050500	20.568700	26.272700	39.965300	55.809100	57.053900	33.832600	40.898800	14.097300	2.061680	5.361650	3.115370	29.714000	65.529200	88.293400	108.337000	124.122000	134.643000	116.229000	103.156000	100.543000	0.987000	0.000000	0.812416	0.000000	0.839108	0.000000	0.807189	0.000000	1.014830	0.000000	1.062580	0.000000	1.166590	0.000000	1.248550	0.010700	1.273460	0.063400	0.957045	0.194700	-4.560000	32.552600	44.502800	19.809000	43.803400	68.333700	83.484800	89.050000	62.596500	70.106700	84.178000	82.299800	0.980363	0.392900	1.161430	0.311600	1.189170	0.534800	1.211600	0.615200	1.247130	0.352200	1.223690	0.322500	1.094830	0.012200	0.987751	0.000000	0.866052	0.000000	0.797446	0.000000	0.792787	0.000000	0.792188	0.000000	0.781912	0.000000	0.721471	0.000000	10.473200	0.823551	0.253393	13.251500	10.913200	0.750314	1.476950	8.605590	8.547450	1.425590	30.429800	8.243780	60.021500	85.511000	178.649000	178.661000	8.454160	22.429600	0.002277	6.250200	2.824520	5.167840	7.765550	6.825240	
    2	18.640000	13.900000	8.190000	3.600000	3.320000	3.320000	3.320000	5.000000	5.000000	3.320000	3.040000	0.440000	0.440000	0.440000	0.440000	0.440000	3.320000	41.240000	74.970000	72.500000	71.680000	72.400000	68.500000	55.060000	60.000000	60.000000	60.000000	60.000000	60.000000	60.000000	60.000000	60.000000	170.000000	124.040000	5.560000	5.000000	4.680000	5.000000	5.000000	7.080000	95.800000	104.880000	44.000000	44.000000	36.080000	31.720000	35.600000	23.160000	16.410000	17.282700	2.645850	2.519870	0.000000	0.000000	10.498800	27.969700	36.312100	28.618900	29.161200	3.796970	3.981310	4.186080	8.050870	17.931000	23.399200	48.196200	96.091500	98.976900	101.210000	100.897000	81.001000	73.056300	63.080000	39.528900	36.072300	31.688600	23.063000	32.540700	49.692400	64.914900	68.964600	58.740200	45.813000	16.037000	13.096300	11.493200	26.052600	45.950100	75.305800	85.839700	124.509000	142.919000	140.041000	128.107000	111.369000	97.577900	0.987000	0.000000	0.775295	0.000000	0.774831	0.000000	0.745691	0.000000	0.685760	0.000000	0.712848	0.000000	0.776323	0.000000	0.808499	0.011200	0.770305	0.082100	0.740459	0.229100	-4.560000	32.552600	44.502800	19.809000	43.803400	68.333700	83.484800	89.050000	62.596500	70.106700	71.394000	50.038500	0.753892	0.383200	0.770353	0.438100	0.791536	0.508400	0.816794	0.295700	0.728308	0.296700	0.714291	0.257300	0.646770	0.007500	0.565560	0.000000	0.484323	0.000000	0.447200	0.000000	0.446755	0.000000	0.468741	0.000000	0.493257	0.000000	0.463931	0.000000	10.473200	0.000000	0.000000	12.260900	8.734920	1.768390	0.000000	8.191390	8.630500	2.200640	40.340100	8.022960	70.533900	146.473000	169.145000	177.726000	23.858800	23.270300	15.624500	6.170180	3.017730	5.279300	8.065110	7.037890	
    3	18.640000	13.900000	8.190000	3.600000	3.320000	3.320000	3.320000	5.000000	5.000000	3.320000	3.040000	0.440000	0.440000	0.440000	0.440000	0.440000	3.320000	41.240000	74.970000	72.500000	71.680000	72.400000	68.500000	55.060000	60.000000	60.000000	60.000000	60.000000	60.000000	60.000000	60.000000	60.000000	170.000000	124.040000	5.560000	5.000000	4.680000	5.000000	5.000000	7.080000	95.800000	104.880000	44.000000	44.000000	36.080000	31.720000	35.600000	23.160000	16.410000	13.734800	10.295200	6.288570	3.737080	7.744180	14.446700	26.588200	39.374300	36.108200	25.580100	6.677850	10.313500	9.544410	15.342200	17.981000	13.564700	43.654200	81.201400	95.087500	98.485000	99.963700	70.903100	62.948600	63.080000	35.771400	44.024000	33.476800	25.182500	28.315300	40.751600	66.917400	61.349700	50.612300	32.741100	18.523400	16.430300	19.056400	45.364900	47.047800	67.053100	89.405300	111.035000	133.555000	125.721000	120.242000	99.115600	98.033000	0.987000	0.000000	0.771122	0.000000	0.758149	0.000000	0.736281	0.000000	0.751875	0.000000	0.755155	0.000000	0.796272	0.000000	0.791779	0.017300	0.768311	0.137100	0.790529	0.231700	-4.560000	0.000000	0.000000	0.000000	16.394100	37.984000	72.306800	88.642700	69.611900	63.107400	71.982200	67.815500	0.841243	0.487300	0.843761	0.576000	0.925719	0.473200	0.983618	0.432800	1.063600	0.501300	1.040890	0.229400	0.941204	0.014100	0.834871	0.000000	0.772861	0.000000	0.746422	0.000000	0.729071	0.000000	0.746122	0.000000	0.691067	0.000000	0.640178	0.000000	10.473200	0.000000	0.000000	12.928900	9.597020	0.000000	1.529760	9.051150	9.273090	1.917270	0.000000	3.358350	54.649200	77.697300	169.936000	165.238000	33.551900	23.282300	34.866100	6.127520	2.891080	5.128640	8.196380	7.191820	
    4	18.640000	13.900000	8.190000	3.600000	3.320000	3.320000	3.320000	5.000000	5.000000	3.320000	3.040000	0.440000	0.440000	0.440000	0.440000	0.440000	3.320000	41.240000	74.970000	72.500000	71.680000	72.400000	68.500000	55.060000	60.000000	60.000000	60.000000	60.000000	60.000000	60.000000	60.000000	60.000000	170.000000	124.040000	5.560000	5.000000	4.680000	5.000000	5.000000	7.080000	95.800000	104.880000	44.000000	44.000000	36.080000	31.720000	35.600000	23.160000	16.410000	12.671300	14.630900	7.096580	0.000000	0.000000	1.605900	23.328800	23.166500	16.057000	24.130900	2.127830	0.000000	4.647090	1.462380	13.570400	12.579100	36.026100	84.874900	91.259400	93.637200	84.123200	73.269000	64.285500	63.080000	16.471100	19.867200	17.428400	3.030350	18.106000	32.545300	39.397300	55.648500	37.438700	38.572600	2.346720	0.000000	0.000000	5.163560	32.478400	40.346400	61.687300	104.875000	124.045000	137.251000	126.260000	104.130000	86.043900	0.987000	0.000000	0.769202	0.000000	0.788309	0.000000	0.776962	0.000000	0.808239	0.000000	0.885388	0.000000	0.857075	0.000000	0.898655	0.011400	0.979071	0.086100	0.855669	0.246800	-4.560000	0.000000	0.000000	0.000000	9.840770	35.147900	60.712000	84.269800	74.062100	69.451600	70.554400	62.029100	0.959873	0.412900	0.998512	0.377300	1.070650	0.413400	1.072030	0.337000	1.031670	0.442300	1.130270	0.229900	0.990559	0.010700	0.903808	0.000000	0.810762	0.000000	0.818066	0.000000	0.820150	0.000000	0.841025	0.000000	0.837741	0.000000	0.808000	0.000000	10.473200	0.534106	0.000000	13.675600	10.063600	0.009868	1.160960	8.506780	8.904790	1.495960	12.687400	0.243834	60.622900	85.308200	205.700000	190.621000	0.340149	14.466000	0.000000	6.078790	2.456920	5.013550	7.924970	6.950920	
