#erel:= 0.800;
#emax:= 1036.845;
#q:= 0.000;
#nesce:=    67;
#etime:= 1.091;
#snodes:=   886;
param nS:=   100;
param nSG:=    30;
param nRVSG :=
 1 24    4 24    7  2   10  2   13  2   16  2   19  2   22  2   25  2   28  2
 2 24    5  2    8  2   11  2   14  2   17  2   20  2   23  2   26  2   29  2
 3 24    6  2    9  2   12  2   15 12   18  2   21  2   24  2   27  2   30 24
;

param ScenF :=
  1  24.5753       46  23.3074       91   7.42179     136   0.3215
  2  27.9125       47  34.7507       92  44.3808      137   0.0947676
  3  29.2361       48  28.4202       93  71.4318      138   0.2398
  4  37.7225       49   0            94  97.5962      139   0.0430255
  5  45.0033       50   0            95  61.2082      140   0.1183
  6  45.4847       51   0            96  66.4442      141   0
  7  46.4473       52   0            97   0           142   0.0334
  8  60.9795       53   0            98   0           143   0
  9  70.8261       54   0            99   0           144   0
 10  62.8587       55   0           100   0           145   0.0534245
 11  65.8681       56   0           101   0           146   0
 12  76.4805       57   0           102   0           147   0.152445
 13  76.4417       58  16.1415      103   0           148   0
 14  75.3485       59  41.5943      104   0           149   0.251427
 15  57.1094       60  48.1833      105   0           150   0
 16  25.4029       61  34.8556      106   0           151   0.304657
 17  37.2032       62  14.6714      107   0           152   0
 18  61.457        63   0           108   0           153   0.287506
 19  67.6759       64   0           109   0.0226906   154   0
 20  37.7706       65   0           110   0.0106      155   0.248265
 21  37.2597       66   0           111   0.0356166   156   0
 22  32.9451       67  42.4651      112   0.0907      157   0.585794
 23  18.7678       68   0           113   0.0803153   158   0.766832
 24  20.7176       69   0           114   0.1718      159   3.08108
 25  37.9774       70   0           115   0.0826034   160  10.799
 26  39.633        71   0           116   0.2367      161  33.2756
 27  41.6619       72   0           117  13.4916      162  29.4212
 28  41.3249       73   0           118  26.2673      163   0
 29  43.1954       74   0           119  29.3628      164   0
 30  38.3219       75   0           120  34.9709      165   0
 31  16.1774       76   0           121  35.4205      166  44.2167
 32   0            77   0           122  62.2584      167 951.628
 33 108.082        78   0           123  93.3663      168 108.47
 34  33.6041       79   0           124  83.5801      169   0
 35  87.3327       80   0           125 103.213       170   0
 36  64.3383       81   0           126  87.7582      171 529.316
 37  43.8366       82   0           127  45.9332      172   0
 38  34.8424       83   0           128  43.5484      173   0
 39  35.3724       84   0           129   0.105177    174   0
 40  39.6338       85   0           130   0.2851      175   0
 41  47.2692       86   0           131   0.131957    176   9.43672
 42  78.796        87   0           132   0.3345      177   0
 43  76.0116       88   0           133   0.137452    178   0
 44 113.602        89   0           134   0.3404      179   0
 45   0            90   0           135   0.122229    180   0
;

param ScenO :=
  1   33.1         46   57.96        91   43.38       136    0.442
  2   24.35        47   38.76        92   83.9        137    0.618
  3   19.57        48   52.36        93   90          138    0.517
  4    7           49   34.47        94   78.29       139    0.462
  5    4.9         50   24.35        95   38.93       140    0.4
  6   21.54        51   19.57        96   26          141    0.287
  7   39.58        52    7           97    0.008      142    0.174
  8   52.98        53    4.9         98    0          143    0.198
  9   77.71        54   21.54        99    0.034      144    0.006
 10   48.38        55   39.58       100    0          145    0.227
 11   30.1         56   52.98       101    0.266      146    0
 12    3.32        57   80.7        102    0          147    0.3
 13    3.32        58   48.38       103    0.655      148    0
 14    0.97        59   30.1        104    0          149    0.36
 15    0.01        60    3.32       105    0.7        150    0
 16    0           61    3.32       106    0          151    0.387
 17    0.51        62    0.97       107    0.692      152    0
 18    5           63    0.01       108    0          153    0.359
 19   48.38        64    0          109    0.749      154    0
 20   79.9         65    0.51       110    0.028      155    0.301
 21   90           66    5          111    0.791      156    0
 22   83.19        67   48.38       112    0.231      157    0.302719
 23   46.08        68   79.9        113    0.889      158    0.832444
 24   33.1         69   90          114    0.46       159    0.2279
 25   40.88        70   83.19       115    0.91       160    0.03
 26   47.36        71   46.08       116    0.618      161    0
 27   50.88        72   33.1        117   -5          162    0.006964
