#erel:= 0.800;
#emax:= 706.762;
#q:= 0.000;
#nesce:=    62;
#etime:= 1.833;
#snodes:=  1438;
param nS:=   100;
param nSG:=    30;
param nRVSG :=
 1 24    4 24    7  2   10  2   13  2   16  2   19  2   22  2   25  2   28  2
 2 24    5  2    8  2   11  2   14  2   17  2   20  2   23  2   26  2   29  2
 3 24    6  2    9  2   12  2   15 12   18  2   21  2   24  2   27  2   30 24
;

param ScenF :=
  1 105.611        46  31.753        91 142.155       136   0.4086
  2 125.931        47  33.6269       92 136.491       137   0.233048
  3 111.169        48  34.1698       93 128.815       138   0.3273
  4 106.785        49 127.138        94 126.781       139   0.264062
  5 119.497        50 138.843        95 101.054       140   0.202
  6 113.178        51 129.166        96  85.2159      141   0.300342
  7 110.217        52 116.948        97   0           142   0.0271
  8 116.552        53 122.395        98   0           143   0.325935
  9 103.812        54 124.537        99   0.0119398   144   0
 10  75.8377       55 129.032       100   0           145   0.324992
 11  48.539        56 139.205       101   0.0310903   146   0
 12  38.5398       57 148.228       102   0           147   0.310225
 13  31.5348       58 132.055       103   0.0226905   148   0
 14  32.8282       59 110.38        104   0           149   0.28184
 15  33.2494       60  76.7145      105   0.0157477   150   0
 16  31.0296       61  57.827       106   0           151   0.258573
 17  47.0725       62  60.6347      107   0           152   0
 18  72.3343       63  57.929       108   0           153   0.24365
 19  93.8208       64  49.6634      109   0           154   0
 20 108.88         65  72.1984      110   0           155   0.226096
 21 116.776        66 130.384       111   0           156   0
 22 123.132        67 167.906       112   0.0696      157   0
 23 115.658        68 159.882       113   0           158   0.938526
 24 109.455        69 175.389       114   0.2867      159   0.795986
 25  23.7259       70 170.833       115   0           160   0
 26  13.3257       71 143.632       116   0.4897      161   0.84447
 27  14.0458       72 115.935       117  68.0488      162   1.16998
 28  12.5219       73  62.9383      118  67.6519      163   1.51199
 29   0            74  88.879       119  60.2193      164   0.817438
 30   6.13038      75  85.625       120  70.0299      165   0.120145
 31   8.22662      76  81.7077      121  68.8246      166   0
 32  85.7432       77  87.3925      122 126.464       167  16.1959
 33 151.499        78  85.5811      123 154.227       168   0
 34   0            79  78.9005      124 152.501       169   9.06248
 35   8.99046      80  76.5276      125 132.197       170   0
 36  26.7907       81  97.7138      126 157.804       171   0
 37  37.2685       82  78.2578      127 136.281       172   3.7177
 38  36.7603       83  80.2823      128 118.601       173   4.51339
 39  29.0042       84  53.7147      129   0.0155288   174   0.399761
 40  65.6674       85  50.8755      130   0.6156      175  64.1868
 41  68.7747       86  63.9133      131   0.0767163   176   0.360133
 42 142.188        87  71.3346      132   0.6569      177   0.380599
 43   0            88  61.2418      133   0.142586    178   0.503203
 44   9.54703      89  71.862       134   0.5958      179   0.721671
 45  50.0814       90 114.752       135   0.192986    180   1.05035
;

param ScenO :=
  1 104.99        46  20           91 118.77       136   0.606
  2 102.28        47  41.04        92 123.02       137   0.086
  3  97.69        48  43.92        93 120.62       138   0.475
  4  92.52        49  97.54        94 110.28       139   0.076
  5  90           50  96.84        95 106.9        140   0.277
  6  89.18        51  94.61        96 102.64       141   0.111
  7  95.09        52  91.32        97   0.087      142   0.054
  8 102.45        53  89.85        98   0          143   0.172
  9  97.95        54  89.28        99   0.165      144   0
 10  82.78        55  92.09       100   0          145   0.231
 11  65.2         56  96.45       101   0.266      146   0
 12  50           57  92.95       102   0          147   0.281
 13  48.4         58  80          103   0.353      148   0
 14  49.01        59  65.2        104   0          149   0.322
 15  49.01        60  50          105   0.429      150   0
 16  50.24        61  30.74       106   0          151   0.36
