#erel:= 0.800;
#emax:= 665.365;
#q:= 0.000;
#nesce:=    61;
#etime:= 1.295;
#snodes:=  1398;
param nS:=   100;
param nSG:=    30;
param nRVSG :=
 1 24    4 24    7  2   10  2   13  2   16  2   19  2   22  2   25  2   28  2
 2 24    5  2    8  2   11  2   14  2   17  2   20  2   23  2   26  2   29  2
 3 24    6  2    9  2   12  2   15 12   18  2   21  2   24  2   27  2   30 24
;

param ScenF :=
  1  55.5363      46  42.6722      91 137.504      136   0.6137
  2  54.6268      47  43.3744      92 121.685      137   0.323186
  3  46.2577      48  53.869       93 104.896      138   0.4878
  4  39.5057      49  82.2489      94 109.993      139   0.371125
  5  39.0246      50  83.1473      95 110.738      140   0.2948
  6  37.7471      51  76.0299      96  94.8073     141   0.443415
  7  57.2867      52  64.8921      97   0.362198   142   0.0601
  8 100.616       53  60.434       98   0          143   0.522197
  9 104.391       54  62.9689      99   0.389734   144   0
 10  49.3001      55  77.8152     100   0          145   0.589937
 11   0           56 100.929      101   0.405591   146   0
 12   0           57 110.365      102   0          147   0.604846
 13   0           58  92.1737     103   0.348712   148   0
 14   0           59  63.2956     104   0          149   0.580788
 15   0           60  39.1606     105   0.301937   150   0
 16   0           61  22.0927     106   0          151   0.556933
 17  14.4974      62  22.556      107   0.259397   152   0
 18  40.949       63  14.6153     108   0          153   0.520064
 19  76.9804      64   5.33736    109   0.239991   154   0
 20  81.9726      65  30.0445     110   0          155   0.478779
 21 105.335       66  82.8562     111   0.256478   156   0
 22 100.274       67 117.873      112   0.0791     157   0
 23  87.6111      68  94.8346     113   0.284523   158   0.936921
 24  78.1494      69 104.271      114   0.3225     159   0.960161
 25  60.1015      70 112.14       115   0.307742   160   0.711927
 26  55.4698      71 106.018      116   0.5043     161   1.111
 27  58.9464      72  83.3521     117  73.2929     162   0.465146
 28  65.1134      73  72.2063     118  74.8263     163   0.570596
 29  56.8313      74  94.4793     119  63.8828     164   0.315959
 30  63.3358      75  93.679      120  64.1243     165   0.144083
 31  61.8249      76  85.7472     121  75.8726     166   0
 32 146.711       77  69.3687     122 109.702      167   0.634505
 33 214.038       78  75.7453     123 100.348      168   0
 34  53.7136      79 108.916      124  95.3745     169   0
 35  48.5733      80 112.884      125 107.193      170   0
 36  44.8831      81 142.865      126 135.499      171   1.06151
 37  36.505       82  88.804      127 105.208      172  37.923
 38  43.4986      83  71.6753     128  92.6472     173   0
 39  45.6766      84  57.5448     129   0.327291   174   1.58298
 40  87.8033      85  29.484      130   0.6199     175   7.99471
 41  91.7579      86  32.7411     131   0.336229   176   0.755316
 42 201.027       87  30.1289     132   0.6823     177   0.438043
 43  37.224       88  29.755      133   0.318858   178   0.478376
 44  43.3476      89  53.6933     134   0.6837     179   0.711749
 45  29.7881      90  98.9214     135   0.306401   180   1.07156
;

param ScenO :=
  1  65           46  14.6         91 102.21       136   0.127
  2  49.97        47  15.68        92 115.28       137   0.255
  3  49.78        48  17.2         93 122.99       138   0.08
  4  45.38        49  70.21        94 116          139   0.431
  5  31.24        50  57.97        95 115          140   0.033
  6  49.84        51  54.79        96 108.71       141   0.641
  7  70.2         52  50.38        97   0.444      142   0.002
  8 102.66        53  37.24        98   0          143   0.724
  9 102.67        54  54.84        99   0.451      144   0
 10  69.98        55  65.2        100   0          145   0.707
 11   4.31        56  97.66       101   0.491      146   0
 12   3.32        57  97.67       102   0          147   0.668
 13   3.32        58  64.98       103   0.576      148   0
 14   3.32        59   0.31       104   0          149   0.644
 15   3.32        60   0          105   0.622      150   0
 16   3.32        61   0          106   0          151   0.581
 17  49.84        62   0          107   0.658      152   0
 18 102.67        63   0          108   0          153   0.497
 19 115.06        64   0.8        109   0.645      154   0
 20 120.76        65  54.84       110   0          155   0.494
 21 128.86        66 102.67       111   0.59       156   0
 22 120.28        67 107.23       112   0.024      157   0.271846
 23 119.92        68 115.76       113   0.484      158   0
 24 113.87        69 125          114   0.141      159   0.037164
 25  41.2         70 117.28       115   0.331      160   0.162186
 26  40.16        71 116          116   0.234      161   0.006722
 27  43.96        72 106.87       117   0          162   0.205658
 28  43.72        73  73.92       118   1.5        163  -0.040456
 29  50.48        74  65          119   1.5        164   0.070914
 30  43.2         75  57          120   1.5        165   0.047239
 31  35.72        76  55.11       121  35          166  -0.077022
 32  33.36        77  40.52       122  98.74       167  -1.52668
 33  48.84        78  49.84       123  92.05       168  -3.64759
 34  55.6         79  42          124 104.8        169  -6.2741
 35  10.08        80  78.2        125 120          170  -3.58735
 36   8.52        81  78.2        126 114          171  -3.13253
 37   8           82  50.08       127 112          172  -2.4247
 38   8           83   4.31       128  98.72       173  -0.241573
 39   8           84   2          129   0.203      174   0.122821
 40   8.52        85   0.32       130   0.259      175   0.564749
 41  39.96        86   3.32       131   0.18       176   0.645826
 42  27           87   3.32       132   0.183      177   0.631072
 43  23.2         88   3.32       133   0.192      178   0.727636
 44  15.68        89  45.74       134   0.148      179   0.616161
 45   9.08        90  88.74       135   0.205      180   0.517608
;

param Scen0 (tr)
 :    1	    2	    3	    4	    5	    6	    7	    8	    9	   10	   11	   12	   13	   14	   15	   16	   17	   18	   19	   20	   21	   22	   23	   24	   25	   26	   27	   28	   29	   30	   31	   32	   33	   34	   35	   36	   37	   38	   39	   40	   41	   42	   43	   44	   45	   46	   47	   48	   49	   50	   51	   52	   53	   54	   55	   56	   57	   58	   59	   60	   61	   62	   63	   64	   65	   66	   67	   68	   69	   70	   71	   72	   73	   74	   75	   76	   77	   78	   79	   80	   81	   82	   83	   84	   85	   86	   87	   88	   89	   90	   91	   92	   93	   94	   95	   96	   97	   98	   99	  100	  101	  102	  103	  104	  105	  106	  107	  108	  109	  110	  111	  112	  113	  114	  115	  116	  117	  118	  119	  120	  121	  122	  123	  124	  125	  126	  127	  128	  129	  130	  131	  132	  133	  134	  135	  136	  137	  138	  139	  140	  141	  142	  143	  144	  145	  146	  147	  148	  149	  150	  151	  152	  153	  154	  155	  156	  157	  158	  159	  160	  161	  162	  163	  164	  165	  166	  167	  168	  169	  170	  171	  172	  173	  174	  175	  176	  177	  178	  179	  180	:=
    1	65.000000	49.970000	49.780000	45.380000	31.240000	49.840000	70.200000	102.660000	102.670000	69.980000	4.310000	3.320000	3.320000	3.320000	3.320000	3.320000	49.840000	102.670000	115.060000	120.760000	128.860000	120.280000	119.920000	113.870000	41.200000	40.160000	43.960000	43.720000	50.480000	43.200000	35.720000	33.360000	48.840000	55.600000	10.080000	8.520000	8.000000	8.000000	8.000000	8.520000	39.960000	27.000000	23.200000	15.680000	9.080000	14.600000	15.680000	17.200000	70.210000	57.970000	54.790000	50.380000	37.240000	54.840000	65.200000	97.660000	97.670000	64.980000	0.310000	0.000000	0.000000	0.000000	0.000000	0.800000	54.840000	102.670000	107.230000	115.760000	125.000000	117.280000	116.000000	106.870000	73.920000	89.015000	84.331100	87.812800	63.997500	78.935500	109.521000	122.405000	137.222000	102.921000	83.289700	52.334000	43.866200	38.328600	33.662400	30.981400	57.777600	99.132600	138.070000	118.350000	95.543300	113.475000	107.106000	89.131600	0.444000	0.000000	0.383134	0.000000	0.404015	0.000000	0.358113	0.000000	0.332764	0.000000	0.273076	0.000000	0.271236	0.000000	0.288285	0.072600	0.355804	0.359200	0.375978	0.569600	0.000000	50.996800	52.464300	44.347400	70.403600	103.071000	99.702700	95.661800	94.661600	111.290000	104.587000	100.486000	0.301393	0.662300	0.307103	0.745100	0.326661	0.709400	0.327320	0.661300	0.296932	0.468400	0.366096	0.327000	0.413185	0.056200	0.509101	0.000000	0.594478	0.000000	0.597814	0.000000	0.532128	0.000000	0.525176	0.000000	0.511188	0.000000	0.483743	0.000000	0.271846	1.268320	0.860510	0.604409	1.582370	0.000000	0.467369	0.407588	0.702485	0.000000	0.000000	1.490320	0.000000	375.860000	17.583500	38.384900	0.000000	2.094050	0.000000	0.638319	0.763881	0.687315	0.684103	0.819000	
    2	65.000000	49.970000	49.780000	45.380000	31.240000	49.840000	70.200000	102.660000	102.670000	69.980000	4.310000	3.320000	3.320000	3.320000	3.320000	3.320000	49.840000	102.670000	115.060000	120.760000	128.860000	120.280000	119.920000	113.870000	41.200000	40.160000	43.960000	43.720000	50.480000	43.200000	35.720000	33.360000	48.840000	55.600000	10.080000	8.520000	8.000000	8.000000	8.000000	8.520000	39.960000	27.000000	23.200000	15.680000	9.080000	14.600000	15.680000	17.200000	70.210000	57.970000	54.790000	50.380000	37.240000	54.840000	65.200000	97.660000	97.670000	64.980000	0.310000	0.000000	0.000000	0.000000	0.000000	0.800000	54.840000	102.670000	107.230000	115.760000	125.000000	117.280000	116.000000	106.870000	73.920000	102.560000	99.628000	96.473600	84.241900	86.427300	121.990000	132.169000	134.545000	88.988600	80.192700	45.108200	31.933000	43.120700	28.307900	27.384500	53.963700	101.417000	134.523000	123.841000	104.966000	108.790000	110.818000	95.821900	0.444000	0.000000	0.366522	0.000000	0.396003	0.000000	0.395788	0.000000	0.371911	0.000000	0.339367	0.000000	0.347135	0.000000	0.361666	0.095000	0.332292	0.589200	0.328776	1.068200	0.000000	99.728900	101.142000	72.542900	110.571000	133.190000	108.785000	102.383000	91.314900	118.731000	101.502000	83.450600	0.345987	0.926600	0.323821	0.883600	0.288236	1.060300	0.276287	0.949900	0.328134	0.624800	0.402740	0.328500	0.504508	0.080800	0.604316	0.000000	0.681170	0.000000	0.677801	0.000000	0.624512	0.000000	0.586210	0.000000	0.549467	0.000000	0.482049	0.000000	0.271846	0.038077	0.061640	0.499872	0.308290	1.692620	0.000000	0.227392	0.483503	0.000000	37.040400	2.888300	0.000000	321.942000	0.000000	46.387100	19.668900	4.625170	0.000000	0.797153	0.551517	0.624030	0.557031	0.496186	
    3	65.000000	49.970000	49.780000	45.380000	31.240000	49.840000	70.200000	102.660000	102.670000	69.980000	4.310000	3.320000	3.320000	3.320000	3.320000	3.320000	49.840000	102.670000	115.060000	120.760000	128.860000	120.280000	119.920000	113.870000	41.200000	40.160000	43.960000	43.720000	50.480000	43.200000	35.720000	33.360000	48.840000	55.600000	10.080000	8.520000	8.000000	8.000000	8.000000	8.520000	39.960000	27.000000	23.200000	15.680000	9.080000	14.600000	15.680000	17.200000	70.210000	57.970000	54.790000	50.380000	37.240000	54.840000	65.200000	97.660000	97.670000	64.980000	0.310000	0.000000	0.000000	0.000000	0.000000	0.800000	54.840000	102.670000	107.230000	115.760000	125.000000	117.280000	116.000000	106.870000	73.920000	100.057000	96.001000	91.816000	78.119800	67.202900	99.830600	119.488000	139.452000	93.302200	75.544600	51.844700	35.659800	48.882500	36.007400	35.763900	65.092600	102.520000	136.538000	138.593000	107.383000	106.684000	117.451000	104.598000	0.444000	0.000000	0.394922	0.000000	0.404015	0.000000	0.346203	0.000000	0.305348	0.000000	0.319599	0.000000	0.311126	0.000000	0.302630	0.079700	0.340144	0.216000	0.362353	0.513100	0.000000	83.934000	74.531100	68.820600	84.930700	137.438000	118.383000	110.758000	110.033000	150.031000	119.133000	101.643000	0.375265	0.814400	0.368741	0.619000	0.355962	0.605200	0.355925	0.607000	0.368530	0.439700	0.417294	0.235500	0.501769	0.054200	0.628340	0.000000	0.701621	0.000000	0.703515	0.000000	0.693585	0.000000	0.684632	0.000000	0.651918	0.000000	0.596938	0.000000	0.271846	0.158747	0.859062	0.685957	0.429680	0.933607	0.527307	0.529060	0.530509	0.000000	9.318340	0.368022	0.000000	175.733000	21.808600	38.277400	0.066747	1.151610	9.765720	1.017410	0.672552	0.520684	0.658186	0.792474	
