#erel:= 0.800;
#emax:= 686.222;
#q:= 0.000;
#nesce:=    58;
#etime:= 1.268;
#snodes:=   999;
param nS:=   100;
param nSG:=    30;
param nRVSG :=
 1 24    4 24    7  2   10  2   13  2   16  2   19  2   22  2   25  2   28  2
 2 24    5  2    8  2   11  2   14  2   17  2   20  2   23  2   26  2   29  2
 3 24    6  2    9  2   12  2   15 12   18  2   21  2   24  2   27  2   30 24
;

param ScenF :=
  1  90.7401       46   6.70173      91 120.114       136   0.6046
  2 106.832        47  21.4332       92 118.318       137   0.293675
  3  98.2419       48  30.0386       93 119.748       138   0.4784
  4  96.7985       49  99.6761       94 124.116       139   0.313729
  5 102.378        50 109.8          95 118.054       140   0.2795
  6  96.1828       51 102.769        96 101.016       141   0.32271
  7  98.4241       52  94.0832       97   0.587632    142   0.0352
  8 124.775        53  99.9028       98   0           143   0.308419
  9 126.226        54  98.7726       99   0.615104    144   0
 10 114.083        55 105.656       100   0           145   0.271282
 11  93.31         56 116.948       101   0.645718    146   0
 12  79.139        57 121.734       102   0           147   0.207218
 13  67.5523       58 118.73        103   0.628787    148   0
 14  62.6108       59 103.115       104   0           149   0.133767
 15  62.1193       60  80.6777      105   0.583262    150   0
 16  62.6732       61  68.2237      106   0           151   0.081627
 17  73.0876       62  70.8319      107   0.532768    152   0
 18  99.4167       63  76.2073      108   0           153   0.0488259
 19 113.391        64  75.9845      109   0.505416    154   0
 20 120.319        65  83.7217      110   0           155   0.022603
 21 124.245        66 115.021       111   0.503876    156   0
 22 132.339        67 129.85        112   0.063       157   0
 23 129.306        68 117.203       113   0.519842    158   0.858657
 24 119.793        69 121.964       114   0.2941      159   0.855817
 25  10.9779       70 129.279       115   0.517298    160   0.923606
 26   1.67123      71 120.931       116   0.499       161   1.17068
 27   5.35814      72  98.7241      117  65.8033      162   0.237105
 28   1.75498      73  77.8593      118  70.8937      163   0.810544
 29   0            74 102.517       119  65.947       164   0.414911
 30   1.31012      75  98.3498      120  83.471       165   0.237575
 31  18.2902       76  89.5396      121  80.5045      166   0.927098
 32  70.312        77  90.462       122 127.489       167   0
 33 104.138        78  92.3788      123 138.285       168   0
 34  19.6963       79 100.045       124 158.862       169   0
 35  26.055        80  99.1829      125 149.757       170   0
 36  38.186        81 118.068       126 137.917       171   0
 37  40.7799       82  85.6814      127 140.019       172   0
 38  45.2935       83  77.7901      128 129.464       173  17.0836
 39  47.8727       84  77.963       129   0.497905    174   0
 40  64.7556       85  61.3763      130   0.6227      175  26.3097
 41  68.1754       86  69.5112      131   0.435105    176   0.627781
 42  58.5224       87  75.3167      132   0.6779      177   0.385225
 43   0            88  79.2794      133   0.352844    178   0.494857
 44   0            89  92.2168      134   0.6682      179   0.727206
 45   0            90 108.286       135   0.305011    180   1.10656
;

param ScenO :=
  1 102.01        46  18.08        91 139          136   0.531
  2  88.78        47  30.04        92 141.59       137   0.985
  3  86.03        48  44.4         93 128.69       138   0.426
  4  81.5         49 102.8         94 118.91       139   0.978
  5  76.15        50  92           95 113          140   0.154
  6  83.79        51  86.03        96  92          141   0.959
  7 101.73        52  81.5         97   0.759      142   0.014
  8 122           53  79.22        98   0          143   0.935
  9 129.74        54  92.31        99   0.849      144   0
 10 108.36        55 109.23       100   0          145   0.888
 11  89.5         56 123.72       101   0.911      146   0
 12  64.89        57 132.43       102   0          147   0.835
 13  50.24        58 113.36       103   0.93       148   0
 14  50.2         59  98.72       104   0          149   0.797
 15  29.12        60  74.88       105   0.939      150   0
 16  50.2         61  56.24       106   0          151   0.777
 17  89.24        62  55.21       107   0.941      152   0
 18 126.74        63  32.12       108   0          153   0.778
 19 143.18        64  55.2        109   0.945      154   0
 20 141.56        65  93.24       110   0          155   0.789
 21 135.98        66 123.74       111   0.943      156   0
 22 126.91        67 143.69       112   0.062      157   0.39751
 23 117.5         68 140.6        113   0.943      158   0.244199
 24 103.5         69 133.26       114   0.266      159   0.207137
 25  90.04        70 123.91       115   0.975      160   0.57092
 26  75.44        71 117.5        116   0.442      161   0.769534
 27  62.6         72 100.62       117  58.24       162   0.316625
 28  61.12        73 107.32       118  58.2        163   0.355844
 29  68.6         74  93.49       119  34.94       164   0.679508
 30  62.96        75  87.5        120  58.2        165   1.00247
 31  68.64        76  78.41       121  64.89       166   0.211056
 32  90.04        77  76.6        122 106.5        167   0.196313
 33  60.8         78  86.79       123 140.18       168   0.061797
 34  50.8         79  98.63       124 151.06       169   0.11047
 35  23.16        80 119.7        125 130.45       170   0.204781
 36  13.2         81 141.05       126 116.91       171  -0.007212
