#erel:= 0.800;
#emax:= 850.446;
#q:= 0.000;
#nesce:=    78;
#etime:= 1.333;
#snodes:=  1377;
param nS:=   100;
param nSG:=    30;
param nRVSG :=
 1 24    4 24    7  2   10  2   13  2   16  2   19  2   22  2   25  2   28  2
 2 24    5  2    8  2   11  2   14  2   17  2   20  2   23  2   26  2   29  2
 3 24    6  2    9  2   12  2   15 12   18  2   21  2   24  2   27  2   30 24
;

param ScenF :=
  1 131.04        46  18.2204      91 144.688      136   0.6053
  2 140.594       47  17.5772      92 134.909      137   0.19314
  3 133.778       48  29.5912      93 137.766      138   0.482
  4 130.063       49 102.103       94 138.481      139   0.232019
  5 130.139       50 102.815       95 123.447      140   0.265
  6 129.758       51  95.8548      96 112.19       141   0.290289
  7 134.05        52  90.5637      97   0.228848   142   0.0102
  8 153.9         53  89.0974      98   0          143   0.354031
  9 162.825       54  89.8962      99   0.245283   144   0
 10 139.28        55 106.676      100   0          145   0.426755
 11 121.734       56 135.052      101   0.259365   146   0
 12 101.706       57 143.516      102   0          147   0.499101
 13  86.4571      58 122.834      103   0.263024   148   0
 14  72.9248      59 108.416      104   0          149   0.546249
 15  64.0248      60  95.4801     105   0.283111   150   0
 16  65.9203      61  82.5673     106   0          151   0.5571
 17 103.127       62  77.0699     107   0.315079   152   0
 18 126.941       63  74.0468     108   0          153   0.522813
 19 127.044       64  78.6325     109   0.325627   154   0
 20 129.077       65 115.213      110   0          155   0.46896
 21 137.056       66 142.08       111   0.302048   156   0
 22 141.646       67 139.153      112   0.0205     157   1.34122
 23 132.263       68 138.769      113   0.233094   158   5.17183
 24 120.91        69 164.336      114   0.2289     159   3.32405
 25  26.1946      70 162.383      115   0.162995   160   0
 26  29.5556      71 149.856      116   0.4547     161   0
 27  24.734       72 135.774      117  96.9086     162  16.7109
 28  24.7791      73  68.7645     118  96.0934     163  11.1247
 29  22.1748      74  97.9036     119  81.3203     164   5.97083
 30  26.4144      75  95.5216     120 102.366      165   6.5304
 31  15.4379      76  89.516      121 122.305      166   3.41617
 32  29.4969      77  90.9228     122 153.488      167  22.1677
 33  85.6835      78  93.2389     123 160.524      168  63.8315
 34 135.939       79 100.289      124 157.392      169 122.865
 35  46.2571      80 108.995      125 173.019      170   0
 36  34.4383      81 140.262      126 191.6        171   0
 37  34.3444      82 119.448      127 162.769      172   0
 38  36.4851      83 118.668      128 151.605      173   0
 39  33.0433      84 101.999      129   0.119299   174   6.78064
 40  50.8065      85  90.3573     130   0.6188     175 206.06
 41 110.39        86  86.974      131   0.120366   176   2.98557
 42 177.573       87  79.5774     132   0.6767     177   2.77772
 43  38.0826      88  93.2584     133   0.142623   178   3.88296
 44   0           89 129.001      134   0.6689     179   6.58582
 45   1.99175     90 147.76       135   0.162429   180   7.54456
;

param ScenO :=
  1 110           46   8.96        91 151.43       136   0.636
  2 103.51        47  10           92 160.25       137   0.126
  3 101.2         48  15.44        93 163.74       138   0.501
  4 100.63        49 103.69        94 152.94       139   0.107
  5 100.14        50 102.84        95 132.5        140   0.282
  6  99.14        51 102.21        96 111.38       141   0.115
  7 110.9         52 101.7         97   0.272      142   0.012
  8 131.15        53 100.24        98   0          143   0.14
  9 141.04        54  99.24        99   0.251      144   0
 10 135.22        55 111          100   0          145   0.176
 11 111.6         56 134.15       101   0.237      146   0
 12  97.14        57 146.28       102   0          147   0.215
 13  95.19        58 135.97       103   0.241      148   0
 14  96.43        59 114.1        104   0          149   0.236
 15  96.89        60  97.14       105   0.259      150   0
 16 101.83        61 100.19       106   0          151   0.233
 17 121.5         62 100.01       107   0.275      152   0
 18 137.8         63  98.88       108   0          153   0.222
 19 163.43        64 101.83       109   0.283      154   0
 20 165.23        65 121.5        110   0          155   0.205
 21 166.89        66 139.81       111   0.288      156   0
 22 152.94        67 167          112   0.029      157   4.69009
 23 135.5         68 175.29       113   0.242      158   0.018356
 24 125.38        69 173.74       114   0.256      159   4.35959
 25  41.48        70 160          115   0.164      160   4.50412
 26  42.6         71 140.39       116   0.459      161   4.72019
 27  43.84        72 131.58       117  92.19       162   5.0808
 28  50.6         73 104.7        118  96.43       163   4.35717
 29  60           74 103.51       119  96.89       164   3.24064
 30  51           75 104.2        120  93.61       165   3.38712
 31  60           76 103.22       121 118.18       166   2.72963
 32  82.56        77 101.24       122 131.11       167   0.292204
 33  67.84        78 101.04       123 153.43       168   3.45429
 34  64.96        79 104.7        124 160.23       169   7.73043
 35  34.88        80 122.68       125 165          170   5.29648
 36  30.96        81 161.04       126 152.94       171   4.807
 37  29.4         82 135.22       127 135.5        172   4.2459
 38  29.32        83 104.7        128 110.54       173   5.05391
 39  28.68        84  97.14       129   0.102      174   3.93215
 40  33.72        85  97          130   0.604      175   3.00863
 41  60           86  98.33       131   0.087      176   3.81069
 42  50.6         87  98.29       132   0.686      177   3.68404
 43  15           88 101.66       133   0.1        178   3.68236
 44   8           89 121.33       134   0.705      179   3.46236
 45   8           90 123.8        135   0.12       180   3.92287
;

param Scen0 (tr)
 :    1	    2	    3	    4	    5	    6	    7	    8	    9	   10	   11	   12	   13	   14	   15	   16	   17	   18	   19	   20	   21	   22	   23	   24	   25	   26	   27	   28	   29	   30	   31	   32	   33	   34	   35	   36	   37	   38	   39	   40	   41	   42	   43	   44	   45	   46	   47	   48	   49	   50	   51	   52	   53	   54	   55	   56	   57	   58	   59	   60	   61	   62	   63	   64	   65	   66	   67	   68	   69	   70	   71	   72	   73	   74	   75	   76	   77	   78	   79	   80	   81	   82	   83	   84	   85	   86	   87	   88	   89	   90	   91	   92	   93	   94	   95	   96	   97	   98	   99	  100	  101	  102	  103	  104	  105	  106	  107	  108	  109	  110	  111	  112	  113	  114	  115	  116	  117	  118	  119	  120	  121	  122	  123	  124	  125	  126	  127	  128	  129	  130	  131	  132	  133	  134	  135	  136	  137	  138	  139	  140	  141	  142	  143	  144	  145	  146	  147	  148	  149	  150	  151	  152	  153	  154	  155	  156	  157	  158	  159	  160	  161	  162	  163	  164	  165	  166	  167	  168	  169	  170	  171	  172	  173	  174	  175	  176	  177	  178	  179	  180	:=
    1	110.000000	103.510000	101.200000	100.630000	100.140000	99.140000	110.900000	131.150000	141.040000	135.220000	111.600000	97.140000	95.190000	96.430000	96.890000	101.830000	121.500000	137.800000	163.430000	165.230000	166.890000	152.940000	135.500000	125.380000	41.480000	42.600000	43.840000	50.600000	60.000000	51.000000	60.000000	82.560000	67.840000	64.960000	34.880000	30.960000	29.400000	29.320000	28.680000	33.720000	60.000000	50.600000	15.000000	8.000000	8.000000	8.960000	10.000000	15.440000	103.690000	102.840000	102.210000	101.700000	100.240000	99.240000	111.000000	134.150000	146.280000	135.970000	114.100000	97.140000	100.190000	100.010000	98.880000	101.830000	121.500000	139.810000	167.000000	175.290000	173.740000	160.000000	140.390000	131.580000	104.700000	105.076000	101.679000	95.091900	101.007000	88.192800	101.801000	129.177000	160.593000	127.659000	116.489000	106.042000	92.964200	96.769900	80.219500	93.061700	137.191000	137.635000	139.135000	152.899000	147.544000	163.775000	124.903000	111.388000	0.272000	0.000000	0.383247	0.000000	0.515102	0.000000	0.551852	0.000000	0.590959	0.000000	0.623417	0.000000	0.642571	0.000000	0.649892	0.025000	0.544609	0.228800	0.430581	0.511400	92.190000	122.145000	116.201000	112.864000	152.007000	175.720000	179.020000	179.131000	156.214000	175.362000	158.698000	117.629000	0.360822	0.517600	0.328875	0.567300	0.318505	0.489200	0.320954	0.395100	0.370788	0.407900	0.429835	0.177500	0.463305	0.004300	0.391016	0.000000	0.448181	0.000000	0.510988	0.000000	0.565849	0.000000	0.596172	0.000000	0.587206	0.000000	0.558645	0.000000	4.690090	5.451880	3.570700	0.000000	0.000000	17.702400	11.308800	6.666200	5.877210	2.461180	25.553100	70.480800	121.498000	72.527400	12.645000	3.782040	0.000000	6.170090	214.311000	2.633090	2.980710	3.996940	6.350930	7.624470	
    2	110.000000	103.510000	101.200000	100.630000	100.140000	99.140000	110.900000	131.150000	141.040000	135.220000	111.600000	97.140000	95.190000	96.430000	96.890000	101.830000	121.500000	137.800000	163.430000	165.230000	166.890000	152.940000	135.500000	125.380000	41.480000	42.600000	43.840000	50.600000	60.000000	51.000000	60.000000	82.560000	67.840000	64.960000	34.880000	30.960000	29.400000	29.320000	28.680000	33.720000	60.000000	50.600000	15.000000	8.000000	8.000000	8.960000	10.000000	15.440000	103.690000	102.840000	102.210000	101.700000	100.240000	99.240000	111.000000	134.150000	146.280000	135.970000	114.100000	97.140000	100.190000	100.010000	98.880000	101.830000	121.500000	139.810000	167.000000	175.290000	173.740000	160.000000	140.390000	131.580000	104.700000	103.266000	91.564900	88.544200	91.715300	90.868300	105.381000	123.111000	131.301000	123.532000	109.220000	93.196700	89.277100	84.895800	84.230800	96.365500	145.251000	157.622000	156.406000	149.221000	136.585000	146.482000	123.985000	112.042000	0.272000	0.000000	0.240370	0.000000	0.241708	0.000000	0.240059	0.000000	0.255707	0.000000	0.278501	0.000000	0.269735	0.000000	0.233832	0.021100	0.071964	0.239000	0.000000	0.596500	92.190000	92.888400	74.257900	90.153100	109.165000	126.721000	152.372000	166.061000	165.725000	190.020000	165.086000	159.029000	0.075851	0.696500	0.088215	0.673800	0.126114	0.645200	0.032261	0.751500	0.078771	0.671200	0.135325	0.261500	0.241424	0.006600	0.301507	0.000000	0.411488	0.000000	0.539071	0.000000	0.548101	0.000000	0.529500	0.000000	0.491323	0.000000	0.468923	0.000000	4.690090	5.383790	3.641540	0.000000	0.594169	15.485600	11.198300	5.963290	7.004010	3.234980	0.000000	47.735900	91.538800	146.629000	41.033000	2.360110	0.000000	6.861890	205.548000	0.244355	3.148830	4.509250	6.185030	6.291670	
    3	110.000000	103.510000	101.200000	100.630000	100.140000	99.140000	110.900000	131.150000	141.040000	135.220000	111.600000	97.140000	95.190000	96.430000	96.890000	101.830000	121.500000	137.800000	163.430000	165.230000	166.890000	152.940000	135.500000	125.380000	41.480000	42.600000	43.840000	50.600000	60.000000	51.000000	60.000000	82.560000	67.840000	64.960000	34.880000	30.960000	29.400000	29.320000	28.680000	33.720000	60.000000	50.600000	15.000000	8.000000	8.000000	8.960000	10.000000	15.440000	103.690000	102.840000	102.210000	101.700000	100.240000	99.240000	111.000000	134.150000	146.280000	135.970000	114.100000	97.140000	100.190000	100.010000	98.880000	101.830000	121.500000	139.810000	167.000000	175.290000	173.740000	160.000000	140.390000	131.580000	104.700000	102.675000	101.006000	99.042900	93.045900	89.689500	89.750700	104.054000	127.326000	120.574000	112.924000	94.944600	96.958100	89.240400	80.296100	95.527100	123.099000	141.612000	140.651000	134.480000	146.524000	148.916000	113.371000	112.170000	0.272000	0.000000	0.300916	0.000000	0.312362	0.000000	0.331404	0.000000	0.359335	0.000000	0.385870	0.000000	0.360169	0.000000	0.273225	0.012000	0.135148	0.134300	0.045558	0.332300	92.190000	90.344500	82.257000	88.819400	117.546000	184.699000	196.417000	201.448000	201.145000	204.817000	187.362000	171.255000	0.033883	0.658400	0.034855	1.114600	0.058775	0.784900	0.088599	1.279700	0.126981	1.549700	0.174264	0.454000	0.268266	0.018600	0.379392	0.000000	0.446679	0.000000	0.474875	0.000000	0.472821	0.000000	0.456943	0.000000	0.416966	0.000000	0.557884	0.000000	4.690090	4.826940	3.320390	0.000000	0.327435	14.431700	10.503600	6.591560	6.136730	2.434340	0.000000	59.728800	90.489400	42.978200	51.534400	0.000000	3.072270	5.511930	182.012000	2.462090	2.710260	3.893360	5.879160	7.792750	
    4	110.000000	103.510000	101.200000	100.630000	100.140000	99.140000	110.900000	131.150000	141.040000	135.220000	111.600000	97.140000	95.190000	96.430000	96.890000	101.830000	121.500000	137.800000	163.430000	165.230000	166.890000	152.940000	135.500000	125.380000	41.480000	42.600000	43.840000	50.600000	60.000000	51.000000	60.000000	82.560000	67.840000	64.960000	34.880000	30.960000	29.400000	29.320000	28.680000	33.720000	60.000000	50.600000	15.000000	8.000000	8.000000	8.960000	10.000000	15.440000	103.690000	102.840000	102.210000	101.700000	100.240000	99.240000	111.000000	134.150000	146.280000	135.970000	114.100000	97.140000	100.190000	100.010000	98.880000	101.830000	121.500000	139.810000	167.000000	175.290000	173.740000	160.000000	140.390000	131.580000	104.700000	97.532000	90.639400	89.927500	92.828300	85.992000	100.594000	117.785000	134.901000	129.118000	110.557000	98.097700	99.638400	98.251700	90.515800	104.524000	150.252000	156.968000	148.114000	158.199000	132.066000	152.186000	128.807000	109.349000	0.272000	0.000000	0.316018	0.000000	0.352728	0.000000	0.360413	0.000000	0.373130	0.000000	0.357471	0.000000	0.324127	0.000000	0.247639	0.015000	0.124866	0.147200	0.075939	0.420800	92.190000	99.634700	87.992700	111.106000	128.144000	145.209000	157.093000	161.929000	170.221000	171.892000	156.349000	150.001000	0.037448	0.503400	0.031115	0.666300	0.052138	0.734200	0.038277	0.908300	0.000000	1.149400	0.000000	0.351400	0.000000	0.007900	0.041798	0.000000	0.138186	0.000000	0.254058	0.000000	0.342081	0.000000	0.375538	0.000000	0.414382	0.000000	0.472092	0.000000	4.690090	4.922190	3.182750	0.000000	0.000000	18.084700	11.227700	6.577170	6.310660	2.483520	14.191300	72.700700	116.024000	0.000000	22.824300	0.000000	0.000000	7.221610	211.618000	2.463350	2.697150	3.904770	6.524410	7.807630	
