#erel:= 0.800;
#emax:= 1017.473;
#q:= 0.000;
#nesce:=    66;
#etime:= 1.125;
#snodes:=   889;
param nS:=   100;
param nSG:=    30;
param nRVSG :=
 1 24    4 24    7  2   10  2   13  2   16  2   19  2   22  2   25  2   28  2
 2 24    5  2    8  2   11  2   14  2   17  2   20  2   23  2   26  2   29  2
 3 24    6  2    9  2   12  2   15 12   18  2   21  2   24  2   27  2   30 24
;

param ScenF :=
  1  105.654        46   52.9022       91   75.2672      136    0.6366
  2  130.251        47   75.0773       92   91.5718      137    0
  3  128.426        48   66.3629       93  115.671       138    0.5248
  4  114.812        49   93.9759       94  114.912       139    0
  5  137.908        50   71.3283       95   72.8153      140    0.3128
  6  141.916        51   63.102        96   60.0757      141    0.0115163
  7  147.242        52   19.1832       97    0           142    0.1052
  8  156.464        53    0            98    0           143    0.103036
  9  178.713        54    5.81818      99    0           144    0.0045
 10  162.452        55   63.9287      100    0           145    0.227488
 11  170.705        56  102.254       101    0           146    0
 12  208.695        57   87.42        102    0           147    0.390092
 13  189.972        58   39.3781      103    0           148    0
 14  170.176        59    0           104    0           149    0.564011
 15  153.877        60    0           105    0           150    0
 16  164.702        61    0           106    0           151    0.690417
 17  169.111        62    0           107    0           152    0
 18  148.369        63    0           108    0           153    0.692815
 19  137.649        64    4.9634      109    0           154    0
 20  182.421        65   23.4647      110    0.0181      155    0.629411
 21  196.825        66   33.0826      111    0           156    0
 22  203.877        67   40.5588      112    0.1274      157    0
 23  176.474        68   91.0629      113    0           158    8.33397
 24  169.284        69  196.525       114    0.2242      159    8.37913
 25   23.2264       70  162.286       115    0           160    0
 26   28.7609       71  124.173       116    0.4437      161   46.7929
 27   28.9098       72   96.5992      117   68.2133      162   75.3224
 28   24.2772       73    0           118   82.9641      163    0
 29   13.9394       74    0           119   88.2941      164    0
 30   12.6005       75    0           120  103.09        165    0
 31   15.098        76    0           121   90.7084      166   21.5124
 32   27.9618       77    0           122   45.898       167 2267.73
 33   24.0413       78    0           123   35.5549      168    0
 34    0            79    0           124   57.7231      169    0
 35    3.50958      80    0           125   96.0264      170 2847.44
 36    9.90576      81   41.8883      126   89.8578      171  764.889
 37   14.7565       82   46.1618      127   47.054       172    0
 38   15.962        83   14.8416      128   43.6456      173  111.044
 39   13.0838       84   58.1608      129    0           174    8.75526
 40    3.98717      85   66.216       130    0.5821      175    0
 41   10.2266       86   71.8458      131    0           176   11.2011
 42   24.5981       87   65.0935      132    0.6426      177    1.78783
 43    0            88   63.9088      133    0           178    1.91452
 44    0            89   58.7727      134    0.6556      179    0.161178
 45   29.4245       90   33.0538      135    0           180    0
;

param ScenO :=
  1  65.08        46  34.6         91  73          136   0.221
  2  46.34        47  46           92  91.6        137   0.133
  3  40           48  48.24        93  96.58       138   0.158
  4  30.1         49  56.54        94  70.73       139   0.07
  5  29.97        50  46.34        95  65.38       140   0.076
