#erel:= 0.800;
#emax:= 369.479;
#q:= 0.000;
#nesce:=    65;
#etime:= 1.331;
#snodes:=   764;
param nS:=   100;
param nSG:=    30;
param nRVSG :=
 1 24    4 24    7  2   10  2   13  2   16  2   19  2   22  2   25  2   28  2
 2 24    5  2    8  2   11  2   14  2   17  2   20  2   23  2   26  2   29  2
 3 24    6  2    9  2   12  2   15 12   18  2   21  2   24  2   27  2   30 24
;

param ScenF :=
  1  70.1918         46  35.5848         91  66.2709        136   0.2492
  2  75.3487         47  16.9457         92  85.2809        137   0.156827
  3  54.7166         48  15.4865         93 113.848         138   0.1739
  4  32.8189         49  96.0974         94 120.89          139   0.152558
  5  29.4242         50  94.4071         95 107.957         140   0.0897
  6  18.3675         51  76.1673         96  90.9648        141   0.128417
  7  16.4099         52  51.2018         97   0.300288      142   0.0186
  8   1.1869         53  45.9338         98   0             143   0.0898027
  9   0              54  42.7865         99   0.314406      144   0
 10   0              55  57.9803        100   0             145   0.0364817
 11   0              56  53.056         101   0.30403       146   0
 12   0              57  37.9847        102   0             147   0.00758433
 13   0              58  30.2581        103   0.280451      148   0
 14   5.81727        59   7.87582       104   0             149   0.000399069
 15  15.6484         60   0             105   0.269816      150   0
 16  28.4881         61   0             106   0             151   0.0131468
 17  45.3044         62   1.05388       107   0.24359       152   0
 18  41.1455         63  14.6488        108   0             153   0.0353077
 19  33.5947         64  24.1637        109   0.201021      154   0
 20  54.4461         65  36.0847        110   0             155   0.0384795
 21  61.5976         66  54.9978        111   0.148621      156   0
 22  71.1823         67  66.9038        112   0.0301        157   0
 23  71.2042         68  77.6678        113   0.0940153     158   0.0714232
 24  59.3014         69  99.0758        114   0.1164        159   0
 25   0              70 107.247         115   0.0550139     160   0.935203
 26   0              71 110.762         116   0.2147        161   3.53333
 27   0              72  85.2144        117   6.91282       162   1.51564
 28   0              73  74.2241        118  19.4632        163   0.124319
 29   0              74  91.0766        119  13.271         164   0.15455
 30   0              75  92.0839        120  16.4217        165   0
 31  12.6284         76  81.6631        121   9.60823       166   1.48048
 32  59.6389         77  76.2164        122  25.1178        167  34.7928
 33  51.6578         78  77.6866        123  44.8149        168   0
 34   1.05767        79  78.1331        124  70.3342        169   0
 35   3.84622        80  70.4321        125  93.8717        170   0
 36   4.47276        81  71.4424        126 122.947         171   0
 37  16.8539         82  30.9766        127 117.535         172  29.869
 38  20.2439         83   0             128 102.923         173   0
 39  27.6231         84   0             129   0.052853      174   0
 40  30.5428         85   0             130   0.2942        175   0
 41  26.3178         86   0             131   0.0838542     176   1.57301
 42  35.8096         87   0             132   0.3167        177   0.378774
 43  18.5587         88   1.69355       133   0.120746      178   0.551764
 44   0              89  21.1524        134   0.3012        179   0.883234
 45  50.8846         90  34.5468        135   0.144012      180   0.827969
;

param ScenO :=
  1  96.28        46   9.92        91 118.92       136   0.224
  2  91.56        47   9.92        92 117          137   0.615
  3  88.93        48  11.24        93 110.59       138   0.202
  4  86           49  96.07        94 108.3        139   0.531
  5  86.85        50  92.84        95 105.95       140   0.145
  6  85.62        51  90.35        96 104.86       141   0.435
  7  93.14        52  85           97   0.413      142   0.048
  8 100.11        53  83.85        98   0          143   0.428
  9 101.16        54  80.1         99   0.429      144   0
 10  88.93        55  93.14       100   0          145   0.415
 11  77.89        56  95.55       101   0.44       146   0
 12  71.77        57  96.51       102   0          147   0.4
 13  74.63        58  88.94       103   0.457      148   0
 14  69.84        59  78.89       104   0          149   0.367
 15  72.34        60  73.77       105   0.469      150   0
 16  70.63        61  77.6        106   0          151   0.331
