#erel:= 0.800;
#emax:= 398.782;
#q:= 0.000;
#nesce:=    66;
#etime:= 1.414;
#snodes:=   989;
param nS:=   100;
param nSG:=    30;
param nRVSG :=
 1 24    4 24    7  2   10  2   13  2   16  2   19  2   22  2   25  2   28  2
 2 24    5  2    8  2   11  2   14  2   17  2   20  2   23  2   26  2   29  2
 3 24    6  2    9  2   12  2   15 12   18  2   21  2   24  2   27  2   30 24
;

param ScenF :=
  1  99.0735      46   7.9679      91 139.816      136   0.4179
  2 120.869       47  22.0407      92 124.451      137   0.565009
  3 115.867       48  27.9708      93 113.387      138   0.298
  4 130.32        49 103.523       94 130.863      139   0.508123
  5 146.911       50 117.759       95 134.522      140   0.1559
  6 135.73        51 113.173       96 110.282      141   0.429201
  7 129.3         52 110.467       97   0.130943   142   0.0319
  8 153.715       53 118.239       98   0          143   0.361956
  9 159.134       54 110.916       99   0.17146    144   0
 10 162.438       55 103.644      100   0          145   0.320243
 11 179.392       56 109.945      101   0.240951   146   0
 12 167.069       57 108.576      102   0          147   0.31708
 13 177.731       58 130.398      103   0.293779   148   0
 14 203.354       59 135.707      104   0          149   0.333236
 15 213.694       60 131.38       105   0.295467   150   0
 16 204.784       61 136.793      106   0          151   0.350078
 17 236.617       62 151.283      107   0.274171   152   0
 18 244.596       63 155.13       108   0          153   0.366169
 19 223.092       64 146.259      109   0.287348   154   0
 20 180.853       65 162.971      110   0          155   0.35481
 21 147.637       66 170.027      111   0.327557   156   0
 22 156.607       67 148.267      112   0.0391     157   0
 23 126.987       68 124.388      113   0.404532   158   0
 24 123.391       69 109.474      114   0.1534     159   0
 25  24.8697      70 125.071      115   0.46353    160   1.09016
 26  46.5505      71 112.657      116   0.3059     161   0.998808
 27  48.8899      72  97.4502     117 111.343      162   0
 28  55.6337      73  74.129      118 111.372      163   0.19247
 29  55.1715      74 102.026      119 105.146      164   0.196669
 30  54.1859      75  96.1955     120 116.831      165   0.196155
 31  18.7552      76  84.7901     121 112.154      166   1.39956
 32   7.2022      77  77.2025     122 141.297      167   0
 33  22.512       78  66.3517     123 133.972      168  10.5814
 34  47.2201      79  79.8376     124 143.017      169   8.39497
 35  91.775       80  93.5226     125 115.128      170   0
 36  67.0913      81 113.299      126 105.482      171   0
 37  47.1772      82  89.4922     127 106.465      172   0
 38  40.3372      83  85.4933     128  97.3823     173  31.3382
 39  35.2626      84 120.385      129   0.526163   174   0
 40  29.9753      85 108.526      130   0.469      175   0
 41  32.0624      86 124.309      131   0.578367   176   0.666368
 42  65.0739      87 128.877      132   0.5164     177   0.173349
 43  64.1096      88 139.667      133   0.602983   178   0.185409
 44   0           89 159.413      134   0.4555     179   0.361207
 45   0           90 158.415      135   0.596937   180   0.428059
;

param ScenO :=
  1 101.47        46  12.08        91 192.9        136   0.384
  2  94           47   7.92        92 186.1        137   0.007
  3  90.43        48   9           93 147          138   0.328
  4  90.89        49  98.61        94 125.32       139   0.008
  5  91.1         50  93.9         95 121.28       140   0.178
  6 101.47        51  95.43        96 116.16       141   0.014
  7 115.17        52  95           97   0.172      142   0.036
  8 124.09        53  95           98   0          143   0.024
  9 133.14        54  95.78        99   0.158      144   0
 10 118.23        55 111.06       100   0          145   0.031
 11 105.87        56 124.1        101   0.134      146   0
