#erel:= 0.800;
#emax:= 434.085;
#q:= 0.000;
#nesce:=    68;
#etime:= 1.499;
#snodes:=   833;
param nS:=   100;
param nSG:=    30;
param nRVSG :=
 1 24    4 24    7  2   10  2   13  2   16  2   19  2   22  2   25  2   28  2
 2 24    5  2    8  2   11  2   14  2   17  2   20  2   23  2   26  2   29  2
 3 24    6  2    9  2   12  2   15 12   18  2   21  2   24  2   27  2   30 24
;

param ScenF :=
  1 113.879        46  60.9931       91 151.943       136   0.3788
  2 120.248        47  82.2349       92 142.325       137   0.434423
  3 100.567        48 158.09         93 125.862       138   0.29
  4  87.9763       49 127.267        94 108.789       139   0.403605
  5  89.1281       50 136.296        95  91.8261      140   0.1019
  6  82.5247       51 129.313        96  79.0616      141   0.348079
  7  77.1032       52 121.745        97   0.0733327   142   0.0036
  8  75.8467       53 120.732        98   0           143   0.29872
  9  85.5282       54 115.743        99   0.11923     144   0
 10 133.192        55 117.324       100   0           145   0.25064
 11 169.117        56 127.907       101   0.165007    146   0
 12 145.268        57 140.585       102   0           147   0.227099
 13 144.046        58 164.836       103   0.176646    148   0
 14 139.055        59 197.81        104   0           149   0.212057
 15 143.822        60 182.886       105   0.161854    150   0
 16 146.541        61 177.041       106   0           151   0.20348
 17 146.415        62 159.955       107   0.123122    152   0
 18 156.925        63 150.47        108   0           153   0.200452
 19 153.838        64 149.802       109   0.0910086   154   0
 20 131.613        65 164.929       110   0           155   0.184466
 21  87.3006       66 172.529       111   0.0766064   156   0
 22 101.73         67 147.275       112   0.0253      157   0
 23 101.908        68 117.494       113   0.0829895   158   0
 24  85.6093       69 101.85        114   0.1552      159   0
 25   0            70 105.353       115   0.0949765   160   0
 26   0            71 103.864       116   0.29        161   0.319488
 27  43.8113       72  90.5258      117 123.897       162   0
 28  66.778        73  84.0049      118 127.273       163   0
 29 111.901        74  96.9556      119 123.406       164   3.41691
 30 103.821        75  82.2326      120 134.987       165   0
 31  77.4857       76  63.3288      121 127.558       166   7.18064
 32  62.255        77  55.5581      122 151.921       167   0
 33 289.269        78  58.51        123 142.89        168 263.963
 34 450.821        79  90.6828      124 154.627       169 118.947
 35  44.2238       80  93.569       125 149.462       170   0
 36   0            81 112.61        126 134.083       171  41.5122
 37  20.229        82 101.2         127 126.314       172  52.0611
 38  21.2142       83 113.116       128 120.746       173   0
 39  27.9042       84 105.635       129   0.148026    174   0
 40   0            85 108.442       130   0.3866      175 267.122
 41 122.605        86 112.168       131   0.252205    176   1.22105
 42   0            87 112.908       132   0.3926      177   2.62783
 43   4.91976      88 119.728       133   0.351554    178   1.69734
 44   0            89 128.772       134   0.3817      179   4.97519
 45  75.8531       90 153.429       135   0.415264    180   6.4054
;

param ScenO :=
  1 140           46   5           91 165.4        136   0.628
  2 135.21        47   6           92 161.2        137   0.047
  3 131.77        48   7           93 170.01       138   0.506
  4 128           49 133.16        94 157.94       139   0.036
  5 125.84        50 130.21        95 147.22       140   0.309
  6 131.77        51 126.91        96 142.5        141   0.03
  7 142.6         52 121.62        97   0.113      142   0.028
  8 151.7         53 120.95        98   0          143   0.022
  9 157           54 125.56        99   0.148      144   0
 10 145.47        55 139.26       100   0          145   0.02
 11 122           56 153.2        101   0.181      146   0
 12 105.57        57 161.24       102   0          147   0.025
 13 105.44        58 146.92       103   0.22       148   0
 14 105.57        59 122          104   0          149   0.031
 15 105.57        60 106.8        105   0.278      150   0
 16 112.78        61 105.44       106   0          151   0.036
 17 142.6         62 106.07       107   0.337      152   0
 18 149.07        63 105.57       108   0          153   0.037
 19 165.08        64 109.78       109   0.382      154   0
 20 161.2         65 147.21       110   0          155   0.042
 21 165.01        66 155.06       111   0.396      156   0
 22 157.94        67 177.39       112   0.036      157   0.676857
 23 147.2         68 168.9        113   0.294      158   0.996598
 24 140.5         69 180          114   0.274      159   0.78546
 25   8.16        70 162.34       115   0.215      160   0.801562
 26  10           71 153.17       116   0.514      161   0.839876
 27   9           72 147.21       117 105.57       162   0.806177
 28   7.8         73 130          118 108.2        163   0.640323
 29   7.8         74 125.21       119 105.57       164   0.731905
 30   7.76        75 121.77       120  89.6        165   0.752229
 31   8           76 118          121 128.74       166   0.340551
 32  14           77 116.04       122 151.17       167   0.649754
 33  15           78 118.41       123 170.4        168   0.805248
 34  13.56        79 132.6        124 171.19       169   0.277124
 35  12.8         80 161.69       125 190.01       170   0.097566
 36  14           81 157.9        126 163.05       171   0.129109
 37  15           82 145.47       127 151.17       172   0.09851
 38  15           83 104.06       128 143.5        173   0.049719
 39  15.32        84 104.06       129   0.149      174   0.715167
 40  19.8         85  96.44       130   0.638      175   0.766477
 41  13.12        86 104.06       131   0.106      176   0.839578
 42  15           87 100.72       132   0.693      177   0.883037
 43   7.76        88  97.78       133   0.081      178   0.746803
 44   5           89 133          134   0.689      179   0.786277
 45   5           90 149.07       135   0.061      180   0.6521
;

param Scen0 (tr)
 :    1	    2	    3	    4	    5	    6	    7	    8	    9	   10	   11	   12	   13	   14	   15	   16	   17	   18	   19	   20	   21	   22	   23	   24	   25	   26	   27	   28	   29	   30	   31	   32	   33	   34	   35	   36	   37	   38	   39	   40	   41	   42	   43	   44	   45	   46	   47	   48	   49	   50	   51	   52	   53	   54	   55	   56	   57	   58	   59	   60	   61	   62	   63	   64	   65	   66	   67	   68	   69	   70	   71	   72	   73	   74	   75	   76	   77	   78	   79	   80	   81	   82	   83	   84	   85	   86	   87	   88	   89	   90	   91	   92	   93	   94	   95	   96	   97	   98	   99	  100	  101	  102	  103	  104	  105	  106	  107	  108	  109	  110	  111	  112	  113	  114	  115	  116	  117	  118	  119	  120	  121	  122	  123	  124	  125	  126	  127	  128	  129	  130	  131	  132	  133	  134	  135	  136	  137	  138	  139	  140	  141	  142	  143	  144	  145	  146	  147	  148	  149	  150	  151	  152	  153	  154	  155	  156	  157	  158	  159	  160	  161	  162	  163	  164	  165	  166	  167	  168	  169	  170	  171	  172	  173	  174	  175	  176	  177	  178	  179	  180	:=
