#erel:= 0.800;
#emax:= 527.167;
#q:= 0.000;
#nesce:=    60;
#etime:= 1.491;
#snodes:=   637;
param nS:=   100;
param nSG:=    30;
param nRVSG :=
 1 24    4 24    7  2   10  2   13  2   16  2   19  2   22  2   25  2   28  2
 2 24    5  2    8  2   11  2   14  2   17  2   20  2   23  2   26  2   29  2
 3 24    6  2    9  2   12  2   15 12   18  2   21  2   24  2   27  2   30 24
;

param ScenF :=
  1 110.341       46   7.50338     91 123.533      136   0.4953
  2 113.405       47   4.56248     92 131.296      137   0.641777
  3 104.033       48   3.56965     93 144.57       138   0.392
  4 104.22        49  93.3456      94 138.104      139   0.58697
  5  93.1382      50  97.1376      95 122.416      140   0.201
  6  83.6027      51  95.519       96 112.774      141   0.512048
  7  78.7989      52  98.2496      97   0.773302   142   0.006
  8  90.5374      53  95.0558      98   0          143   0.455299
  9  93.1735      54  81.1121      99   0.815556   144   0
 10  80.738       55  75.1535     100   0          145   0.425179
 11  62.9891      56  74.299      101   0.862618   146   0
 12  34.3226      57  70.1612     102   0          147   0.41612
 13  29.6944      58  76.685      103   0.896099   148   0
 14  33.5704      59  74.3573     104   0          149   0.401539
 15  38.4834      60  63.5837     105   0.911168   150   0
 16  41.0234      61  68.9136     106   0          151   0.374996
 17  65.8429      62  82.2802     107   0.920075   152   0
 18  81.9777      63  94.7717     108   0          153   0.327748
 19  98.4621      64 102.851      109   0.910176   154   0
 20 117.17        65 119.558      110   0          155   0.257613
 21 129.696       66 124.183      111   0.875035   156   0
 22 129.094       67 112.121      112   0.0082     157   3.6993
 23 114.996       68 119.027      113   0.830263   158   4.94313
 24 102.212       69 138.104      114   0.144      159   4.54641
 25  22.7354      70 144.326      115   0.773548   160   6.90134
 26  31.6305      71 128.557      116   0.317      161  12.4268
 27  35.1849      72 123.485      117  35.5886     162  31.9508
 28  37.1363      73  87.7116     118  40.0343     163   8.97749
 29  35.282       74 106.154      119  39.1503     164   1.15511
 30  35.38        75 110.926      120  50.7156     165   2.76706
 31  30.4497      76 107.911      121  54.6749     166   0
 32  31.7607      77  99.2161     122  88.692      167 154.722
 33  22.8558      78 100.772      123 115.119      168   0
 34   2.63411     79 105.755      124 111.869      169   0
 35  42.3935      80  88.0075     125 118.582      170 816.248
 36  31.5346      81  96.2385     126 129.523      171   0
 37  19.8135      82  78.7666     127 112.233      172  21.688
 38  15.4973      83  83.6328     128 100.837      173  92.2241
 39  12.7951      84  74.3118     129   0.750438   174   0
 40  19.0582      85  62.2259     130   0.4333     175  91.1578
 41   0.599294    86  66.1341     131   0.738002   176   0.48297
 42   0           87  66.0495     132   0.5113     177   0.122266
 43  15.5119      88  69.5476     133   0.711092   178   1.97097
 44   6.20111     89  79.7725     134   0.5304     179   2.50302
 45   7.01917     90 108.028      135   0.678374   180   1.38216
;

param ScenO :=
  1 125.92        46  11.52        91 130          136   0.618
  2 110.89        47  12           92 133.95       137   0.246
  3 108           48  34.96        93 136.38       138   0.486
  4 105.65        49 120.92        94 135.07       139   0.156
  5 100.45        50 107.89        95 129.71       140   0.27
  6  95.7         51 105.01        96 129.28       141   0.121
  7  95.7         52 100.65        97   0.856      142   0.011
  8  95.3         53  96.45        98   0          143   0.14
  9 103.33        54  92.7         99   0.829      144   0
 10  85.18        55  91.7        100   0          145   0.179
 11  74.57        56  94.14       101   0.816      146   0
 12  72.69        57  99.14       102   0          147   0.213
 13  77.87        58  85.18       103   0.792      148   0
 14  75.82        59  74.61       104   0          149   0.243
 15  71.89        60  72.75       105   0.787      150   0
 16  70.47        61  77.92       106   0          151   0.273
 17  85.18        62  75.86       107   0.772      152   0
 18 115.9         63  71.93       108   0          153   0.292
 19 133.95        64  70.51       109   0.766      154   0
 20 133.95        65  85.8        110   0          155   0.285
 21 138.84        66 113          111   0.75       156   0
 22 135.07        67 133.06       112   0.021      157   4.58712
 23 131.71        68 132.95       113   0.725      158   4.03787
 24 127.84        69 136.99       114   0.224      159   4.71491
 25  19           70 134.19       115   0.727      160   4.67809
 26  41.48        71 131.7        116   0.446      161   4.35192
 27  41.48        72 127.84       117  69.88       162   4.76008
 28  40.4         73 124.34       118  65          163   4.11797
 29  42.04        74 107.62       119  61.02       164   4.27681
 30  41.8         75 105.13       120  66.96       165   4.81912
 31  36.92        76 102.52       121  81.35       166   6.06351
 32  37.12        77 100.42       122 101.19       167   3.79134
 33 130.36        78  95.69       123 131.29       168   7.33251
 34 161.52        79  95.69       124 135          169   7.41569
 35  39.96        80  96.2        125 135          170   0.898048
 36  19.52        81 101          126 134.14       171   4.28975
 37  22.4         82  76.69       127 128.71       172   5.25741
 38  21.28        83  74          128 125.84       173   7.85032
 39  19.44        84  72.68       129   0.692      174   5.39827
 40  33.36        85  77.87       130   0.63       175   4.30638
 41 104.4         86  75.82       131   0.606      176   4.28712
 42 168.32        87  72.58       132   0.691      177   4.03277
 43  16.48        88  70.51       133   0.481      178   4.04028
 44  16.48        89  85.17       134   0.683      179   3.35457
 45  10           90 105.84       135   0.353      180  -1.98874
;

param Scen0 (tr)
