#erel:= 0.800;
#emax:= 452.601;
#q:= 0.000;
#nesce:=    64;
#etime:= 1.325;
#snodes:=   677;
param nS:=   100;
param nSG:=    30;
param nRVSG :=
 1 24    4 24    7  2   10  2   13  2   16  2   19  2   22  2   25  2   28  2
 2 24    5  2    8  2   11  2   14  2   17  2   20  2   23  2   26  2   29  2
 3 24    6  2    9  2   12  2   15 12   18  2   21  2   24  2   27  2   30 24
;

param ScenF :=
  1   41.6196      46   42.938       91  181.477      136    0.5919
  2   32.7852      47   45.7877      92  172.51       137    0.538295
  3   19.1583      48   79.7983      93  161.722      138    0.4511
  4   14.6535      49   63.2603      94  159.07       139    0.487939
  5   11.9355      50   62.9451      95  148.734      140    0.242
  6   18.9565      51   58.9225      96  145.428      141    0.42086
  7   36.2385      52   58.8586      97    0.460706   142    0.0092
  8   71.8271      53   58.6959      98    0          143    0.37498
  9   83.2127      54   64.4108      99    0.491817   144    0
 10   81.2538      55   73.0729     100    0          145    0.355307
 11   48.9261      56  102.736      101    0.524459   146    0
 12    7.14182     57  115.804      102    0          147    0.355042
 13    2.54378     58  110.01       103    0.540405   148    0
 14   14.0177      59   90.0244     104    0          149    0.353469
 15   19.097       60   59.8679     105    0.538575   150    0
 16   29.6453      61   49.4855     106    0          151    0.341515
 17   65.6091      62   50.9865     107    0.533767   152    0
 18   95.758       63   49.0263     108    0          153    0.311573
 19  120.481       64   45.9376     109    0.531376   154    0
 20  100.419       65   75.9235     110    0          155    0.26342
 21   77.7923      66  126.138      111    0.528081   156    0
 22   99.0196      67  142.703      112    0.0229     157    0
 23   96.6025      68  122.442      113    0.532463   158   17.8329
 24   84.0044      69  127.63       114    0.2271     159   14.5167
 25   60.4709      70  143.035      115    0.532087   160   17.6133
 26   71.7949      71  135.764      116    0.4777     161    0
 27   73.4896      72  125.284      117   78.1432     162   19.4084
 28   78.0053      73   59.1697     118   80.1481     163   17.67
 29   80.8487      74   67.9459     119   84.7375     164   18.9775
 30   86.3005      75   64.2804     120  102.741      165    0
 31   80.6952      76   62.3255     121  101.821      166    1.39396
 32  121.299       77   57.3307     122  131.386      167    0
 33  161.042       78   71.3406     123  141.712      168    0
 34  185.908       79   80.7497     124  146.998      169    0
 35   76.9329      80   98.1578     125  133.658      170 1158.06
 36   31.7404      81  133.443      126  133.68       171  321.49
 37   18.4685      82  118.603      127  117.319      172  378.188
 38   20.5903      83  143.499      128  110.359      173    0
 39   21.3037      84  133.266      129    0.55715    174    9.2721
 40   41.1258      85  110.862      130    0.6187     175  372.584
 41  104.423       86  113.399      131    0.578308   176    0
 42  122.958       87  114.134      132    0.672      177    0
 43   44.6922      88  141.257      133    0.577524   178    1.51388
 44   10.4381      89  138.283      134    0.6639     179    5.43207
 45   23.1365      90  172.496      135    0.564228   180    6.21704
;

param ScenO :=
  1  91.37        46  10           91 127.04       136   0.559
  2  86.44        47  10           92 132          137   0.135
  3  85.07        48  33.88        93 141.7        138   0.369
  4  80.81        49  86.55        94 143.08       139   0.212
  5  75.99        50  80.3         95 137.6        140   0.16
  6  80.81        51  79.51        96 135.36       141   0.283
  7  83.18        52  75.81        97   0.484      142   0.004
  8  84.94        53  70.99        98   0          143   0.285
  9  90.21        54  75.81        99   0.507      144   0
 10  99.24        55  76.01       100   0          145   0.244
 11  86.7         56  79.94       101   0.508      146   0
 12  85.08        57  85.21       102   0          147   0.194
 13  86.63        58  92.24       103   0.491      148   0
 14  87.3         59  80.3        104   0          149   0.16
 15  85.08        60  83.65       105   0.467      150   0
 16  86.88        61  86.63       106   0          151   0.149
 17 108.27        62  87.3        107   0.435      152   0
 18 120.5         63  84.08       108   0          153   0.153
 19 135.05        64  86.88       109   0.387      154   0
 20 136.6         65 102.27       110   0          155   0.149
 21 140.7         66 117.46       111   0.325      156   0
 22 141.08        67 130.05       112   0.018      157   4.09708
 23 136.6         68 131.6        113   0.245      158   4.69424
 24 128.11        69 138.1        114   0.217      159   4.56318
 25  31.12        70 141.08       115   0.15       160   4.94035
 26  35.6         71 131.6        116   0.438      161   5.66811
 27  37.16        72 126.11       117  86.63       162   4.667
 28  45.28        73  83.6        118  84.04       163   0.056264
 29  51.36        74  80.08       119  70          164   4.61761
 30  45.28        75  75.06       120  77.98       165   4.39685
 31  47.88        76  70.8        121  81          166   4.32386
 32  44.28        77  65.99       122 108.82       167   0.180046
 33  40.04        78  69.45       123 122.9        168   0.534556
 34  88           79  75          124 121.6        169   4.30648
 35  38.56        80  78.09       125 134          170   4.19026
 36  35.68        81  86.49       126 141.08       171   3.47285
 37  14.28        82  89.46       127 136.6        172   4.69475
 38  20.8         83  64.16       128 136.48       173   4.97987
 39  22           84  80.08       129   0.1        174   4.87104
 40  20.72        85  85.88       130   0.574      175   4.23154
 41  73.6         86  85.3        131   0.074      176   3.9623
 42  95.04        87  82.56       132   0.644      177   3.95309
 43  10           88  80.3        133   0.054      178   3.97859
 44   6.84        89  93.29       134   0.627      179   4.12028
 45   5.72        90 114.4        135   0.076      180   4.36313
;

param Scen0 (tr)
 :    1	    2	    3	    4	    5	    6	    7	    8	    9	   10	   11	   12	   13	   14	   15	   16	   17	   18	   19	   20	   21	   22	   23	   24	   25	   26	   27	   28	   29	   30	   31	   32	   33	   34	   35	   36	   37	   38	   39	   40	   41	   42	   43	   44	   45	   46	   47	   48	   49	   50	   51	   52	   53	   54	   55	   56	   57	   58	   59	   60	   61	   62	   63	   64	   65	   66	   67	   68	   69	   70	   71	   72	   73	   74	   75	   76	   77	   78	   79	   80	   81	   82	   83	   84	   85	   86	   87	   88	   89	   90	   91	   92	   93	   94	   95	   96	   97	   98	   99	  100	  101	  102	  103	  104	  105	  106	  107	  108	  109	  110	  111	  112	  113	  114	  115	  116	  117	  118	  119	  120	  121	  122	  123	  124	  125	  126	  127	  128	  129	  130	  131	  132	  133	  134	  135	  136	  137	  138	  139	  140	  141	  142	  143	  144	  145	  146	  147	  148	  149	  150	  151	  152	  153	  154	  155	  156	  157	  158	  159	  160	  161	  162	  163	  164	  165	  166	  167	  168	  169	  170	  171	  172	  173	  174	  175	  176	  177	  178	  179	  180	:=
    1	91.370000	86.440000	85.070000	80.810000	75.990000	80.810000	83.180000	84.940000	90.210000	99.240000	86.700000	85.080000	86.630000	87.300000	85.080000	86.880000	108.270000	120.500000	135.050000	136.600000	140.700000	141.080000	136.600000	128.110000	31.120000	35.600000	37.160000	45.280000	51.360000	45.280000	47.880000	44.280000	40.040000	88.000000	38.560000	35.680000	14.280000	20.800000	22.000000	20.720000	73.600000	95.040000	10.000000	6.840000	5.720000	10.000000	10.000000	33.880000	86.550000	80.300000	79.510000	75.810000	70.990000	75.810000	76.010000	79.940000	85.210000	92.240000	80.300000	83.650000	86.630000	87.300000	84.080000	86.880000	102.270000	117.460000	130.050000	131.600000	138.100000	141.080000	131.600000	126.110000	83.600000	80.080000	75.060000	70.800000	65.990000	69.450000	75.000000	78.090000	86.490000	89.460000	64.160000	80.080000	85.880000	85.300000	82.560000	80.300000	93.290000	114.400000	127.040000	132.000000	141.700000	143.080000	137.600000	135.360000	0.484000	0.000000	0.507000	0.000000	0.508000	0.000000	0.491000	0.000000	0.467000	0.000000	0.435000	0.000000	0.387000	0.000000	0.325000	0.018000	0.245000	0.217000	0.150000	0.438000	86.630000	78.830400	84.656200	93.732700	92.602800	112.120000	129.747000	131.090000	124.799000	117.816000	111.515000	103.784000	0.580581	0.565300	0.764015	0.590000	0.731822	0.569100	0.703023	0.531300	0.699539	0.361000	0.675084	0.371600	0.591238	0.010700	0.470666	0.000000	0.430048	0.000000	0.415027	0.000000	0.412836	0.000000	0.385746	0.000000	0.350744	0.000000	0.323815	0.000000	4.097080	17.572100	13.729700	17.275000	0.848129	20.046800	17.982200	19.460200	0.000000	0.595225	1.187120	0.000000	0.000000	1255.220000	329.587000	384.414000	2.429860	4.679390	380.755000	1.558120	2.008770	2.967270	5.350930	2.346970	
    2	91.370000	86.440000	85.070000	80.810000	75.990000	80.810000	83.180000	84.940000	90.210000	99.240000	86.700000	85.080000	86.630000	87.300000	85.080000	86.880000	108.270000	120.500000	135.050000	136.600000	140.700000	141.080000	136.600000	128.110000	31.120000	35.600000	37.160000	45.280000	51.360000	45.280000	47.880000	44.280000	40.040000	88.000000	38.560000	35.680000	14.280000	20.800000	22.000000	20.720000	73.600000	95.040000	10.000000	6.840000	5.720000	10.000000	10.000000	33.880000	86.550000	80.300000	79.510000	75.810000	70.990000	75.810000	76.010000	79.940000	85.210000	92.240000	80.300000	83.650000	86.630000	87.300000	84.080000	86.880000	102.270000	117.460000	130.050000	131.600000	138.100000	141.080000	131.600000	126.110000	83.600000	80.080000	75.060000	70.800000	65.990000	69.450000	75.000000	78.090000	86.490000	89.460000	64.160000	80.080000	85.880000	85.300000	82.560000	80.300000	93.290000	114.400000	127.040000	132.000000	141.700000	143.080000	137.600000	135.360000	0.484000	0.000000	0.507000	0.000000	0.508000	0.000000	0.491000	0.000000	0.467000	0.000000	0.435000	0.000000	0.387000	0.000000	0.325000	0.018000	0.245000	0.217000	0.150000	0.438000	86.630000	81.018500	82.944300	108.217000	114.690000	145.545000	141.044000	157.953000	134.972000	139.916000	113.487000	114.122000	0.646331	0.660300	0.618312	0.665900	0.660072	0.675100	0.632306	0.663600	0.528994	0.482200	0.527425	0.201300	0.467846	0.008900	0.382288	0.000000	0.373640	0.000000	0.404204	0.000000	0.392037	0.000000	0.383851	0.000000	0.334436	0.000000	0.296104	0.000000	4.097080	15.185000	12.336900	18.014300	0.000000	17.520000	15.104800	18.270100	0.000000	1.668290	0.000000	2.536460	0.000000	1262.040000	324.728000	375.310000	0.000000	8.619560	372.631000	0.775591	0.000000	2.149490	5.423090	6.285550	
    3	91.370000	86.440000	85.070000	80.810000	75.990000	80.810000	83.180000	84.940000	90.210000	99.240000	86.700000	85.080000	86.630000	87.300000	85.080000	86.880000	108.270000	120.500000	135.050000	136.600000	140.700000	141.080000	136.600000	128.110000	31.120000	35.600000	37.160000	45.280000	51.360000	45.280000	47.880000	44.280000	40.040000	88.000000	38.560000	35.680000	14.280000	20.800000	22.000000	20.720000	73.600000	95.040000	10.000000	6.840000	5.720000	10.000000	10.000000	33.880000	86.550000	80.300000	79.510000	75.810000	70.990000	75.810000	76.010000	79.940000	85.210000	92.240000	80.300000	83.650000	86.630000	87.300000	84.080000	86.880000	102.270000	117.460000	130.050000	131.600000	138.100000	141.080000	131.600000	126.110000	83.600000	80.080000	75.060000	70.800000	65.990000	69.450000	75.000000	78.090000	86.490000	89.460000	64.160000	80.080000	85.880000	85.300000	82.560000	80.300000	93.290000	114.400000	127.040000	132.000000	141.700000	143.080000	137.600000	135.360000	0.484000	0.000000	0.507000	0.000000	0.508000	0.000000	0.491000	0.000000	0.467000	0.000000	0.435000	0.000000	0.387000	0.000000	0.325000	0.018000	0.245000	0.217000	0.150000	0.438000	86.630000	81.018500	82.944300	108.217000	114.690000	145.545000	141.044000	157.953000	134.972000	139.916000	113.487000	114.122000	0.646331	0.660300	0.618312	0.665900	0.660072	0.675100	0.632306	0.663600	0.528994	0.482200	0.527425	0.201300	0.467846	0.008900	0.382288	0.000000	0.373640	0.000000	0.404204	0.000000	0.392037	0.000000	0.383851	0.000000	0.334436	0.000000	0.296104	0.000000	4.097080	16.505400	13.107400	17.608700	0.000000	19.208800	17.738700	19.353900	0.000000	0.958089	0.000000	8.678040	5.330300	1155.230000	323.274000	379.742000	0.000000	9.162650	382.101000	0.000000	0.453969	2.215170	5.682160	6.638830	
