#erel:= 0.800;
#emax:= 1334.630;
#q:= 0.000;
#nesce:=    54;
#etime:= 1.175;
#snodes:=  1280;
param nS:=   100;
param nSG:=    30;
param nRVSG :=
 1 24    4 24    7  2   10  2   13  2   16  2   19  2   22  2   25  2   28  2
 2 24    5  2    8  2   11  2   14  2   17  2   20  2   23  2   26  2   29  2
 3 24    6  2    9  2   12  2   15 12   18  2   21  2   24  2   27  2   30 24
;

param ScenF :=
  1  64.1067      46  14.7553      91  62.9006     136   0.3073
  2  74.0374      47  11.9725      92 154.384      137   0.517931
  3  58.6159      48   0           93 271.441      138   0.2776
  4  51.4222      49  37.314       94 286.88       139   0.518921
  5  69.4517      50  46.691       95 218.031      140   0.1674
  6  72.1062      51  44.5653      96 192.397      141   0.550536
  7  79.4914      52  52.4036      97   0.169716   142   0.0588
  8  92.7279      53  67.151       98   0          143   0.625885
  9  95.3234      54  59.3657      99   0.205728   144   0.0001
 10  87.6796      55  56.2439     100   0          145   0.721953
 11  83.8482      56  67.2367     101   0.28664    146   0
 12  86.4406      57  56.3066     102   0          147   0.772382
 13  89.9629      58  31.086      103   0.304014   148   0
 14  94.754       59   0          104   0          149   0.767333
 15  87.6263      60   0          105   0.277617   150   0
 16  88.5994      61   5.02857    106   0          151   0.720187
 17 108.228       62  30.6143     107   0.263572   152   0
 18 129.681       63  38.8931     108   0          153   0.627777
 19 139.458       64  36.5579     109   0.317678   154   0
 20 110.46        65  52.2078     110   0.0154     155   0.536813
 21  95.5615      66  47.5129     111   0.417008   156   0
 22 100.499       67  44.8459     112   0.135      157   0
 23  79.2572      68  65.0066     113   0.536361   158   0
 24  78.8681      69  92.3812     114   0.2591     159   0
 25  14.2384      70  97.0291     115   0.591445   160   1.94592
 26   0           71  79.4702     116   0.3264     161  15.31
 27   1.54232     72  75.324      117   0          162  18.7128
 28   0           73  27.5991     118   0          163   0
 29  10.4152      74  41.0895     119   0          164   0
 30  14.7522      75  62.3024     120   0          165   0
 31  30.5931      76  81.9209     121   0          166   1.01269
 32  42.2705      77  71.813      122   0          167 687.433
 33 123.547       78  89.0242     123  19.4487     168   0
 34  79.6291      79  48.9062     124  47.7616     169   0
 35  68.09        80  91.0272     125 109.425      170   0
 36  27.7696      81 105.543      126 102.745      171 319.135
 37  24.3288      82  44.9033     127  65.1298     172  11.8019
 38  27.8952      83   0          128  60.7025     173   9.13521
 39  35.6877      84   0          129   0.623012   174  31.1181
 40  49.8799      85   0          130   0.3665     175   0
 41  58.5371      86  35.8476     131   0.619256   176  12.0952
 42 114.715       87  45.1764     132   0.4014     177   1.07276
 43 141.804       88  55.5298     133   0.585222   178   1.09055
 44 160.436       89  66.123      134   0.3621     179   0
 45   0           90   0          135   0.545467   180   0
;

param ScenO :=
  1  19.86        46  39.32        91  40          136   0.672
  2   3.6         47  37.84        92  47.99       137   0.932
  3   2           48  45.48        93  63          138   0.565
  4   0.98        49  16.86        94  48.09       139   0.924
  5   0.98        50   3.6         95  48.56       140   0.392
  6   2           51   3.32        96  43.91       141   0.902
  7  16.98        52   3.32        97   0.281      142   0.175
  8  40           53   3.32        98   0          143   0.889
  9  52.8         54   3.32        99   0.319      144   0.003
 10  47.59        55  18.98       100   0          145   0.903
 11  35.06        56  40          101   0.329      146   0
 12  30.3         57  51.13       102   0          147   0.907
 13  26.5         58  49.59       103   0.287      148   0
 14  20.33        59  37.55       104   0          149   0.888
 15   6           60  30.3        105   0.261      150   0
 16   3.32        61  26.5        106   0          151   0.921
 17   3.32        62  20.33       107   0.221      152   0
 18   8.75        63   6          108   0          153   0.947
 19  30.3         64   3.32       109   0.192      154   0
