#erel:= 0.800;
#emax:= 1466.191;
#q:= 0.000;
#nesce:=    66;
#etime:= 1.361;
#snodes:=  1584;
param nS:=   100;
param nSG:=    30;
param nRVSG :=
 1 24    4 24    7  2   10  2   13  2   16  2   19  2   22  2   25  2   28  2
 2 24    5  2    8  2   11  2   14  2   17  2   20  2   23  2   26  2   29  2
 3 24    6  2    9  2   12  2   15 12   18  2   21  2   24  2   27  2   30 24
;

param ScenF :=
  1   54.5811       46   21.4302       91   47.9869      136    0.4948
  2   56.5044       47   32.8668       92   65.5151      137    0.617911
  3   44.5514       48   26.6125       93   79.2425      138    0.4144
  4   29.0121       49   40.061        94   54.7324      139    0.60736
  5   21.1025       50   32.8773       95   40.8406      140    0.2669
  6   18.8451       51   20.8283       96   34.5968      141    0.590303
  7   29.8072       52    8.8268       97    0.0641188   142    0.0743
  8   49.6126       53   13.7575       98    0           143    0.605706
  9   69.6055       54   18.5059       99    0.13608     144    0
 10   59.2176       55   51.7099      100    0           145    0.682163
 11   48.1615       56   89.0182      101    0.247788    146    0
 12   32.7067       57   99.3062      102    0           147    0.794682
 13    8.89522      58   69.8006      103    0.316735    148    0
 14    0            59   34.3628      104    0           149    0.870847
 15    0            60   43.5511      105    0.332581    150    0
 16    0            61   31.4832      106    0           151    0.883303
 17    0            62   29.117       107    0.32702     152    0
 18   24.9689       63   21.5083      108    0           153    0.826692
 19   67.2019       64   13.5849      109    0.356048    154    0
 20  100.044        65   22.4805      110    0           155    0.72888
 21  125.387        66   36.08        111    0.378427    156    0
 22  103.573        67   58.3239      112    0.0818      157    0
 23   85.6734       68  104.236       113    0.398556    158    4.86113
 24   74.0777       69  179.978       114    0.2403      159    6.65728
 25   36.2475       70  140.482       115    0.365672    160    7.87681
 26   52.6173       71   96.3874      116    0.4034      161   14.6484
 27   55.5865       72   75.8311      117   16.3192      162    6.24721
 28   65.8722       73   49.0027      118   13.9953      163    0
 29   74.8004       74   52.3326      119    7.56968     164    0
 30   67.6111       75   49.7233      120    9.68627     165    0.542524
 31   84.798        76   36.6386      121   10.1093      166   47.8912
 32   70.6705       77   15.5119      122   42.0886      167  298.653
 33    0            78   19.2674      123   72.8032      168    0
 34   46.9171       79   47.0523      124  117.118       169    0
 35  119.452        80   61.0852      125  108.929       170 1489.5
 36   73.4189       81   86.0958      126   72.3548      171    0
 37   52.9801       82   54.2126      127   68.6951      172    0
 38   40.8606       83   25.9779      128   67.2577      173    0
 39   32.8567       84   13.0513      129    0.367654    174    0
 40   13.9829       85    0           130    0.5046      175    0
 41   33.8677       86    0           131    0.452745    176    1.94563
 42   83.8198       87    0           132    0.5311      177    0.397525
 43   95.7259       88    0           133    0.54967     178    0
 44    0            89    0           134    0.5265      179    0
 45    0            90    8.348       135    0.599306    180    0
;

param ScenO :=
  1  57           46  11           91  80.45       136   0.139
  2  55           47  14.44        92 107.17       137   0.367
  3  43.5         48  26.88        93 110.38       138   0.095
  4  44           49  65           94  92.88       139   0.37
  5  49           50  55           95  90.2        140   0.054
  6  41           51  49.63        96  84.5        141   0.388
  7  56.5         52  44           97   0.167      142   0.015
  8  70.1         53  49.1         98   0          143   0.442
  9  90.3         54  51           99   0.167      144   0
 10  79.64        55  59.1        100   0          145   0.463
 11  70           56  69.69       101   0.163      146   0
 12  60           57  90.2        102   0          147   0.454
 13  55.83        58  84.64       103   0.158      148   0
 14  54           59  71          104   0          149   0.446
 15  50           60  62          105   0.152      150   0
 16  42           61  60.83       106   0          151   0.411
 17  40           62  58.52       107   0.149      152   0
 18  53.9         63  57.99       108   0          153   0.374
 19  70.57        64  50          109   0.155      154   0
 20 102.17        65  48          110   0          155   0.379
 21 103.06        66  59.91       111   0.165      156   0
 22  90.5         67  75.57       112   0.093      157   0.297018
 23  79.03        68 105.01       113   0.192      158   0.682
 24  74           69 103.06       114   0.256      159   0.330115
 25  31.76        70  90.51       115   0.251      160   0.692045
 26  32.76        71  82.03       116   0.398      161   1.6802
 27  36.12        72  76.5        117  83.75       162   2.58634
 28  36.24        73  70.9        118  75.01       163   0.812389
 29  34.52        74  69.9        119  76.75       164   0.790157
 30  36.92        75  69.9        120  70.77       165   1.02004
