#erel:= 0.800;
#emax:= 1484.867;
#q:= 0.000;
#nesce:=    77;
#etime:= 1.133;
#snodes:=  1365;
param nS:=   100;
param nSG:=    30;
param nRVSG :=
 1 24    4 24    7  2   10  2   13  2   16  2   19  2   22  2   25  2   28  2
 2 24    5  2    8  2   11  2   14  2   17  2   20  2   23  2   26  2   29  2
 3 24    6  2    9  2   12  2   15 12   18  2   21  2   24  2   27  2   30 24
;

param ScenF :=
  1  69.2003       46   4.25233      91  87.9345      136   0.2211
  2  75.796        47   0            92 106.034       137   0.727543
  3  72.2758       48   0            93 121.867       138   0.1838
  4  81.8627       49  55.1224       94 102.75        139   0.748019
  5  82.1226       50  51.0755       95  77.9654      140   0.1011
  6  78.6885       51  48.9437       96  69.2928      141   0.748749
  7  85.3127       52  36.9639       97   0.485797    142   0.0257
  8 119.402        53  24.1823       98   0           143   0.729565
  9 138.777        54  21.1675       99   0.560339    144   0
 10 118.132        55  31.6401      100   0           145   0.704294
 11  97.3845       56  44.269       101   0.655748    146   0
 12  90.4382       57  42.0135      102   0           147   0.702203
 13  80.0512       58  33.7336      103   0.702276    148   0
 14  86.0216       59  12.8888      104   0           149   0.69217
 15  89.7326       60  16.9079      105   0.711272    150   0
 16  61.7306       61  18.1965      106   0           151   0.677635
 17  48.4484       62  31.5143      107   0.686837    152   0
 18  81.0855       63  35.8905      108   0           153   0.654345
 19 112.745        64  36.4427      109   0.675036    154   0
 20 140.306        65  46.6651      110   0           155   0.588638
 21 166.765        66  49.3788      111   0.643957    156   0
 22 141.917        67  40.0495      112   0.0209      157   1.40499
 23 117.338        68  51.0192      113   0.599353    158   1.50677
 24 107.239        69  72.1642      114   0.0665      159   1.0612
 25  23.575        70  65.6611      115   0.53289     160   2.01025
 26  22.8397       71  58.552       116   0.1234      161   5.10524
 27  16.7317       72  48.5339      117  87.1932      162   1.58251
 28  18.4134       73  60.3361      118  88.2399      163   1.96259
 29   9.50885      74  72.6396      119  89.4866      164   1.26864
 30   6.33583      75  58.4333      120 105.526       165   0.0524542
 31   4.24117      76  48.6008      121 101.69        166   0
 32  20.8008       77  56.9806      122 107.55        167   0
 33  41.3767       78  69.4248      123 116.435       168   0
 34  24.9892       79  77.885       124 148.833       169   0
 35  42.0516       80 105.735       125 151.117       170   0
 36  33.2541       81 142.017       126 113.46        171   0
 37  36.6079       82 110.826       127  83.1418      172   0
 38  42.1067       83  94.6007      128  81.5575      173  17.2842
 39  41.4617       84  80.8208      129   0.513375    174   1.11228
 40  41.4626       85  74.1344      130   0.1709      175 292.049
 41  37.9798       86  66.5859      131   0.569337    176   0
 42  53.7546       87  70.1759      132   0.1929      177   0.205638
 43  44.1171       88  68.744       133   0.642003    178   0.482028
 44   0            89  62.989       134   0.2179      179   1.01728
 45   0            90  62.7127      135   0.690079    180   0.865428
;

param ScenO :=
  1  60.61        46  11           91 125.01       136   0.225
  2  50.31        47  16.28        92 121          137   0.696
  3  49           48  42.8         93 105          138   0.24
  4  43.1         49  60.76        94  99.44       139   0.656
  5  43.92        50  58.01        95  93.63       140   0.161
  6  49.2         51  50.25        96  81.25       141   0.595
  7  65.78        52  44.11        97   0.699      142   0.048
  8  86.74        53  44.42        98   0          143   0.599
  9  98.94        54  49.2         99   0.676      144   0
 10  68.39        55  63.8        100   0          145   0.557
 11  60.61        56  86.84       101   0.665      146   0
 12  51.99        57 103.53       102   0          147   0.519
 13  50.24        58  71.39       103   0.729      148   0
 14  51.97        59  60.61       104   0          149   0.55
 15  51.97        60  57          105   0.762      150   0
 16  52.51        61  55.6        106   0          151   0.539
 17  84.89        62  55.47       107   0.795      152   0
 18 115.57        63  56.97       108   0          153   0.536
 19 149.48        64  57.52       109   0.851      154   0
 20 133.66        65  84.89       110   0          155   0.54
 21 115.73        66 113.56       111   0.858      156   0
 22 110.49        67 144.49       112   0.009      157   0.495298
 23  98.61        68 130.66       113   0.838      158   0
 24  81.25        69 113          114   0.039      159   0
 25  36.6         70 107.49       115   0.765      160   0
 26  35.32        71  98.61       116   0.077      161   0
 27  35.92        72  87.3        117  43.7        162   0
 28  33.56        73  83.82       118  48.42       163   0.016722
 29  34           74  75.31       119  49.22       164   0.419991
 30  36.48        75  52.95       120  49.76       165   0.5189
 31  34.24        76  48.02       121  55          166   0.109665
 32  28.08        77  48.31       122  86.3        167  -0.048177
 33  37.4         78  53.12       123 101.7        168   0
 34  43           79  62          124 111.3        169   0.000597
 35  37.08        80  86.84       125  96.89       170   0.022705
 36  33.56        81 109.56       126  93          171   0.134693
 37  25.12        82  65.78       127  83.81       172   1.67263
 38  25.12        83  60.1        128  73          173   0.047238
 39  30.48        84  61.99       129   0.713      174   0.275764
 40  38.12        85  55.24       130   0.114      175   0.524953
 41  59.2         86  55.95       131   0.698      176   0.571225
 42  26.16        87  57.17       132   0.148      177   0.586883
 43  58.4         88  52.51       133   0.694      178   0.41678
 44  30           89  69          134   0.18       179   0.421762
 45  12           90  95.16       135   0.698      180   0.168123
;

param Scen0 (tr)
 :    1	    2	    3	    4	    5	    6	    7	    8	    9	   10	   11	   12	   13	   14	   15	   16	   17	   18	   19	   20	   21	   22	   23	   24	   25	   26	   27	   28	   29	   30	   31	   32	   33	   34	   35	   36	   37	   38	   39	   40	   41	   42	   43	   44	   45	   46	   47	   48	   49	   50	   51	   52	   53	   54	   55	   56	   57	   58	   59	   60	   61	   62	   63	   64	   65	   66	   67	   68	   69	   70	   71	   72	   73	   74	   75	   76	   77	   78	   79	   80	   81	   82	   83	   84	   85	   86	   87	   88	   89	   90	   91	   92	   93	   94	   95	   96	   97	   98	   99	  100	  101	  102	  103	  104	  105	  106	  107	  108	  109	  110	  111	  112	  113	  114	  115	  116	  117	  118	  119	  120	  121	  122	  123	  124	  125	  126	  127	  128	  129	  130	  131	  132	  133	  134	  135	  136	  137	  138	  139	  140	  141	  142	  143	  144	  145	  146	  147	  148	  149	  150	  151	  152	  153	  154	  155	  156	  157	  158	  159	  160	  161	  162	  163	  164	  165	  166	  167	  168	  169	  170	  171	  172	  173	  174	  175	  176	  177	  178	  179	  180	:=
