#erel:= 0.800;
#emax:= 1532.332;
#q:= 0.000;
#nesce:=    63;
#etime:= 1.191;
#snodes:=  1540;
param nS:=   100;
param nSG:=    30;
param nRVSG :=
 1 24    4 24    7  2   10  2   13  2   16  2   19  2   22  2   25  2   28  2
 2 24    5  2    8  2   11  2   14  2   17  2   20  2   23  2   26  2   29  2
 3 24    6  2    9  2   12  2   15 12   18  2   21  2   24  2   27  2   30 24
;

param ScenF :=
  1  51.017        46  11.8693       91  74.0329      136   0.1393
  2  47.5649       47  22.3071       92  93.5121      137   0.284773
  3  43.0839       48  26.776        93 114.784       138   0.11
  4  40.6547       49  37.8688       94 111.348       139   0.346963
  5  26.6628       50  37.9727       95  99.3269      140   0.0626
  6  15.1283       51  34.2537       96  79.794       141   0.384743
  7  15.024        52  27.1908       97   0.851089    142   0.0154
  8  37.2958       53  25.4078       98   0           143   0.383646
  9  57.4993       54  30.0978       99   0.905253    144   0
 10  68.1921       55  41.5335      100   0           145   0.359887
 11  91.6661       56  62.9834      101   0.966626    146   0
 12  85.7352       57  74.7436      102   0           147   0.324
 13  79.9548       58  68.1532      103   0.989373    148   0
 14  80.3197       59  60.1612      104   0           149   0.262376
 15  79.9252       60  46.5416      105   0.986977    150   0
 16  66.6559       61  32.2501      106   0           151   0.204738
 17  68.28         62  29.6885      107   0.962048    152   0
 18  77.0573       63  18.939       108   0           153   0.150897
 19  70.4778       64  10.3316      109   0.917881    154   0
 20  64.3226       65  27.4934      110   0           155   0.0834488
 21  58.9047       66  62.1685      111   0.827651    156   0
 22  37.8171       67  84.5506      112   0.0116      157   0
 23  26.0154       68  71.4031      113   0.695506    158   0.356182
 24  20.9019       69  87.2455      114   0.0462      159   0
 25  41.6844       70  84.7624      115   0.545787    160   0.406838
 26  54.2708       71  69.2884      116   0.0894      161   2.21023
 27  56.1888       72  54.8804      117  72.6833      162   2.12825
 28  62.6873       73  46.1784      118  79.2849      163   0
 29  64.4136       74  60.2619      119  77.7806      164   0
 30  62.4083       75  43.3755      120  87.3806      165   0
 31  55.7887       76  26.587       121  80.3707      166   4.45385
 32  68.8123       77  13.2311      122  79.2934      167  46.2937
 33  56.4401       78  10.3623      123  83.7931      168  30.3826
 34  47.8855       79  27.0469      124 107.441       169  75.4434
 35  17.8568       80  39.238       125 120.946       170   0
 36   3.91023      81  64.1857      126 116.796       171   0
 37   0            82  34.9336      127  89.5954      172   0
 38   2.12899      83  12.9711      128  82.6869      173  34.7622
 39   5.46407      84  15.5637      129   0.417817    174   0
 40   8.23546      85  10.1849      130   0.1279      175   0
 41   8.23821      86  13.0333      131   0.326158    176   1.84435
 42  23.6979       87  14.2511      132   0.152       177   0.863564
 43  25.9617       88  14.6967      133   0.266215    178   1.13265
 44  37.353        89  23.0236      134   0.1547      179   1.75654
 45   0.255439     90  29.8802      135   0.249887    180   1.86679
;

param ScenO :=
  1  66           46  17.68        91 145          136   0.332
  2  55           47  38.04        92 141          137   0.876
  3  52.99        48  49.36        93 134.36       138   0.254
  4  44.6         49  75.99        94 117.33       139   0.829
  5  40           50  81.34        95  87.84       140   0.12
  6  52.5         51  76.63        96  82.54       141   0.803
  7  68.68        52  69.28        97   0.963      142   0.028
  8  76.04        53  59.04        98   0          143   0.803
  9  90.25        54  73.18        99   0.963      144   0
 10  85           55  78.8        100   0          145   0.79
 11  69.7         56  93.09       101   0.961      146   0
 12  69.57        57  96.36       102   0          147   0.782
 13  73.05        58  79.65       103   0.96       148   0
 14  73.52        59  79.6        104   0          149   0.769
 15  69.57        60  78.21       105   0.96       150   0
 16  72.65        61  79.79       106   0          151   0.739
 17  86.81        62  78.16       107   0.956      152   0
 18 102.3         63  87.84       108   0          153   0.722
 19 145           64  79.1        109   0.945      154   0
 20 143.36        65  85.61       110   0          155   0.739
 21 143.36        66  94.1        111   0.939      156   0
 22 132.33        67  88          112   0.021      157   0.084091
 23  99.8         68  95.1        113   0.933      158   0.133636
 24  91.71        69 101.61       114   0.074      159   0.104171
 25  54.44        70  93.55       115   0.935      160   0.048655
 26  39.44        71  83.22       116   0.159      161   0.019
 27  38.52        72  73.71       117  86.31       162   0.100762
 28  37.84        73  59.97       118  76.26       163   0.113861
 29  40           74  54          119  69.82       164   0.071804
 30  39.64        75  45.03       120  72.65       165   0.373186
 31  69.24        76  35.6        121  78          166   0.104588
 32  57.2         77  20          122  88          167   0.233429
 33  55.76        78  42.21       123 135.33       168   0.071008
 34  43.52        79  67.66       124 126.53       169   0.03436
 35  43.6         80  70          125 107.61       170   1.47579
 36  43.96        81  75          126  91.72       171   1.51445
 37  37.76        82  66.09       127  84.83       172   1.59959
 38  39.44        83  63.95       128  73.81       173   0.295703
