#erel:= 0.800;
#emax:= 1251.728;
#q:= 0.000;
#nesce:=    56;
#etime:= 1.271;
#snodes:=  1480;
param nS:=   100;
param nSG:=    30;
param nRVSG :=
 1 24    4 24    7  2   10  2   13  2   16  2   19  2   22  2   25  2   28  2
 2 24    5  2    8  2   11  2   14  2   17  2   20  2   23  2   26  2   29  2
 3 24    6  2    9  2   12  2   15 12   18  2   21  2   24  2   27  2   30 24
;

param ScenF :=
  1 109.43         46  56.03         91 160.44        136   0.4161
  2 122.197        47  56.3897       92 143.757       137   0.33679
  3 102.546        48  67.6256       93 119.615       138   0.3574
  4  92.3414       49 112.778        94 123.571       139   0.348769
  5  88.2851       50 130.885        95 118.353       140   0.241
  6  71.8749       51 125.374        96 100.152       141   0.356567
  7  67.9165       52 119.01         97   0.0817618   142   0.0363
  8  82.3814       53 124.302        98   0           143   0.351801
  9  72.1756       54 111.221        99   0.109338    144   0
 10  70.8659       55 102.386       100   0           145   0.319038
 11  64            56  93.2969      101   0.141705    146   0
 12  47.0073       57  87.7082      102   0           147   0.281962
 13  42.5078       58 107.253       103   0.14641     148   0
 14  51.4416       59 110.676       104   0           149   0.247554
 15  63.1164       60  93.3506      105   0.137774    150   0
 16  67.1182       61  93.025       106   0           151   0.229746
 17  80.6874       62 101.086       107   0.112147    152   0
 18 102.992        63 113.929       108   0           153   0.231845
 19 116.182        64 112.482       109   0.102417    154   0
 20 129.82         65 122.181       110   0           155   0.224125
 21 125.735        66 140.566       111   0.107263    156   0
 22 138.81         67 136.28        112   0.0668      157   0.743674
 23 136.588        68 153.997       113   0.117945    158   1.69916
 24 125.041        69 171.372       114   0.2628      159   1.44207
 25  57.1627       70 169.146       115   0.136005    160   1.1799
 26  54.4111       71 141.106       116   0.4682      161   2.02977
 27  64.795        72 122.359       117  66.5847      162   0.868003
 28  71.0753       73 116.772       118  63.5121      163   1.63066
 29  74.6111       74 149.954       119  61.7712      164   0.389522
 30  74.7118       75 153.767       120  76.7974      165   0.0173294
 31  89.4942       76 147.15        121  64.1518      166   0
 32 152.618        77 147.946       122 111.048       167   5.39458
 33 180.932        78 141.129       123 150.406       168  12.2145
 34  90.6947       79 147.998       124 152.684       169  22.5939
 35  62.0338       80 143.335       125 117.769       170   0
