#erel:= 0.800;
#emax:= 1256.372;
#q:= 0.000;
#nesce:=    65;
#etime:= 1.261;
#snodes:=  1526;
param nS:=   100;
param nSG:=    30;
param nRVSG :=
 1 24    4 24    7  2   10  2   13  2   16  2   19  2   22  2   25  2   28  2
 2 24    5  2    8  2   11  2   14  2   17  2   20  2   23  2   26  2   29  2
 3 24    6  2    9  2   12  2   15 12   18  2   21  2   24  2   27  2   30 24
;

param ScenF :=
  1  84.5069      46   8.32984     91 140.885      136   0.1449
  2  89.6497      47   0           92 131.493      137   1.08385
  3  78.9819      48   0           93 120.428      138   0.0993
  4  70.147       49  94.3355      94 124.944      139   1.15435
  5  72.209       50  86.7918      95 122.024      140   0.0437
  6  64.802       51  73.914       96 103.27       141   1.19671
  7  79.1705      52  54.7019      97   0.643674   142   0.0032
  8 117.682       53  42.9264      98   0          143   1.17889
  9 132.062       54  40.6526      99   0.699075   144   0
 10 110.328       55  69.4151     100   0          145   1.11016
 11  94.6991      56 107.244      101   0.762638   146   0
 12  95.7217      57 117.724      102   0          147   1.04491
 13  86.9218      58  93.245      103   0.727616   148   0
 14  88.8577      59  50.6482     104   0          149   0.987613
 15  84.114       60  33.7439     105   0.68468    150   0
 16  85.5685      61  25.7346     106   0          151   0.952127
 17 116.519       62  39.267      107   0.641091   152   0
 18 139.281       63  44.0822     108   0          153   0.915608
 19 136.406       64  59.1171     109   0.654186   154   0
 20 111.692       65  98.1031     110   0          155   0.850078
 21 102.941       66 125.989      111   0.719031   156   0
 22  96.5534      67 138.964      112   0.0124     157   0
 23  86.8945      68  91.6669     113   0.779688   158   0.450626
 24  78.2607      69  80.5694     114   0.0879     159   0.549745
 25  10.6221      70  98.3327     115   0.791961   160   1.07097
 26  13.9973      71 106.003      116   0.1715     161   0.77982
 27  11.5017      72  82.8321     117 110.477      162   0
 28   6.26019     73  63.7921     118 111.472      163   0.552742
 29   1.7082      74  88.9769     119 106.607      164   0.377062
 30   3.62361     75  76.9456     120 111.291      165   0.23189
 31   0           76  65.7035     121  91.3237     166   0
 32   0           77  58.7742     122 110.87       167   0
 33   0           78  68.5379     123 134.036      168   0
 34   0           79  90.8277     124 145.998      169   0
 35   1.53099     80  92.2024     125 118.341      170   0
 36  18.7391      81 124.481      126 129.552      171  32.6287
 37  27.3197      82  85.0167     127 114.248      172  28.8197
 38  29.7385      83  88.2925     128 100.385      173   0
 39  33.3806      84  76.8849     129   0.813041   174   2.36278
 40  25.2619      85  57.2104     130   0.193      175  20.2156
 41  14.9204      86  58.1378     131   0.876702   176   0.837545
 42  20.6021      87  55.0786     132   0.166      177   0.420099
 43   9.67503     88  45.8427     133   0.942981   178   0.483861
 44   0           89  58.7888     134   0.1521     179   0.718743
 45  24.4102      90 103.866      135   1.00886    180   1.09974
;

param ScenO :=
  1  90.2         46  18.24        91 151.82       136   0.546
  2  90           47  14.48        92 155.68       137   0.011
  3  89.53        48  36.2         93 140.96       138   0.424
  4  89.99        49  98.12        94 135.62       139   0.056
  5  90.2         50  99.05        95 124.49       140   0.242
  6  95.74        51  98.12        96 112.38       141   0.155
  7 110.99        52  98.12        97   0.668      142   0.035
  8 125.28        53  99.05        98   0          143   0.258
  9 134.11        54  99.05        99   0.546      144   0
 10 125.8         55 106          100   0          145   0.337
 11 121.71        56 117.78       101   0.363      146   0
 12 120.76        57 124.11       102   0          147   0.386
 13 119.8         58 113.9        103   0.201      148   0
 14 120.76        59 108.41       104   0          149   0.41
 15 122.54        60 105.61       105   0.138      150   0
 16 126.04        61 104.89       106   0          151   0.413
