#erel:= 0.800;
#emax:= 1259.945;
#q:= 0.000;
#nesce:=    48;
#etime:= 1.017;
#snodes:=  1050;
param nS:=   100;
param nSG:=    30;
param nRVSG :=
 1 24    4 24    7  2   10  2   13  2   16  2   19  2   22  2   25  2   28  2
 2 24    5  2    8  2   11  2   14  2   17  2   20  2   23  2   26  2   29  2
 3 24    6  2    9  2   12  2   15 12   18  2   21  2   24  2   27  2   30 24
;

param ScenF :=
  1  85.7343       46  34.772        91 116.697       136   0.2994
  2 100.657        47  42.9647       92 112.009       137   0.136077
  3  87.0826       48  51.6933       93 105.527       138   0.2487
  4  83.3028       49 101.056        94 111.857       139   0.140424
  5  91.0485       50 101.015        95 116.31        140   0.1352
  6  81.9372       51  89.5063       96  94.3723      141   0.150908
  7  83.6993       52  73.4694       97   0.396227    142   0.017
  8  94.002        53  60.6245       98   0           143   0.190241
  9  92.179        54  51.7356       99   0.427772    144   0
 10  93.5713       55  62.5264      100   0           145   0.269046
 11  91.3121       56  70.6769      101   0.452192    146   0
 12  74.7641       57  74.0099      102   0           147   0.341519
 13  76.1625       58  85.2351      103   0.43751     148   0
 14  86.794        59  86.6224      104   0           149   0.38504
 15 102.504        60  66.6243      105   0.418381    150   0
 16 115.663        61  54.6328      106   0           151   0.40231
 17 119.103        62  52.557       107   0.397939    152   0
 18 121.516        63  58.3736      108   0           153   0.374071
 19 116.708        64  63.33        109   0.371942    154   0
 20 106.868        65  68.9994      110   0           155   0.326354
 21  77.3665       66  95.0026      111   0.342175    156   0
 22  81.0225       67 104.76        112   0.0063      157   0
 23  80.7467       68  85.1804      113   0.312912    158   0.165907
 24  74.7614       69  73.0226      114   0.0519      159   0
 25  54.361        70  75.9112      115   0.270116    160   0.495465
 26  47.4521       71  85.8269      116   0.1315      161   1.16681
 27  31.2871       72  65.2656      117  47.5273      162   0.163794
 28  36.0221       73  80.4456      118  50.9247      163   0
 29  24.7872       74  97.9599      119  44.72        164   0.0051757
 30  32.239        75  65.1542      120  51.664       165   0
 31  52.1072       76  36.7026      121  49.4485      166   2.34448
 32 115.294        77  40.9516      122  92.35        167   0
 33  88.0341       78  61.6843      123 112.73        168   2.18061
 34   9.1894       79  99.9522      124 119.222       169   0
 35   9.12665      80 120.069       125 112.248       170   0
 36   8.10233      81 147.304       126 138.573       171   0
 37   0            82 100.765       127 119.173       172  11.429
 38  13.8185       83  78.4766      128 104.877       173   0
 39  24.9142       84  79.7791      129   0.226202    174   0
 40  56.1276       85  67.7031      130   0.1642      175   0
 41  59.7766       86  70.1707      131   0.199602    176   0.935814
 42 146.171        87  80.3714      132   0.2254      177   0.387429
 43  38.6712       88  81.1578      133   0.169242    178   0.537579
 44  68.0786       89  83.3903      134   0.2686      179   0.866776
 45   0            90  96.0118      135   0.143341    180   1.11657
;

param ScenO :=
  1 111.6         46  10.28        91 140.92       136   0.438
  2 107.31        47  14.36        92 137.2        137   0.094
  3 107.43        48  32.56        93 137.35       138   0.33
  4 104.05        49 111.59        94 139.19       139   0.113
  5 104.81        50 107.49        95 125          140   0.145
  6 109.55        51 106.29        96 114.08       141   0.146
  7 130.98        52 104.7         97   0.31       142   0.015
  8 141.66        53 104.81        98   0          143   0.167
  9 147.22        54 107.27        99   0.252      144   0
 10 138.36        55 129.05       100   0          145   0.158
 11 131.25        56 141.66       101   0.201      146   0
 12 125.6         57 147.22       102   0          147   0.14
 13 120.47        58 138.36       103   0.168      148   0
 14 119.54        59 131.25       104   0          149   0.117
 15 120           60 125.6        105   0.152      150   0
 16 119.55        61 121.48       106   0          151   0.094
 17 128.7         62 119.54       107   0.138      152   0
 18 139.68        63 118.99       108   0          153   0.082
 19 138.66        64 118.6        109   0.125      154   0
 20 134.05        65 128.7        110   0          155   0.073
 21 133.85        66 138.67       111   0.114      156   0
 22 134.19        67 138.16       112   0.041      157   0.611649
 23 126.69        68 134.05       113   0.097      158   0.666387
 24 114.08        69 134.75       114   0.198      159   0.883924
 25  20.56        70 135.69       115   0.077      160   0.913503
 26  14.56        71 125.68       116   0.365      161   0.873581
 27  14.36        72 113.08       117 111.49       162   0.732907
 28  16.16        73 107.6        118 104.54       163   0.655596
 29  15.8         74 108.35       119 105          164   0.691938
 30  13.44        75 106.58       120 113.7        165   0.726328
 31   9.92        76 104.05       121 124.6        166   0.770093
 32  18.32        77 103.99       122 141.18       167   0.846476
 33  22.08        78 103.99       123 145          168   0.907484
 34  22.04        79 118.95       124 136.05       169   0.883788
 35  13.8         80 141.66       125 135.85       170   0.921114
 36  12.56        81 147.22       126 136.69       171   1.06125
 37  10.08        82 142.28       127 121.69       172   0.822836
 38  10.08        83 131.25       128 107.16       173   0.778166
 39  10.08        84 125.7        129   0.071      174   0.753508
 40  46.72        85 120.47       130   0.496      175   1.01738
 41  25.12        86 118.53       131   0.073      176   0.957553
 42  50.2         87 116          132   0.559      177   0.944191
 43  12.48        88 115.54       133   0.077      178   0.798048
 44   9.92        89 125.91       134   0.548      179   0.84095
 45   9.92        90 139.68       135   0.084      180   0.87614
;

param Scen0 (tr)
 :    1	    2	    3	    4	    5	    6	    7	    8	    9	   10	   11	   12	   13	   14	   15	   16	   17	   18	   19	   20	   21	   22	   23	   24	   25	   26	   27	   28	   29	   30	   31	   32	   33	   34	   35	   36	   37	   38	   39	   40	   41	   42	   43	   44	   45	   46	   47	   48	   49	   50	   51	   52	   53	   54	   55	   56	   57	   58	   59	   60	   61	   62	   63	   64	   65	   66	   67	   68	   69	   70	   71	   72	   73	   74	   75	   76	   77	   78	   79	   80	   81	   82	   83	   84	   85	   86	   87	   88	   89	   90	   91	   92	   93	   94	   95	   96	   97	   98	   99	  100	  101	  102	  103	  104	  105	  106	  107	  108	  109	  110	  111	  112	  113	  114	  115	  116	  117	  118	  119	  120	  121	  122	  123	  124	  125	  126	  127	  128	  129	  130	  131	  132	  133	  134	  135	  136	  137	  138	  139	  140	  141	  142	  143	  144	  145	  146	  147	  148	  149	  150	  151	  152	  153	  154	  155	  156	  157	  158	  159	  160	  161	  162	  163	  164	  165	  166	  167	  168	  169	  170	  171	  172	  173	  174	  175	  176	  177	  178	  179	  180	:=
