#erel:= 0.800;
#emax:= 1382.612;
#q:= 0.000;
#nesce:=    61;
#etime:= 1.281;
#snodes:=  1436;
param nS:=   100;
param nSG:=    30;
param nRVSG :=
 1 24    4 24    7  2   10  2   13  2   16  2   19  2   22  2   25  2   28  2
 2 24    5  2    8  2   11  2   14  2   17  2   20  2   23  2   26  2   29  2
 3 24    6  2    9  2   12  2   15 12   18  2   21  2   24  2   27  2   30 24
;

param ScenF :=
  1  124.494        46   27.1639       91  104.394       136    0.5696
  2  141.67         47    0            92  110.871       137    0.061595
  3  137.526        48    0            93  122.678       138    0.4391
  4  144.032        49   98.0491       94  113.414       139    0.0423527
  5  151.192        50  104.68         95  114.154       140    0.2173
  6  153.074        51   99.004        96  106.145       141    0.0305689
  7  158.398        52   90.9092       97    0           142    0.0143
  8  205.402        53   89.8689       98    0           143    0.0452982
  9  224.248        54   87.8453       99    0           144    0
 10  205.754        55   95.9041      100    0           145    0.10903
 11  178.199        56  126.055       101    0.0130742   146    0
 12  156.745        57  139.055       102    0           147    0.190249
 13  147.534        58  143.508       103    0.0511305   148    0
 14  139.884        59  146.099       104    0           149    0.26253
 15  134.15         60  122.089       105    0.07753     150    0
 16  132.291        61  113.035       106    0           151    0.295917
 17  166.539        62  101.422       107    0.124836    152    0
 18  209.902        63   88.1566      108    0           153    0.291783
 19  229.914        64   86.7418      109    0.182911    154    0
 20  226.157        65  129.884       110    0           155    0.273162
 21  246.893        66  166.553       111    0.228459    156    0
 22  252.998        67  165.74        112    0.0424      157    0
 23  225.831        68  148.64        113    0.259606    158    1.61956
 24  213.048        69  173.221       114    0.2791      159    2.07911
 25   34.3379       70  182.259       115    0.261127    160    4.92771
 26   45.0547       71  163.404       116    0.4999      161    7.09664
 27   90.8982       72  147.566       117   55.8716      162   25.5097
 28   91.4068       73   93.1605      118   63.7847      163    5.0127
 29   75.2991       74  113.8         119   63.3512      164    1.06068
 30   80.6585       75  123.299       120   80.0738      165    0
 31    8.46067      76  117.03        121   79.5678      166    0
 32   85.7853       77  102.111       122  111.21        167   79.0921
 33  169.274        78   99.2032      123  122.139       168    0
 34    0            79  116.302       124  142.756       169    0
 35  178.142        80  114.157       125  161.994       170 5689.97
 36  198.002        81  128.966       126  155.054       171  375.625
 37  169.429        82  113.711       127  133.672       172  343.428
 38  169.492        83  121.236       128  126.073       173  162.301
 39  170.275        84  131.563       129    0.23177     174   11.0325
 40  348.519        85  110.711       130    0.6185      175   61.2588
 41  176.227        86  100.682       131    0.181499    176    0.228203
 42  480.465        87   91.7064      132    0.6518      177    0
 43  135.746        88  102.032       133    0.130601    178    1.57867
 44    0            89  110.6         134    0.6275      179    1.11595
 45  123.97         90  118.345       135    0.088603    180    2.00837
;

param ScenO :=
  1 141.75        46   8.16        91 151          136   0.623
  2 135.01        47   7.28        92 144.13       137   0.039
  3 122           48   8.96        93 133.28       138   0.501
  4 121.4         49 135.61        94 136.43       139   0.041
  5 111.5         50 127.28        95 131.7        140   0.299
  6 115.79        51 113.63        96 120          141   0.047
  7 135           52 113.2         97   0.051      142   0.025
  8 150           53 106.6         98   0          143   0.06
  9 152.28        54 110.79        99   0.063      144   0
 10 140.8         55 132.05       100   0          145   0.078
 11 121           56 150          101   0.073      146   0
 12 108.95        57 152.3        102   0          147   0.095
 13 103.5         58 138.17       103   0.087      148   0
 14 103.19        59 115.9        104   0          149   0.102
 15 108.5         60 106.75       105   0.106      150   0
 16 119.81        61 100.5        106   0          151   0.099
 17 137.1         62 102.12       107   0.133      152   0
 18 150.4         63 108.37       108   0          153   0.096
 19 158.24        64 114.81       109   0.163      154   0
 20 154.12        65 134.1        110   0          155   0.109
 21 153           66 150.41       111   0.182      156   0
 22 148.58        67 157.71       112   0.06       157   0.706878
 23 140.6         68 149.65       113   0.159      158   0.75624
 24 140.01        69 150.01       114   0.306      159   0.846148
 25   7.16        70 148.58       115   0.107      160   0.794893
 26   8.8         71 140.01       116   0.507      161   1.12861
 27   8.68        72 128.34       117 106.04       162   1.10286
 28   8.8         73 139.75       118 102          163   0.738222
 29  10.52        74 132.01       119 107.27       164   0.8218
 30  10.52        75 120          120 114.96       165   0.937549
 31  10.52        76 114.27       121 128.54       166   0.518537
 32  10           77 108.72       122 144          167   0.331653
 33  10           78 109.75       123 146.68       168   0.723084
 34   8.8         79 133          124 144          169   1.11623
 35   9.32        80 150          125 128.92       170   0.705785
 36  15.88        81 150.28       126 129.17       171   0.856037
 37  15           82 139.18       127 129.17       172   0.616226
 38  14           83 115.11       128 114          173   0.260613
 39  12.4         84 106.95       129   0.077      174   0.760572
 40  15           85 101.56       130   0.63       175   0.669869
 41  10           86 101.12       131   0.063      176   0.716584
 42   8.84        87 106.5        132   0.686      177   0.659542
 43   8           88 115          133   0.054      178   0.792704
 44   5.8         89 131          134   0.683      179   0.747724
 45   7           90 144.02       135   0.045      180   0.594386
;

param Scen0 (tr)
 :    1	    2	    3	    4	    5	    6	    7	    8	    9	   10	   11	   12	   13	   14	   15	   16	   17	   18	   19	   20	   21	   22	   23	   24	   25	   26	   27	   28	   29	   30	   31	   32	   33	   34	   35	   36	   37	   38	   39	   40	   41	   42	   43	   44	   45	   46	   47	   48	   49	   50	   51	   52	   53	   54	   55	   56	   57	   58	   59	   60	   61	   62	   63	   64	   65	   66	   67	   68	   69	   70	   71	   72	   73	   74	   75	   76	   77	   78	   79	   80	   81	   82	   83	   84	   85	   86	   87	   88	   89	   90	   91	   92	   93	   94	   95	   96	   97	   98	   99	  100	  101	  102	  103	  104	  105	  106	  107	  108	  109	  110	  111	  112	  113	  114	  115	  116	  117	  118	  119	  120	  121	  122	  123	  124	  125	  126	  127	  128	  129	  130	  131	  132	  133	  134	  135	  136	  137	  138	  139	  140	  141	  142	  143	  144	  145	  146	  147	  148	  149	  150	  151	  152	  153	  154	  155	  156	  157	  158	  159	  160	  161	  162	  163	  164	  165	  166	  167	  168	  169	  170	  171	  172	  173	  174	  175	  176	  177	  178	  179	  180	:=
    1	141.750000	135.010000	122.000000	121.400000	111.500000	115.790000	135.000000	150.000000	152.280000	140.800000	121.000000	108.950000	103.500000	103.190000	108.500000	119.810000	137.100000	150.400000	158.240000	154.120000	153.000000	148.580000	140.600000	140.010000	7.160000	47.277500	92.105400	89.794800	81.617300	83.093900	13.348700	45.807700	150.783000	20.354400	193.103000	191.717000	168.460000	170.475000	179.863000	347.572000	181.948000	483.382000	167.978000	45.656600	147.875000	24.186800	0.000000	0.000000	135.610000	106.805000	103.787000	101.247000	96.257900	95.158700	105.440000	145.430000	152.236000	151.470000	151.047000	126.383000	111.819000	107.582000	92.373100	85.020900	132.929000	145.951000	174.947000	167.288000	203.799000	225.900000	176.178000	168.008000	139.750000	124.990000	131.229000	132.125000	121.575000	113.884000	106.635000	119.565000	117.409000	105.105000	111.179000	115.637000	101.659000	95.110700	79.186600	85.934800	91.675600	95.447200	86.477900	96.001900	105.717000	106.999000	103.654000	97.296300	0.051000	0.000000	0.000000	0.000000	0.237438	0.000000	0.308466	0.000000	0.353289	0.000000	0.398707	0.000000	0.461480	0.000000	0.533379	0.100500	0.521227	0.832100	0.473872	0.497600	106.040000	51.805100	52.197300	66.217600	73.509400	90.963800	96.040500	133.930000	157.171000	149.132000	126.473000	123.032000	0.415202	0.305400	0.331933	0.419300	0.252800	0.528200	0.199440	0.452700	0.195295	0.398500	0.198521	0.229200	0.162846	0.013200	0.020926	0.000000	0.118904	0.000000	0.199521	0.000000	0.237720	0.000000	0.249935	0.000000	0.231502	0.000000	0.211419	0.000000	0.706878	1.294280	1.804340	3.978550	4.951450	25.085700	4.027130	1.319920	0.272022	0.000000	114.233000	0.000000	0.000000	6140.860000	422.499000	349.293000	159.473000	10.724800	59.518300	0.000000	0.165175	1.780680	1.059340	2.101460	
    2	141.750000	135.010000	122.000000	121.400000	111.500000	115.790000	135.000000	150.000000	152.280000	140.800000	121.000000	108.950000	103.500000	103.190000	108.500000	119.810000	137.100000	150.400000	158.240000	154.120000	153.000000	148.580000	140.600000	140.010000	7.160000	33.626400	73.704900	74.840300	59.422300	69.946500	1.167580	73.405700	145.223000	0.000000	184.145000	198.467000	170.943000	167.963000	167.943000	344.941000	168.173000	495.556000	173.918000	56.577800	135.953000	27.099400	0.000000	0.000000	135.610000	109.830000	101.678000	97.668300	104.407000	100.308000	105.978000	141.358000	157.766000	151.027000	157.937000	124.187000	117.298000	104.927000	109.421000	116.183000	157.818000	175.172000	186.474000	185.848000	198.754000	205.754000	170.877000	158.235000	139.750000	116.861000	128.978000	123.855000	116.425000	100.697000	115.514000	119.710000	118.376000	103.505000	111.667000	121.916000	110.893000	98.393500	106.083000	107.247000	122.622000	123.916000	111.066000	129.157000	139.709000	139.586000	125.592000	109.604000	0.051000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.012268	0.000000	0.062932	0.000000	0.125686	0.000000	0.159093	0.079600	0.123485	0.729700	0.104292	0.863200	106.040000	87.613700	99.306800	87.313400	107.827000	132.060000	142.131000	153.191000	150.086000	155.549000	138.858000	132.823000	0.074999	0.568900	0.000000	0.534200	0.000000	0.601700	0.000000	0.574700	0.260050	0.568600	0.241030	0.548700	0.219437	0.019200	0.217881	0.000000	0.257913	0.000000	0.315174	0.000000	0.364928	0.000000	0.387806	0.000000	0.382697	0.000000	0.360426	0.000000	0.706878	0.762574	1.316770	4.479000	5.954730	25.293600	3.003110	0.866437	0.362114	2.080510	142.986000	11.639700	11.126400	6077.160000	413.659000	330.867000	170.359000	11.592600	80.113200	0.000000	0.514947	1.956130	1.184870	2.043990	
    3	141.750000	135.010000	122.000000	121.400000	111.500000	115.790000	135.000000	150.000000	152.280000	140.800000	121.000000	108.950000	103.500000	103.190000	108.500000	119.810000	137.100000	150.400000	158.240000	154.120000	153.000000	148.580000	140.600000	140.010000	7.160000	49.897400	85.879300	85.784000	72.404800	76.860000	2.705750	71.707000	162.543000	0.000000	165.775000	199.755000	164.851000	162.005000	161.367000	334.860000	145.783000	459.932000	157.270000	53.919000	124.810000	27.791900	8.117200	4.586170	135.610000	106.471000	104.747000	95.286600	92.733200	78.940000	99.887300	133.429000	138.727000	123.306000	127.606000	110.373000	98.123900	86.155400	54.645700	66.155000	123.343000	151.449000	174.219000	166.256000	178.747000	177.578000	168.822000	134.928000	139.750000	118.992000	119.665000	115.169000	111.596000	88.296400	113.683000	128.325000	128.167000	116.404000	134.316000	116.411000	112.683000	92.597000	67.954300	72.667400	101.937000	117.912000	114.604000	125.166000	138.437000	129.518000	137.600000	113.900000	0.051000	0.000000	0.007776	0.000000	0.005998	0.000000	0.045172	0.000000	0.060537	0.000000	0.192757	0.000000	0.263726	0.000000	0.307490	0.016300	0.343198	0.120000	0.370185	0.236400	106.040000	78.212100	77.192200	88.042700	93.548600	110.707000	136.495000	142.549000	161.948000	154.960000	133.670000	127.648000	0.352666	0.476600	0.307486	0.555900	0.273358	0.624600	0.237361	0.335600	0.199611	0.670100	0.157371	0.316600	0.124016	0.031400	0.106160	0.000000	0.132784	0.000000	0.179548	0.000000	0.257970	0.000000	0.307281	0.000000	0.320804	0.000000	0.310448	0.000000	0.706878	1.083170	2.366350	4.889520	5.861110	22.955900	3.369810	0.902667	0.013646	1.501960	125.047000	0.000000	0.000000	6153.910000	419.115000	336.689000	171.156000	11.634000	45.640100	0.091276	0.621703	1.797670	0.912091	1.680010	
    4	141.750000	135.010000	122.000000	121.400000	111.500000	115.790000	135.000000	150.000000	152.280000	140.800000	121.000000	108.950000	103.500000	103.190000	108.500000	119.810000	137.100000	150.400000	158.240000	154.120000	153.000000	148.580000	140.600000	140.010000	7.160000	33.626400	73.704900	74.840300	59.422300	69.946500	1.167580	73.405700	145.223000	0.000000	184.145000	198.467000	170.943000	167.963000	167.943000	344.941000	168.173000	495.556000	173.918000	56.577800	135.953000	27.099400	0.000000	0.000000	135.610000	97.993000	93.986800	89.797200	87.896700	86.050100	93.089800	123.326000	130.891000	139.243000	158.490000	127.124000	119.328000	109.246000	92.805500	97.488000	136.177000	155.375000	165.736000	161.289000	171.276000	190.752000	161.014000	152.073000	139.750000	102.966000	102.619000	108.390000	103.008000	95.905800	117.115000	129.014000	121.833000	123.834000	125.929000	121.382000	114.607000	105.655000	97.289600	103.440000	109.045000	109.631000	96.518400	111.969000	116.491000	123.908000	111.004000	103.930000	0.051000	0.000000	0.030644	0.000000	0.051411	0.000000	0.114006	0.000000	0.138399	0.000000	0.175259	0.000000	0.227292	0.000000	0.252495	0.029500	0.252320	0.498100	0.235191	1.163300	106.040000	15.994500	13.640000	40.146300	49.884300	72.418600	79.632600	126.680000	148.121000	140.760000	133.618000	132.823000	0.194834	1.298400	0.123727	0.830400	0.059377	0.754000	0.017150	0.813400	0.003467	0.586000	0.014320	0.191300	0.047457	0.021600	0.132924	0.000000	0.249421	0.000000	0.309265	0.000000	0.358697	0.000000	0.378030	0.000000	0.354013	0.000000	0.315991	0.000000	0.706878	1.418560	2.212010	4.981020	6.368800	25.671200	4.284290	1.046120	0.418767	0.686480	120.965000	0.000000	0.000000	6172.630000	428.985000	343.805000	161.809000	11.649800	54.509400	0.000000	0.532246	1.915450	1.030910	1.891670	
    5	141.750000	135.010000	122.000000	121.400000	111.500000	115.790000	135.000000	150.000000	152.280000	140.800000	121.000000	108.950000	103.500000	103.190000	108.500000	119.810000	137.100000	150.400000	158.240000	154.120000	153.000000	148.580000	140.600000	140.010000	7.160000	51.172200	89.122800	88.165400	73.208000	79.201400	4.653120	62.094900	126.244000	0.000000	178.474000	186.024000	161.302000	163.660000	164.920000	346.008000	161.261000	474.688000	160.880000	54.497800	130.430000	28.230100	1.238260	0.000000	135.610000	111.794000	101.955000	100.289000	93.489800	91.148600	94.644900	121.168000	140.924000	137.013000	148.409000	109.695000	100.765000	94.141400	57.724800	60.644900	105.913000	155.365000	157.748000	164.957000	160.812000	186.774000	165.311000	153.408000	139.750000	104.206000	109.420000	111.819000	108.665000	94.329200	116.453000	129.048000	122.041000	107.635000	125.004000	122.103000	112.659000	111.321000	90.168400	97.380400	110.965000	113.096000	102.335000	116.151000	122.603000	113.289000	114.450000	102.065000	0.051000	0.000000	0.026316	0.000000	0.018722	0.000000	0.071867	0.000000	0.088498	0.000000	0.138483	0.000000	0.199741	0.000000	0.226886	0.032700	0.218930	0.342200	0.281751	0.353200	106.040000	92.633200	67.421900	77.907900	88.306000	115.863000	134.580000	137.996000	163.161000	156.799000	134.071000	131.986000	0.212953	0.686600	0.127729	0.394100	0.009487	0.590000	0.002447	0.758600	0.052814	0.460000	0.012409	0.168500	0.055872	0.008200	0.097645	0.000000	0.151850	0.000000	0.203422	0.000000	0.260003	0.000000	0.272479	0.000000	0.322630	0.000000	0.356511	0.000000	0.706878	1.144070	1.784820	5.352300	6.982290	25.893200	3.858700	1.054730	0.061546	0.676259	128.952000	0.000000	0.000000	5986.000000	422.228000	337.255000	152.548000	11.079800	46.188700	0.644243	0.612608	2.110270	1.100750	2.071960	
