#erel:= 0.800;
#emax:= 1372.081;
#q:= 0.000;
#nesce:=    58;
#etime:= 1.237;
#snodes:=  1323;
param nS:=   100;
param nSG:=    30;
param nRVSG :=
 1 24    4 24    7  2   10  2   13  2   16  2   19  2   22  2   25  2   28  2
 2 24    5  2    8  2   11  2   14  2   17  2   20  2   23  2   26  2   29  2
 3 24    6  2    9  2   12  2   15 12   18  2   21  2   24  2   27  2   30 24
;

param ScenF :=
  1   88.7524       46   43.2057       91  149.49        136    0.6246
  2   93.8624       47   56.9972       92  139.81        137    0
  3   80.0366       48   35.7129       93  124.46        138    0.5026
  4   76.1832       49  111.386        94  108.887       139    0
  5   81.0482       50  115.665        95  100.844       140    0.3022
  6   86.6158       51  109.077        96   92.1449      141    0.0159156
  7   93.5348       52  103.891        97    0           142    0.0259
  8  120.258        53  100.799        98    0           143    0.0677571
  9  140.763        54   94.3709       99    0           144    0
 10  147.129        55  100.723       100    0           145    0.123941
 11  138.604        56  123.48        101    0           146    0
 12  109.236        57  143.229       102    0           147    0.138645
 13  101.802        58  143.892       103    0           148    0
 14  102.823        59  143.098       104    0           149    0.103846
 15  105.566        60  116.718       105    0           150    0
 16  106.618        61  115.191       106    0           151    0.0447128
 17  124.743        62  118.985       107    0.0445893   152    0
 18  163.497        63  116.95        108    0           153    0
 19  193.756        64  120.321       109    0.0888656   154    0
 20  180.615        65  151.296       110    0           155    0
 21  171.406        66  180.599       111    0.115262    156    0
 22  174.924        67  181.519       112    0.0509      157    0
 23  147.293        68  157.648       113    0.126834    158    0
 24  132.445        69  157.249       114    0.2953      159    0
 25    0            70  144.668       115    0.129099    160    0
 26    0            71  117.005       116    0.5093      161    0
 27   16.2928       72  101.421       117   96.052       162   22.7373
 28   31.3947       73   80.5184      118   94.9008      163    6.66816
 29   26.4954       74   96.1573      119   85.5734      164    2.90307
 30   20.507        75  100.145       120   89.3693      165    1.17651
 31   23.0313       76   92.2497      121   91.2723      166   20.9045
 32   25.2679       77   71.2752      122  138.738       167   52.6332
 33    0            78   71.6931      123  149.123       168    0
 34    0            79  100.889       124  164.158       169    0
 35  158.472        80  100.064       125  155.415       170 4029.91
 36  172.983        81  122.724       126  144.766       171    0
 37  162.795        82  109.37        127  122.394       172  386.448
 38  147.189        83  127.378       128  114.878       173   71.6723
 39  138.03         84  126.065       129    0.116798    174    0
