#erel:= 0.800;
#emax:= 1371.401;
#q:= 0.000;
#nesce:=    69;
#etime:= 1.303;
#snodes:=  1163;
param nS:=   100;
param nSG:=    30;
param nRVSG :=
 1 24    4 24    7  2   10  2   13  2   16  2   19  2   22  2   25  2   28  2
 2 24    5  2    8  2   11  2   14  2   17  2   20  2   23  2   26  2   29  2
 3 24    6  2    9  2   12  2   15 12   18  2   21  2   24  2   27  2   30 24
;

param ScenF :=
  1   9.04476     46   9.93342     91 111.043      136   0.4586
  2   1.48375     47  13.1836      92 118.337      137   1.04363
  3   0           48  62.0208      93 134.985      138   0.4015
  4   0           49  22.8511      94 127.981      139   1.00436
  5   0           50  17.5431      95 103.2        140   0.2342
  6   0           51  12.0844      96  94.9986     141   0.909277
  7   0           52   6.36008     97   0.763111   142   0.0118
  8  19.3845      53   0           98   0          143   0.80217
  9  28.1191      54   0           99   0.770527   144   0
 10   2.8313      55   4.92022    100   0          145   0.709514
 11   0           56  21.4067     101   0.771032   146   0
 12   0           57  31.9451     102   0          147   0.680902
 13   0           58  35.0655     103   0.754165   148   0
 14   0           59  20.8392     104   0          149   0.68976
 15   0           60   1.00206    105   0.761382   150   0
 16   0           61   0          106   0          151   0.703347
 17   0           62   1.25132    107   0.797196   152   0
 18  11.6974      63   9.9161     108   0          153   0.697618
 19  44.9926      64  11.6633     109   0.841522   154   0
 20  61.1846      65  13.2056     110   0          155   0.637496
 21  87.082       66  54.6321     111   0.877518   156   0
 22  79.1171      67  80.5007     112   0.0155     157   0
 23  58.849       68  79.8125     113   0.895321   158   0.561568
 24  48.6497      69  93.7676     114   0.1164     159   0
 25  52.058       70  85.5839     115   0.880386   160  13.2427
 26  73.6236      71  73.3221     116   0.2463     161  10.0701
 27  86.1205      72  62.7299     117   0          162   0
 28  92.6754      73  28.5334     118   0          163   1.51298
 29 108.754       74  30.8324     119   0          164   8.36624
 30 113.542       75  37.9069     120   2.19674    165   8.9187
 31  70.4297      76  30.985      121   4.24712    166   1.52542
 32  85.9076      77  17.4245     122  35.3873     167   0
 33 256.82        78  31.2907     123  62.4649     168   0
 34 439.205       79  41.1896     124  84.2262     169  56.4308
 35  59.8658      80  49.5048     125  73.4195     170   0
 36   0           81  69.3951     126  73.1348     171 203.535
 37   0           82  43.5333     127  70.2462     172 190.31
 38   0           83  40.1031     128  66.2678     173   0
 39   0           84  20.9305     129   0.892679   174  23.6671
 40  13.5602      85   8.8707     130   0.4554     175   0
 41 138.477       86  11.2726     131   0.947871   176   6.45986
 42 128.164       87  20.3289     132   0.4891     177   2.71696
 43  30.4568      88  37.7759     133   0.997491   178   5.01931
 44  40.9591      89  57.0475     134   0.4712     179   7.88954
 45   5.25968     90  87.2618     135   1.0296     180   6.83093
;

param ScenO :=
  1   18.64        46   31.72        91   79.97       136    0.518
  2   13.9         47   35.6         92   77.5        137    0.991
  3    8.19        48   23.16        93   76.4        138    0.389
  4    3.6         49   16.41        94   78.7        139    0.986
  5    3.32        50   10.9         95   71.5        140    0.199
  6    3.32        51    0           96   56.05       141    0.979
  7    3.32        52   -5.4         97    0.987      142    0.008
  8    5           53   -0.71        98    0          143    0.973
  9    5           54   -0.71        99    0.99       144    0
 10    3.32        55   -0.71       100    0          145    0.967
 11    3.04        56   -0.5        101    0.991      146    0
 12    0.44        57   -0.71       102    0          147    0.956
 13    0.44        58   -1.01       103    0.991      148    0
 14    0.44        59   -0.71       104    0          149    0.946
 15    0.44        60   -0.71       105    0.99       150    0
 16    0.44        61   -0.56       106    0          151    0.941
 17    3.32        62    0          107    0.988      152    0
 18   41.24        63   -0.06       108    0          153    0.938
 19   74.97        64   -0.71       109    0.98       154    0
 20   72.5         65    0          110    0          155    0.937
 21   71.68        66   41.24       111    0.973      156    0
 22   72.4         67   76.77       112    0.014      157   10.4732
 23   68.5         68   74.3        113    0.97       158    0.422302
 24   55.06        69   75.68       114    0.17       159    0.506716
 25   60           70   75.7        115    0.98       160    0.019444
 26   60           71   73.5        116    0.37       161   -1.05422
 27   60           72   55.06       117   -4.56       162    0.003012
 28   60           73   63.08       118   -7.06       163   -0.180723
 29   60           74   14          119   -9.56       164   -0.068
 30   60           75    3.32       120   -5          165   19.684
 31   60           76    0          121  -10.12       166    0.069277
 32   60           77    0          122   38.24       167  -12.4967
 33  170           78    0          123   79.5        168 -141.659
 34  124.04        79    0          124   82          169 -116.864
 35    5.56        80    7.44       125   76          170 -112.068
 36    5           81    0          126   80          171  -88
 37    4.68        82   -0.18       127   72          172 -109.295
 38    5           83    0          128   61.7        173   -7.88554
 39    5           84    0          129    0.989      174    6.47187
 40    7.08        85    0.43       130    0.536      175    5.28758
 41   95.8         86    0.44       131    0.991      176    5.98745
 42  104.88        87    0.44       132    0.612      177    6.0685
 43   44           88    3.32       133    0.991      178    5.26492
 44   44           89    3.32       134    0.598      179    6.60891
 45   36.08        90   46.24       135    0.991      180    3.07065
;

param Scen0 (tr)
 :    1	    2	    3	    4	    5	    6	    7	    8	    9	   10	   11	   12	   13	   14	   15	   16	   17	   18	   19	   20	   21	   22	   23	   24	   25	   26	   27	   28	   29	   30	   31	   32	   33	   34	   35	   36	   37	   38	   39	   40	   41	   42	   43	   44	   45	   46	   47	   48	   49	   50	   51	   52	   53	   54	   55	   56	   57	   58	   59	   60	   61	   62	   63	   64	   65	   66	   67	   68	   69	   70	   71	   72	   73	   74	   75	   76	   77	   78	   79	   80	   81	   82	   83	   84	   85	   86	   87	   88	   89	   90	   91	   92	   93	   94	   95	   96	   97	   98	   99	  100	  101	  102	  103	  104	  105	  106	  107	  108	  109	  110	  111	  112	  113	  114	  115	  116	  117	  118	  119	  120	  121	  122	  123	  124	  125	  126	  127	  128	  129	  130	  131	  132	  133	  134	  135	  136	  137	  138	  139	  140	  141	  142	  143	  144	  145	  146	  147	  148	  149	  150	  151	  152	  153	  154	  155	  156	  157	  158	  159	  160	  161	  162	  163	  164	  165	  166	  167	  168	  169	  170	  171	  172	  173	  174	  175	  176	  177	  178	  179	  180	:=
    1	18.640000	13.900000	8.190000	3.600000	3.320000	3.320000	3.320000	5.000000	5.000000	3.320000	3.040000	0.440000	0.440000	0.440000	0.440000	0.440000	3.320000	41.240000	74.970000	72.500000	71.680000	72.400000	68.500000	55.060000	60.000000	78.231700	83.863800	91.162000	111.059000	111.381000	62.468200	64.675300	248.995000	461.764000	58.991500	0.000000	0.000000	0.000000	1.081480	0.315483	127.341000	111.389000	49.105300	117.107000	0.000000	0.000000	9.203640	59.415400	16.410000	12.115100	6.517280	0.000000	0.000000	0.000000	0.000000	21.217200	31.800400	30.226200	18.485100	0.000000	0.000000	0.000000	0.745256	6.698470	1.819560	43.546800	85.458000	86.091000	83.659100	86.682500	62.545100	55.825700	63.080000	29.819900	34.278400	33.498700	23.886600	35.187300	45.731800	69.181000	87.586000	64.067000	72.617800	42.426400	45.921200	37.686600	51.006700	66.760500	76.420000	77.994300	103.143000	119.424000	115.023000	112.452000	83.401800	82.622100	0.987000	0.000000	0.918526	0.000000	1.015990	0.000000	1.039380	0.000000	1.071780	0.000000	1.112100	0.000000	1.165410	0.000000	1.229630	0.020100	1.205270	0.158800	1.142460	0.404000	-4.560000	0.000000	0.000000	0.000000	0.000000	18.199900	38.993000	67.698800	41.481100	57.863900	58.620500	51.989200	1.130330	0.597900	1.161430	0.518600	1.189170	0.491600	1.211600	0.569900	1.247130	0.526400	1.223690	0.282900	1.094830	0.013800	0.987751	0.000000	0.866052	0.000000	0.797446	0.000000	0.792787	0.000000	0.792188	0.000000	0.781912	0.000000	0.721471	0.000000	10.473200	0.823551	0.253393	13.251500	10.913200	0.750314	1.476950	8.605590	8.547450	1.425590	30.429800	8.243780	60.021500	85.511000	178.649000	178.661000	8.454160	22.429600	0.002277	6.250200	2.824520	5.167840	7.765550	6.825240	
    2	18.640000	13.900000	8.190000	3.600000	3.320000	3.320000	3.320000	5.000000	5.000000	3.320000	3.040000	0.440000	0.440000	0.440000	0.440000	0.440000	3.320000	41.240000	74.970000	72.500000	71.680000	72.400000	68.500000	55.060000	60.000000	63.797000	78.131400	82.532500	105.103000	107.167000	62.216400	63.634300	236.570000	421.504000	73.267000	0.000000	0.000000	0.000000	0.000000	23.862100	139.806000	127.802000	45.299600	83.703100	17.509500	20.382100	16.994600	79.958200	16.410000	23.443300	16.225100	12.996500	13.411700	10.409700	10.846700	33.594600	47.238800	41.677000	32.942500	0.105016	2.372550	3.749720	20.044100	30.469700	31.093200	48.997900	80.287900	97.994600	108.480000	104.018000	89.490800	79.888400	63.080000	33.870400	45.798400	37.638300	28.155600	33.638900	40.772200	58.464200	65.225300	40.436200	45.180600	17.689300	10.474200	6.571100	38.626000	58.447900	72.453200	96.047400	117.525000	139.849000	157.604000	155.293000	127.651000	118.196000	0.987000	0.000000	0.667605	0.000000	0.653139	0.000000	0.655284	0.000000	0.682844	0.000000	0.722192	0.000000	0.776323	0.000000	0.808499	0.019100	0.770305	0.092800	0.740459	0.131400	-4.560000	32.552600	44.502800	19.809000	43.803400	68.333700	83.484800	89.050000	62.596500	70.106700	71.394000	50.038500	0.753892	0.379900	0.770353	0.422400	0.791536	0.414200	0.816794	0.491800	0.728308	0.417400	0.714291	0.294400	0.646770	0.024000	0.565560	0.000000	0.484323	0.000000	0.447200	0.000000	0.446755	0.000000	0.468741	0.000000	0.493257	0.000000	0.463931	0.000000	10.473200	0.000000	0.000000	12.260900	8.734920	1.768390	0.000000	8.191390	8.630500	2.200640	40.340100	8.022960	70.533900	146.473000	169.145000	177.726000	23.858800	23.270300	15.624500	6.170180	3.017730	5.279300	8.065110	7.037890	
    3	18.640000	13.900000	8.190000	3.600000	3.320000	3.320000	3.320000	5.000000	5.000000	3.320000	3.040000	0.440000	0.440000	0.440000	0.440000	0.440000	3.320000	41.240000	74.970000	72.500000	71.680000	72.400000	68.500000	55.060000	60.000000	63.797000	78.131400	82.532500	105.103000	107.167000	62.216400	63.634300	236.570000	421.504000	73.267000	0.000000	0.000000	0.000000	0.000000	23.862100	139.806000	127.802000	45.299600	83.703100	17.509500	20.382100	16.994600	79.958200	16.410000	21.625600	21.192500	11.921100	3.773720	0.000000	4.875110	24.137200	35.225200	44.576000	28.593200	12.080900	7.943870	17.318900	22.171400	23.272200	29.042200	55.413400	73.997700	94.032300	105.081000	106.492000	74.289900	66.941400	63.080000	31.195500	29.412800	23.166700	20.384500	42.877600	50.576100	69.770800	84.891400	65.721200	72.473100	47.788100	36.910200	43.675600	54.283200	62.579900	79.564900	109.350000	127.576000	146.432000	155.225000	160.151000	118.967000	112.155000	0.987000	0.000000	0.777936	0.000000	0.772770	0.000000	0.764529	0.000000	0.765582	0.000000	0.574861	0.000000	0.617074	0.000000	0.661835	0.011400	0.708598	0.120200	0.736397	0.207200	-4.560000	5.266830	4.733070	3.155350	8.614300	35.619800	69.905300	80.644900	92.849900	92.329700	80.369600	67.872400	0.772592	0.440000	0.843761	0.415400	0.920960	0.452200	0.983618	0.484600	1.021860	0.400400	0.986926	0.141900	0.880592	0.010000	0.780646	0.000000	0.715220	0.000000	0.691473	0.000000	0.690572	0.000000	0.698264	0.000000	0.691067	0.000000	0.634843	0.000000	10.473200	0.000000	0.000000	12.928900	9.597020	0.000000	1.529760	9.051150	9.273090	1.917270	0.000000	3.358350	54.649200	77.697300	169.936000	165.238000	33.551900	23.282300	34.866100	6.127520	2.891080	5.128640	8.196380	7.191820	
    4	18.640000	13.900000	8.190000	3.600000	3.320000	3.320000	3.320000	5.000000	5.000000	3.320000	3.040000	0.440000	0.440000	0.440000	0.440000	0.440000	3.320000	41.240000	74.970000	72.500000	71.680000	72.400000	68.500000	55.060000	60.000000	63.797000	78.131400	82.532500	105.103000	107.167000	62.216400	63.634300	236.570000	421.504000	73.267000	0.000000	0.000000	0.000000	0.000000	23.862100	139.806000	127.802000	45.299600	83.703100	17.509500	20.382100	16.994600	79.958200	16.410000	10.840200	8.347260	0.000000	0.000000	2.787100	5.814270	17.372600	30.622900	36.317700	26.704300	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	29.188200	70.204000	80.609800	80.700800	71.366800	58.660100	45.401900	63.080000	34.540800	40.236000	33.273000	25.702200	23.875900	35.797500	55.593500	73.318300	42.422600	42.301300	8.458840	1.063550	0.000000	1.764860	17.060600	28.125200	47.090000	84.242500	105.370000	115.208000	103.222000	76.058400	65.024100	0.987000	0.000000	0.705661	0.000000	0.716413	0.000000	0.718377	0.000000	0.747849	0.000000	0.795202	0.000000	0.831894	0.000000	0.875880	0.008500	0.848123	0.111300	0.855669	0.345400	-4.560000	0.000000	0.000000	0.000000	0.000000	13.696100	60.020200	76.940500	59.520600	50.242300	57.258100	40.891800	0.867335	0.376400	0.885748	0.421400	0.910611	0.397300	0.943751	0.324300	0.981483	0.314600	0.971031	0.141700	0.910726	0.006200	0.842515	0.000000	0.736877	0.000000	0.663080	0.000000	0.641946	0.000000	0.685942	0.000000	0.766525	0.000000	0.818043	0.000000	10.473200	0.000000	0.000000	12.393500	8.839900	0.000000	1.269770	8.398060	8.743820	2.054060	19.328700	42.247200	84.078500	0.000000	227.510000	187.393000	11.008000	33.459800	1.478270	8.557060	5.555450	5.072560	7.714660	6.535830	
