#erel:= 0.800;
#emax:= 1511.084;
#q:= 0.000;
#nesce:=    66;
#etime:= 1.215;
#snodes:=  1501;
param nS:=   100;
param nSG:=    30;
param nRVSG :=
 1 24    4 24    7  2   10  2   13  2   16  2   19  2   22  2   25  2   28  2
 2 24    5  2    8  2   11  2   14  2   17  2   20  2   23  2   26  2   29  2
 3 24    6  2    9  2   12  2   15 12   18  2   21  2   24  2   27  2   30 24
;

param ScenF :=
  1 131.04        46  18.2204      91 144.688      136   0.6053
  2 140.594       47  17.5772      92 134.909      137   0.19314
  3 133.778       48  29.5912      93 137.766      138   0.482
  4 130.063       49 102.103       94 138.481      139   0.232019
  5 130.139       50 102.815       95 123.447      140   0.265
  6 129.758       51  95.8548      96 112.19       141   0.290289
  7 134.05        52  90.5637      97   0.228848   142   0.0102
  8 153.9         53  89.0974      98   0          143   0.354031
  9 162.825       54  89.8962      99   0.245283   144   0
 10 139.28        55 106.676      100   0          145   0.426755
 11 121.734       56 135.052      101   0.259365   146   0
 12 101.706       57 143.516      102   0          147   0.499101
 13  86.4571      58 122.834      103   0.263024   148   0
 14  72.9248      59 108.416      104   0          149   0.546249
 15  64.0248      60  95.4801     105   0.283111   150   0
 16  65.9203      61  82.5673     106   0          151   0.5571
 17 103.127       62  77.0699     107   0.315079   152   0
 18 126.941       63  74.0468     108   0          153   0.522813
 19 127.044       64  78.6325     109   0.325627   154   0
 20 129.077       65 115.213      110   0          155   0.46896
 21 137.056       66 142.08       111   0.302048   156   0
 22 141.646       67 139.153      112   0.0205     157   1.34122
 23 132.263       68 138.769      113   0.233094   158   5.17183
 24 120.91        69 164.336      114   0.2289     159   3.32405
 25  26.1946      70 162.383      115   0.162995   160   0
 26  29.5556      71 149.856      116   0.4547     161   0
 27  24.734       72 135.774      117  96.9086     162  16.7109
 28  24.7791      73  68.7645     118  96.0934     163  11.1247
 29  22.1748      74  97.9036     119  81.3203     164   5.97083
 30  26.4144      75  95.5216     120 102.366      165   6.5304
 31  15.4379      76  89.516      121 122.305      166   3.41617
 32  29.4969      77  90.9228     122 153.488      167  22.1677
 33  85.6835      78  93.2389     123 160.524      168  63.8315
 34 135.939       79 100.289      124 157.392      169 122.865
 35  46.2571      80 108.995      125 173.019      170   0
 36  34.4383      81 140.262      126 191.6        171   0
 37  34.3444      82 119.448      127 162.769      172   0
 38  36.4851      83 118.668      128 151.605      173   0
 39  33.0433      84 101.999      129   0.119299   174   6.78064
 40  50.8065      85  90.3573     130   0.6188     175 206.06
 41 110.39        86  86.974      131   0.120366   176   2.98557
 42 177.573       87  79.5774     132   0.6767     177   2.77772
 43  38.0826      88  93.2584     133   0.142623   178   3.88296
 44   0           89 129.001      134   0.6689     179   6.58582
 45   1.99175     90 147.76       135   0.162429   180   7.54456
;

param ScenO :=
  1 110           46   8.96        91 151.43       136   0.636
  2 103.51        47  10           92 160.25       137   0.126
  3 101.2         48  15.44        93 163.74       138   0.501
  4 100.63        49 103.69        94 152.94       139   0.107
  5 100.14        50 102.84        95 132.5        140   0.282
  6  99.14        51 102.21        96 111.38       141   0.115
  7 110.9         52 101.7         97   0.272      142   0.012
  8 131.15        53 100.24        98   0          143   0.14
  9 141.04        54  99.24        99   0.251      144   0
 10 135.22        55 111          100   0          145   0.176
 11 111.6         56 134.15       101   0.237      146   0
 12  97.14        57 146.28       102   0          147   0.215
 13  95.19        58 135.97       103   0.241      148   0
 14  96.43        59 114.1        104   0          149   0.236
 15  96.89        60  97.14       105   0.259      150   0
 16 101.83        61 100.19       106   0          151   0.233
 17 121.5         62 100.01       107   0.275      152   0
 18 137.8         63  98.88       108   0          153   0.222
 19 163.43        64 101.83       109   0.283      154   0
 20 165.23        65 121.5        110   0          155   0.205
 21 166.89        66 139.81       111   0.288      156   0
 22 152.94        67 167          112   0.029      157   4.69009
 23 135.5         68 175.29       113   0.242      158   0.018356
 24 125.38        69 173.74       114   0.256      159   4.35959
 25  41.48        70 160          115   0.164      160   4.50412
 26  42.6         71 140.39       116   0.459      161   4.72019
 27  43.84        72 131.58       117  92.19       162   5.0808
 28  50.6         73 104.7        118  96.43       163   4.35717
 29  60           74 103.51       119  96.89       164   3.24064
 30  51           75 104.2        120  93.61       165   3.38712
 31  60           76 103.22       121 118.18       166   2.72963
 32  82.56        77 101.24       122 131.11       167   0.292204
 33  67.84        78 101.04       123 153.43       168   3.45429
 34  64.96        79 104.7        124 160.23       169   7.73043
 35  34.88        80 122.68       125 165          170   5.29648
 36  30.96        81 161.04       126 152.94       171   4.807
 37  29.4         82 135.22       127 135.5        172   4.2459
 38  29.32        83 104.7        128 110.54       173   5.05391
 39  28.68        84  97.14       129   0.102      174   3.93215
 40  33.72        85  97          130   0.604      175   3.00863
 41  60           86  98.33       131   0.087      176   3.81069
 42  50.6         87  98.29       132   0.686      177   3.68404
 43  15           88 101.66       133   0.1        178   3.68236
 44   8           89 121.33       134   0.705      179   3.46236
 45   8           90 123.8        135   0.12       180   3.92287
;

param Scen0 (tr)
 :    1	    2	    3	    4	    5	    6	    7	    8	    9	   10	   11	   12	   13	   14	   15	   16	   17	   18	   19	   20	   21	   22	   23	   24	   25	   26	   27	   28	   29	   30	   31	   32	   33	   34	   35	   36	   37	   38	   39	   40	   41	   42	   43	   44	   45	   46	   47	   48	   49	   50	   51	   52	   53	   54	   55	   56	   57	   58	   59	   60	   61	   62	   63	   64	   65	   66	   67	   68	   69	   70	   71	   72	   73	   74	   75	   76	   77	   78	   79	   80	   81	   82	   83	   84	   85	   86	   87	   88	   89	   90	   91	   92	   93	   94	   95	   96	   97	   98	   99	  100	  101	  102	  103	  104	  105	  106	  107	  108	  109	  110	  111	  112	  113	  114	  115	  116	  117	  118	  119	  120	  121	  122	  123	  124	  125	  126	  127	  128	  129	  130	  131	  132	  133	  134	  135	  136	  137	  138	  139	  140	  141	  142	  143	  144	  145	  146	  147	  148	  149	  150	  151	  152	  153	  154	  155	  156	  157	  158	  159	  160	  161	  162	  163	  164	  165	  166	  167	  168	  169	  170	  171	  172	  173	  174	  175	  176	  177	  178	  179	  180	:=
    1	110.000000	103.510000	101.200000	100.630000	100.140000	99.140000	110.900000	131.150000	141.040000	135.220000	111.600000	97.140000	95.190000	96.430000	96.890000	101.830000	121.500000	137.800000	163.430000	165.230000	166.890000	152.940000	135.500000	125.380000	41.480000	36.566600	25.364500	26.680300	28.443300	27.346100	8.452100	7.955610	81.545800	176.397000	48.890200	28.370600	31.650100	36.021700	33.991400	40.086900	102.641000	162.098000	64.636200	21.098300	0.000000	14.042800	13.283600	29.086300	103.690000	95.878300	93.195000	89.568600	86.192500	93.380000	112.980000	139.494000	142.792000	126.709000	100.941000	86.282600	72.953400	63.586800	58.585500	65.294100	96.291800	122.924000	163.641000	164.270000	169.604000	154.253000	157.668000	148.796000	104.700000	96.945000	91.764100	87.912900	96.844500	101.564000	104.040000	126.142000	134.174000	133.171000	121.771000	100.568000	96.205900	91.918900	84.585900	102.892000	138.445000	134.416000	148.636000	135.470000	133.399000	117.768000	111.054000	100.102000	0.272000	0.000000	0.270571	0.000000	0.274242	0.000000	0.308476	0.000000	0.329730	0.000000	0.304067	0.000000	0.321678	0.000000	0.290235	0.013000	0.209058	0.250900	0.131853	0.395400	92.190000	79.687400	66.783300	85.477000	113.979000	134.757000	168.468000	165.030000	173.252000	176.343000	162.935000	155.262000	0.000000	0.424600	0.000000	0.494000	0.000000	0.504300	0.000000	0.618500	0.159185	0.437300	0.201982	0.168800	0.279242	0.009000	0.364091	0.000000	0.448181	0.000000	0.539071	0.000000	0.600590	0.000000	0.596172	0.000000	0.563271	0.000000	0.558645	0.000000	4.690090	4.892270	2.343180	1.002630	0.000000	16.243500	10.730700	6.329330	6.427860	3.220040	11.523900	44.351000	83.491100	168.553000	27.582900	0.000000	4.501190	5.006260	193.950000	2.832350	2.949880	3.848180	6.339610	7.119690	
    2	110.000000	103.510000	101.200000	100.630000	100.140000	99.140000	110.900000	131.150000	141.040000	135.220000	111.600000	97.140000	95.190000	96.430000	96.890000	101.830000	121.500000	137.800000	163.430000	165.230000	166.890000	152.940000	135.500000	125.380000	41.480000	28.045900	21.896100	24.607500	25.356400	25.651300	0.000000	5.288810	79.155800	156.808000	61.523900	37.122200	45.007900	50.327400	49.817500	49.344200	103.850000	189.685000	84.473300	44.234100	0.000000	6.508660	3.018400	18.916400	103.690000	112.560000	101.631000	99.378000	103.962000	100.761000	113.586000	144.749000	155.831000	119.112000	117.505000	97.357300	85.604300	76.507400	98.695600	107.314000	132.091000	148.094000	154.974000	160.553000	163.767000	172.131000	152.969000	145.166000	104.700000	104.195000	105.138000	98.616300	104.787000	95.563900	101.291000	118.962000	136.071000	114.113000	109.680000	94.575200	91.485300	83.514000	95.245700	107.719000	154.736000	170.431000	158.806000	154.307000	139.364000	152.542000	129.787000	118.643000	0.272000	0.000000	0.111916	0.000000	0.109571	0.000000	0.139465	0.000000	0.181095	0.000000	0.216612	0.000000	0.237514	0.000000	0.202428	0.022900	0.071964	0.210300	0.000000	0.630000	92.190000	122.145000	116.201000	112.864000	152.007000	175.720000	179.020000	179.131000	156.214000	175.362000	158.698000	189.119000	0.000000	0.772600	0.000000	0.551500	0.000000	1.033300	0.000000	0.987200	0.254278	0.414200	0.290699	0.505700	0.319498	0.020500	0.345754	0.000000	0.411488	0.000000	0.543987	0.000000	0.647738	0.000000	0.683220	0.000000	0.627076	0.000000	0.547997	0.000000	4.690090	3.580660	1.659720	0.000000	0.000000	15.544900	8.849310	6.258220	5.994230	2.866680	23.263100	61.325000	101.388000	171.088000	15.299200	0.000000	11.382400	5.711570	164.863000	2.935000	2.843830	4.087070	6.564770	7.605230	
    3	110.000000	103.510000	101.200000	100.630000	100.140000	99.140000	110.900000	131.150000	141.040000	135.220000	111.600000	97.140000	95.190000	96.430000	96.890000	101.830000	121.500000	137.800000	163.430000	165.230000	166.890000	152.940000	135.500000	125.380000	41.480000	31.848100	22.053500	21.432700	25.407700	32.230400	14.554600	18.614100	137.831000	150.338000	67.239000	40.552800	33.926900	36.682700	24.773500	44.207900	100.276000	173.254000	67.232100	59.027800	3.087620	17.800300	18.337900	26.810900	103.690000	99.455900	94.123900	92.835100	66.224500	70.740900	91.277200	119.030000	130.049000	111.309000	108.875000	96.004300	87.539500	81.835900	75.285800	75.127200	102.376000	122.404000	129.687000	130.148000	138.430000	141.356000	134.602000	118.191000	104.700000	102.720000	91.217900	99.713300	90.023600	77.671000	98.883900	116.632000	122.233000	111.188000	112.638000	90.474800	91.550800	84.984700	77.434400	79.832700	120.989000	137.170000	136.422000	116.567000	116.197000	124.411000	109.252000	95.029800	0.272000	0.000000	0.486799	0.000000	0.534237	0.000000	0.535977	0.000000	0.549898	0.000000	0.604552	0.000000	0.681360	0.000000	0.711353	0.025500	0.665012	0.330600	0.634643	0.612700	92.190000	100.480000	87.028000	102.433000	118.170000	148.006000	149.393000	123.413000	145.378000	156.544000	142.665000	128.933000	0.625954	0.469500	0.602568	0.378600	0.596416	0.272700	0.581314	0.301800	0.566490	0.195400	0.563466	0.187100	0.596674	0.011900	0.636981	0.000000	0.701372	0.000000	0.741024	0.000000	0.746757	0.000000	0.736731	0.000000	0.699501	0.000000	0.656288	0.000000	4.690090	5.074480	3.371920	0.000000	0.000000	17.684500	10.988400	9.075790	6.341860	0.918923	0.000000	66.049300	34.396500	349.685000	207.825000	0.000000	0.000000	7.007060	208.400000	1.000180	3.115970	4.452150	6.114260	7.286420	
    4	110.000000	103.510000	101.200000	100.630000	100.140000	99.140000	110.900000	131.150000	141.040000	135.220000	111.600000	97.140000	95.190000	96.430000	96.890000	101.830000	121.500000	137.800000	163.430000	165.230000	166.890000	152.940000	135.500000	125.380000	41.480000	29.552100	21.311300	22.832500	22.739100	36.902100	22.749400	23.247700	56.988900	128.926000	59.305500	37.130100	43.313100	47.366000	47.735500	71.853600	115.665000	198.612000	69.399500	48.926000	0.819690	21.361300	13.577200	25.629200	103.690000	109.114000	99.533100	100.605000	98.470100	96.045300	117.702000	136.015000	136.645000	115.665000	114.174000	112.304000	101.595000	97.076900	94.478900	95.246600	115.162000	131.457000	146.132000	153.628000	153.820000	156.585000	152.045000	140.890000	104.700000	104.195000	100.643000	100.896000	104.111000	101.376000	113.438000	136.957000	147.475000	137.199000	117.513000	113.226000	112.806000	114.676000	106.885000	116.688000	154.722000	156.237000	148.823000	149.932000	140.196000	143.947000	132.471000	120.881000	0.272000	0.000000	0.345954	0.000000	0.352728	0.000000	0.360413	0.000000	0.373130	0.000000	0.357471	0.000000	0.324127	0.000000	0.247639	0.010300	0.124866	0.163200	0.075939	0.279500	92.190000	99.634700	87.992700	111.106000	128.144000	145.209000	157.093000	161.929000	170.221000	171.892000	156.349000	150.001000	0.037448	0.508000	0.031115	0.505800	0.052138	0.400100	0.038277	0.395700	0.000000	0.477600	0.000000	0.275100	0.000000	0.012500	0.041798	0.000000	0.138186	0.000000	0.254058	0.000000	0.342081	0.000000	0.375538	0.000000	0.414382	0.000000	0.472092	0.000000	4.690090	4.922190	3.182750	0.000000	0.000000	18.084700	11.227700	6.577170	6.310660	2.483520	14.191300	72.700700	116.024000	0.000000	22.824300	0.000000	0.000000	7.221610	211.618000	2.463350	2.697150	3.904770	6.524410	7.807630	
