#erel:= 0.800;
#emax:= 1468.809;
#q:= 0.000;
#nesce:=    55;
#etime:= 1.214;
#snodes:=  1341;
param nS:=   100;
param nSG:=    30;
param nRVSG :=
 1 24    4 24    7  2   10  2   13  2   16  2   19  2   22  2   25  2   28  2
 2 24    5  2    8  2   11  2   14  2   17  2   20  2   23  2   26  2   29  2
 3 24    6  2    9  2   12  2   15 12   18  2   21  2   24  2   27  2   30 24
;

param ScenF :=
  1  42.123       46  39.367       91  89.1767     136   0.4638
  2  40.9007      47  23.6919      92  95.0317     137   0.335042
  3  36.6487      48  11.7976      93 107.397      138   0.3637
  4  31.3418      49  44.8836      94 108.03       139   0.36454
  5  24.4132      50  43.636       95  97.7293     140   0.227
  6  24.9541      51  41.3122      96  91.1562     141   0.392444
  7  33.9879      52  37.5147      97   0.885246   142   0.0072
  8  62.0998      53  35.7524      98   0          143   0.413834
  9  81.5548      54  38.184       99   0.874106   144   0
 10  73.7925      55  56.2777     100   0          145   0.440137
 11  65.7902      56  94.2343     101   0.832705   146   0
 12  47.9028      57 106.845      102   0          147   0.474042
 13  36.683       58  80.8741     103   0.769662   148   0
 14  30.3036      59  50.3762     104   0          149   0.507951
 15  23.0132      60  35.7561     105   0.752701   150   0
 16  19.883       61  27.5988     106   0          151   0.526102
 17  53.6136      62  25.7712     107   0.763435   152   0
 18  83.6323      63  20.3743     108   0          153   0.502066
 19  95.9018      64  20.6689     109   0.752162   154   0
 20 101.719       65  59.2082     110   0          155   0.444465
 21 118.458       66  88.1745     111   0.712455   156   0
 22 111.733       67  93.3335     112   0.0134     157  12.7967
 23  90.4822      68 101.826      113   0.639916   158   0
 24  81.8971      69 138.016      114   0.2138     159  24.9515
 25  85.1987      70 128.853      115   0.57232    160   1.17009
 26  90.0413      71 108.85       116   0.4402     161   0
 27  70.7393      72 100.717      117  39.4515     162  22.1353
 28  69.5591      73  42.3807     118  45.2178     163   0
 29  66.8598      74  49.4175     119  46.2018     164   0
 30  79.7781      75  61.8392     120  68.296      165  11.9513
 31  90.9748      76  59.9691     121  85.0362     166   0
 32 120.499       77  31.5067     122 128.03       167 117.978
 33  95.2574      78  43.9098     123 137.049      168   0
 34   0           79  48.4258     124 140.341      169   0
 35   0           80  56.636      125 154.613      170   0
 36   0           81  73.1995     126 163.728      171 299.136
 37   0           82  40.2722     127 138.323      172   0
 38   0           83  10.2919     128 129.76       173 108.13
 39   0           84   0          129   0.504569   174   0
 40   0           85   0          130   0.5234     175   0
 41   0           86   0          131   0.43542    176   0
 42  13.7951      87   0          132   0.645      177   0
 43   0           88   5.72391    133   0.3755     178   0
 44   0           89  24.4753     134   0.5985     179   0
 45  34.2083      90  61.2482     135   0.33368    180   0
;

param ScenO :=
  1  17.27        46   5           91 110.27       136   0.629
  2  11.48        47  11.44        92 122.89       137   0.881
  3  10.19        48  42.96        93 115.97       138   0.498
  4   7.33        49  20.27        94 110.86       139   0.849
  5   6           50  14           95 109.2        140   0.273
  6   7.07        51  18.71        96 103.52       141   0.817
  7  25.95        52  14           97   0.954      142   0.011
  8  61.2         53  14           98   0          143   0.8
